Abundances (Grouped): 126,Abundances (Grouped): 127,Abundances (Grouped): 128,Abundances (Grouped): 129,Abundances (Grouped): 130,Abundances (Grouped): 131
90530,84210,100700,104200,91950,103400
90540,115200,86110,171400,172000,175900
90540,61290,75310,70580,84400,71850
90610,86250,113400,82470,96860,94480
91380,95310,108100,69020,102100,108000
91410,85300,87850,89950,102000,95670
91430,90180,108600,103800,105500,105100
91700,78840,102200,86960,104000,97480
92190,95410,82240,113700,119400,123900
92190,90730,95410,87910,114600,83760
92510,74250,87070,83780,76610,99180
92580,88570,98340,86750,100300,99110
92880,93200,109900,120500,133400,140700
93210,98530,111900,100100,109300,114600
93470,89750,89140,103400,121500,139700
93620,85880,106700,90670,85130,104700
93820,94540,89240,90620,95190,87820
93900,74090,96370,81300,106500,87370
94060,83360,95320,97900,86990,100700
94190,79290,74890,86460,79620,81330
94240,77000,81570,72970,71230,79710
94300,98930,95850,136400,164500,157100
94370,106000,98530,107600,108500,104400
94400,92750,113800,87480,126700,110800
94420,89460,94270,97690,110800,109000
94790,80240,103200,96110,97700,90780
95370,107600,111800,88130,99950,92080
95450,118800,124300,116900,132400,103600
95490,83310,81540,96960,83140,96220
95640,86710,80770,93110,98350,91730
95980,87350,113100,104500,111200,109100
96340,95580,87650,112500,103700,95200
96430,97810,106800,106600,142500,128000
96740,94540,112900,79340,100100,112900
96980,104100,107000,100800,110400,105100
97210,100100,97670,136100,136700,128800
97920,94400,118900,116600,128500,99090
97930,92280,105400,106300,113200,110500
97990,90120,99890,102100,118300,119400
98430,101700,100900,99860,116000,102500
98430,86370,94340,91980,86740,90190
98590,89540,110300,98400,101900,101300
99310,100100,124000,108800,129100,128900
99340,113400,103700,105900,113900,108400
99480,130100,110300,108900,132400,120400
99490,93800,99190,101400,98900,94880
99570,115100,118300,109200,112500,119400
99710,108400,107200,94410,103700,101900
99920,104400,111900,148300,149500,165600
100100,91650,86760,93920,86390,78410
100300,95230,90840,86780,106200,112300
100700,102000,100500,114100,132500,146000
101100,109600,90520,99030,92970,116000
101700,100400,89630,80150,103700,101800
102300,106800,99190,119800,126900,117500
102400,110000,109800,154300,152200,178900
102700,110900,126200,98220,120900,124100
102900,113900,114300,114900,104700,123200
103100,104400,125500,109100,106200,119500
103200,99440,117300,93560,120400,97570
103300,109900,99130,156900,141300,152400
103400,104400,115000,105900,121200,126200
103600,97010,151000,106800,139500,175000
103800,124300,121900,144400,135600,137800
104500,194000,115900,115300,134300,171100
104600,113000,112400,133000,105500,124200
105200,109200,142900,103800,122400,113200
105900,108600,108100,161600,156800,155800
106000,119000,119500,159400,129700,133800
106100,109900,122100,108500,112300,110100
106900,96540,116000,111300,95500,120900
107000,94510,103100,117500,113000,109100
107100,110100,123300,108600,119400,119700
107300,91050,113000,113600,93460,126800
107300,107900,110300,140200,161300,181400
107600,120300,123600,115600,107900,123300
107800,133400,137100,133000,148000,170600
107800,101800,102600,110300,102100,98730
108100,99240,109200,100200,139100,126400
108200,111400,101900,112000,104900,120100
108300,97250,106600,90930,116800,143200
108300,119100,98390,118900,117000,100600
108400,113500,116900,105200,119700,134000
108700,113700,118300,118000,114600,119800
108700,112700,119400,115800,102700,107600
108800,106000,106800,119200,112900,106000
109000,89420,99640,104800,107200,113800
