LFQ.intensity.1.LiCl_Fresh,LFQ.intensity.2.LiC_Fresh,LFQ.intensity.3.LiCl_Fresh,LFQ.intensity.4.LiCl_Paper,LFQ.intensity.5.LiCl_Paper,LFQ.intensity.6.LiCl_Paper,LFQ.intensity.7.LiCl_Frozen,LFQ.intensity.8.Li_Frozen,LFQ.intensity.9.Li_Frozen,LFQ.intensity.10.PBS_paper,LFQ.intensity.11.PBS_paper,LFQ.intensity.12.PBS_paper
22.087,21.641,21.623,23.850,24.237,23.853,21.654,22.784,21.236,23.755,22.159,23.405
26.340,26.356,26.127,26.013,26.449,26.347,21.419,26.072,22.891,25.420,25.357,22.556
22.759,22.580,22.354,21.379,21.717,21.903,23.600,22.610,21.825,26.264,26.313,26.170
25.636,25.673,25.330,24.876,24.731,24.978,25.154,25.907,25.457,23.984,22.963,23.861
24.479,24.557,24.553,24.520,24.448,21.626,24.210,24.475,24.273,23.515,20.295,21.950
27.855,27.746,27.719,27.285,27.562,27.618,27.745,28.118,27.621,26.322,26.661,26.126
27.869,27.804,26.868,23.498,26.309,26.493,26.401,27.485,26.860,21.810,22.663,25.861
25.902,26.019,25.810,25.781,25.919,25.829,26.300,26.316,26.131,24.343,24.607,24.410
24.271,24.231,19.640,21.562,22.213,22.542,21.781,24.059,20.553,21.966,21.392,21.899
20.805,21.226,22.758,20.593,25.274,24.801,21.936,22.904,21.063,26.185,22.510,23.553
26.168,26.715,26.887,26.351,26.410,26.511,26.812,26.847,26.951,25.660,25.729,25.817
25.903,26.196,26.031,26.624,26.935,26.883,25.978,25.644,26.198,26.377,26.808,26.332
24.148,24.218,24.159,24.638,24.405,24.432,23.975,24.335,24.094,21.743,22.382,19.961
28.016,27.953,27.527,27.428,26.322,27.510,27.347,28.441,28.005,26.658,26.326,21.203
23.103,23.588,23.155,23.233,23.020,23.255,22.213,23.513,23.457,22.384,22.904,24.042
32.309,32.329,32.116,31.866,31.952,32.014,32.171,32.561,32.255,31.131,31.303,31.106
24.998,24.982,24.905,25.688,26.137,25.716,24.431,25.312,25.233,25.918,26.060,25.931
23.186,22.159,24.001,23.947,23.673,23.732,23.718,23.063,23.665,21.468,23.481,23.280
