Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3, 
0.6246,0.5342,-0.4742,ND,ND,ND,0.3654,-0.6853,-0.1283,ND,ND,ND,
0.1528,ND,ND,ND,ND,ND,0.2135,ND,ND,ND,ND,ND,
-0.9928,0.4175,0.1683,ND,ND,ND,0.3259,0.1183,-0.3244,ND,ND,ND,
0.1837,-0.4518,0.6366,0.1855,0.4422,0.6835,0.5385,-0.1982,0.3779,0.9872,0.3238,0.7288,
-0.2230,1.5265,-0.2925,ND,ND,ND,-0.3669,0.8744,0.9863,ND,ND,ND,
0.1256,ND,-0.4819,ND,ND,ND,-0.2952,ND,0.5743,ND,ND,ND,
-0.5491,ND,ND,ND,ND,ND,0.5855,ND,ND,ND,ND,ND,
ND,ND,ND,0.4598,0.1714,0.1176,ND,ND,ND,0.1413,0.9377,0.8959,
ND,ND,0.3556,ND,0.5555,ND,ND,ND,0.1158,ND,0.2166,ND,
0.8816,0.8817,0.2342,ND,0.1144,0.1890,0.4854,0.1717,-0.4594,ND,-0.4172,0.1111,
ND,ND,ND,0.2425,0.1237,0.4280,ND,ND,ND,0.1172,0.3721,0.2473,
ND,ND,-0.4439,0.5468,ND,-0.1675,ND,ND,-0.2583,0.2712,ND,-0.3822,
-0.1315,1.4990,-0.2946,-0.3712,ND,-0.1326,-1.2882,1.5235,0.9266,-0.4568,ND,-0.8393,
ND,1.4383,0.1778,ND,ND,ND,ND,0.5782,0.1775,ND,ND,ND,
ND,ND,0.8176,ND,ND,ND,ND,ND,1.3721,ND,ND,ND,
-0.8985,-0.3985,ND,ND,0.4565,ND,0.1342,-0.8579,ND,ND,0.1540,ND,
ND,ND,ND,-0.1549,0.6434,0.2777,ND,ND,ND,0.2113,-0.2735,0.6399,
ND,ND,ND,ND,0.3981,ND,ND,ND,ND,ND,0.7268,ND,
0.1591,0.1563,0.3353,-0.4847,0.2232,0.2433,0.3398,0.3929,0.1679,0.1392,0.5715,0.2729,
ND,ND,-1.5443,ND,ND,ND,ND,ND,-0.1869,ND,ND,ND,
ND,ND,-0.6280,ND,ND,ND,ND,ND,-0.3852,ND,ND,ND,
ND,ND,-0.4442,ND,ND,ND,ND,ND,0.1154,ND,ND,ND,
-0.1821,0.7779,ND,ND,ND,ND,-0.2928,0.6588,ND,ND,ND,ND,
-0.1324,0.6619,0.2668,ND,ND,ND,0.3725,0.4389,0.2480,ND,ND,ND,
ND,ND,-0.5313,ND,ND,ND,ND,ND,0.1473,0.4245,-0.4984,0.1846,
ND,ND,0.1873,ND,ND,ND,-0.3392,0.3746,ND,ND,ND,ND,
-0.5552,-0.4959,ND,-0.2232,0.4153,0.4281,-0.2355,-0.2683,ND,-0.3859,0.6545,0.2569,
ND,ND,-0.1339,ND,ND,ND,ND,ND,0.6444,ND,ND,ND,
0.1635,0.6963,0.5322,0.1822,ND,ND,-0.9485,0.8264,-0.1143,0.8697,ND,ND,
0.2792,ND,0.1896,0.2777,0.1993,-0.3526,0.5323,ND,0.3137,0.1584,0.3459,-0.2144,
ND,ND,0.5138,ND,ND,ND,ND,ND,0.5362,ND,ND,ND,
ND,ND,ND,ND,ND,-0.5623,ND,ND,ND,ND,ND,-0.3713,
0.4556,ND,ND,ND,ND,0.5299,0.1983,ND,ND,ND,ND,0.1766,
ND,ND,ND,ND,ND,-0.1373,ND,ND,ND,ND,ND,-0.1765,
0.3362,0.2532,-0.2949,0.4111,-0.2959,-0.3612,0.3778,0.1195,0.1440,0.2564,0.4547,0.4389,
ND,ND,ND,ND,ND,0.9738,ND,ND,ND,ND,ND,0.1414,
ND,ND,ND,ND,ND,0.1961,ND,ND,ND,ND,ND,-0.5843,
ND,ND,ND,0.2796,ND,ND,ND,ND,ND,0.5517,ND,ND,
ND,ND,ND,ND,-0.6215,ND,ND,ND,ND,ND,-0.6459,ND,
ND,ND,ND,ND,0.1255,0.4278,ND,ND,ND,ND,0.2367,-0.6614,
0.1246,0.9127,0.3714,ND,ND,ND,0.2473,0.7400,0.4385,ND,ND,ND,
ND,0.5766,0.2959,ND,0.2153,0.6564,ND,0.5169,0.3467,ND,0.3939,0.1420,
ND,ND,ND,ND,0.2724,ND,ND,ND,ND,ND,0.2447,ND,
ND,ND,ND,ND,ND,-0.7593,ND,ND,ND,ND,ND,0.6616,
ND,ND,ND,0.1714,ND,ND,ND,ND,ND,0.1780,ND,ND,
