LFQ.intensity.1.Plasma,LFQ.intensity.2.Plasma,LFQ.intensity.3.Plasma,LFQ.intensity.4.WB,LFQ.intensity.5.WB,LFQ.intensity.6.WB
32.42549896,31.37782478,32.4045372,29.60447121,29.31594276,29.44088745
,,,33.48747635,33.49452591,33.76919556
26.98956108,,,32.22707748,32.4805336,31.94426346
32.81266403,33.11800766,32.76200485,32.68108368,32.29252625,32.38262558
,,,32.80658722,33.003685,32.6299057
,,,33.65831757,34.10813141,33.36763
26.7940197,26.51236153,25.08362961,34.20812988,34.52688599,34.2269783
34.08361435,34.31749725,33.83958435,30.416996,30.37854767,30.93135643
,,,32.29551315,32.58143234,32.41291428
34.38920593,33.59634781,32.7903862,31.76477432,31.11687851,31.66246414
35.70746231,32.08945084,35.0782547,33.24756622,33.69405365,33.81105423
,,,31.77976036,31.93838501,31.70857811
,,,34.52758408,34.57254791,34.75164795
,,,31.86112213,32.19234085,31.66530418
,,,33.30511475,33.54719925,33.34691238
34.12740326,33.44763947,34.25215912,31.26046753,30.97172165,31.03976631
24.00872612,,,32.76194382,32.96287537,32.72466278
,,,33.7267952,33.82306671,33.96567917
25.96925735,26.51678658,,32.70196533,32.67290878,33.4444313
30.98529053,30.80416679,30.58700943,32.15203857,32.17831039,32.93346786
26.68297958,,24.79392052,34.06085205,34.1423912,34.24480438
26.31184769,24.69879913,24.31250572,34.59373474,34.81363678,34.96675491
32.16943741,32.34614944,31.81844711,30.62705803,30.62844849,30.76002312
31.15388107,31.11122894,30.73125458,30.97130966,30.93915749,30.7790966
,,,32.41139984,32.74474716,32.44694901
,,,32.97570801,33.16223526,32.89329147
,,,31.19313431,31.17408752,31.484478
27.36811447,27.36878014,27.32714462,34.91594315,34.74499893,34.4162674
,,,31.8423996,31.77799988,31.96512985
,,,31.43410301,31.22986031,31.63382721
29.08217812,28.68421745,28.34490013,32.81680679,33.2617836,32.94033051
32.68405533,32.62701416,32.13350677,32.20122147,32.35289764,32.25341034
25.99565315,26.02968407,24.54933739,31.88430977,32.17774582,31.8299427
32.48397446,32.49440765,32.5841217,30.25889587,29.94069672,30.26102829
30.10636902,29.7401619,28.03117943,31.21396255,31.44480324,31.27758408
,,,30.39733887,30.55215454,30.44371605
27.0509243,,,33.2744751,33.16614532,33.26150513
32.53285217,33.12704849,32.85808563,31.73976898,31.70689011,31.80869865
,,,31.61148834,32.09992599,31.52887535
33.05523682,33.73014069,33.73952866,32.96395874,32.67130661,32.88563919
,,,31.67652893,31.86452103,31.47653389
,,,31.32806587,31.79761124,31.26086044
,,,31.58194733,31.92670059,31.54356194
32.85615921,32.93603516,33.39406967,31.38494301,31.12872314,31.14291
27.34299469,27.75021553,26.67209053,31.59245682,31.18263626,31.88543701
,,,33.81182098,34.00729752,33.5650177
33.38342285,33.98727417,33.56354141,32.0488205,31.74205971,31.78105164
25.74993324,27.85620308,25.65195656,34.64366531,34.94126511,34.38329315
31.52850342,30.89091873,30.66305733,29.66317558,29.85492516,29.7598629
,,,32.95384979,32.96268463,32.91600418
30.74847221,30.73602295,31.03137589,31.31716156,31.60045433,31.22314262
30.49046707,30.46839905,30.45933914,28.3801384,28.28678703,27.95764923
31.92071533,32.24232483,31.79265594,28.33108139,27.5676136,27.76850319
29.83404922,30.7300396,30.7387619,28.44142342,27.02337456,28.12322044
33.47327042,33.46611404,33.26262665,33.72486877,33.37878036,33.34928894
,,,32.03754425,32.0031662,32.23831558
,,,30.74398613,30.96409607,30.60990524
,,,31.921175,31.85645485,32.05830383
,,,32.42101669,32.51648331,32.46263504
31.1992321,31.87283707,31.47798157,29.83222389,29.88420868,29.63117599
31.0205555,31.27708435,31.02769089,29.25022507,29.42396355,29.74465942
34.88526535,35.26136398,34.61368561,33.09507751,32.79044342,33.01546478
,,,31.80885315,32.25039291,31.73218536
,,,32.33033752,32.50132751,32.36053085
,,,30.89496994,31.12460136,30.80946541
,,,25.35685921,26.03048515,25.75205421
22.53193283,24.17820549,22.57694817,31.62064934,31.70948219,31.81783676
,,,31.13019753,31.21650887,31.05581856
31.05096436,30.32934952,30.66373634,26.06025314,25.26441956,25.84078979
,,,31.95985413,32.22296906,31.8584938
26.87173462,,,33.64075851,31.38427353,31.09452629
,,,29.97103691,29.93452454,30.12287521
,,,33.18574142,33.09608459,32.83669281
,,,33.57835388,33.44911575,33.78546143
,,,31.62949181,32.03996277,31.69726944
,,,30.65727615,30.74350548,30.4916153
,,,29.97991943,30.16362953,29.81752396
30.18989944,31.16056824,31.2713623,28.93890381,28.76002312,28.84595299
32.09131241,31.27108383,32.19700623,31.2836113,31.33532715,31.19307518
,,,32.59894562,32.55519867,33.01173782
,,,30.52149963,30.9201107,30.62740517
,,,31.78366852,31.62392235,32.05536652
,,,30.23203468,30.289011,30.09748077
,,,30.97041893,31.33410072,30.78136444
,,,32.29428101,32.36416245,32.56805801
32.20078278,32.34403229,32.1138382,30.55032158,30.23683167,30.18316841
31.50701332,31.73872185,31.47411728,27.91951561,27.91826439,27.31259155
,,,31.6779995,31.67640305,31.28779984
,,,30.32431602,30.24093056,30.59699249
,,,31.65557098,32.1522789,31.83337784
29.78539276,29.57145119,30.40131187,28.64605522,28.49792671,28.21697044
25.89344597,23.81518936,24.56929398,31.02062225,30.87158775,31.31521797
,,,32.07351685,32.31159592,31.76935387
27.57398224,27.29955101,26.47278976,29.27726173,29.18115616,29.78106689
31.02940369,30.80578232,30.87011909,28.14219093,28.08420753,27.53830719
,,,31.78464508,31.65057182,32.27866364
27.49075508,25.94607925,25.99660301,29.84093666,30.47179413,30.72906876
,,,29.62660599,29.72496033,29.79992867
,,,30.99057579,30.88423729,31.11811638
,,,32.13659668,31.93529701,32.12151718
,,,31.35310745,31.11594772,31.64241791
,,,31.43911552,31.27047157,31.60620308
30.903759,30.5560894,30.48596573,27.97377586,28.44474411,28.07168198
34.11326599,34.93697357,34.35684967,31.86382103,31.01311874,31.54986191
,,,31.19201851,31.51385117,31.00135422
,,,31.068367,31.61416817,31.09282684
,,,30.33819962,30.69892502,30.20664597
,,,30.58852959,30.6616993,30.48048592
,,,31.99627686,31.72898674,31.99378395
,,,30.96064949,31.31138039,31.0775013
,,,30.32849503,30.47961998,29.98019218
27.23772049,25.59536934,25.5855751,34.82192612,34.89685822,35.19314957
31.03347778,31.02960014,31.47247124,29.71613884,29.22864532,29.28821945
,,,32.52168655,32.82196426,32.4948616
30.9418869,31.5923214,31.01524734,28.97177696,28.58978081,28.91496086
,,,30.7493515,31.00771523,30.62112999
,,,29.81211662,29.97568893,29.90712929
,,,31.18907356,31.04797745,31.23489189
,,,31.46070671,31.77246475,31.40192223
33.73448944,32.41359329,33.70099258,32.4127121,31.99256897,32.23028946
,,,30.59022713,30.96327019,30.37513351
,,,29.32491684,29.56855583,29.57855988
31.26561928,31.20518875,31.59116364,28.34946251,28.75767136,27.67418098
,,,30.25518608,30.15544891,30.40638924
,,,31.09660149,31.43767738,31.35478973
,,,30.20466423,30.30280113,30.42981911
,,,31.64594269,31.52220154,31.68975067
,,,30.80478287,30.76761818,30.31257057
31.82790184,32.11455154,32.50800705,28.6426506,28.7983532,28.42005157
,,,30.97055626,30.994627,30.56065178
30.77336884,30.91698265,30.86886787,30.79071426,31.04179001,30.54655457
,,,31.85467339,31.94754028,31.39698219
,,,31.1427269,30.891716,31.40263367
,,,30.40669441,30.28559685,30.60937691
,,,31.36692619,31.56746864,31.15333748
24.43109512,,23.81880188,32.2201767,32.0741539,31.79405022
,,,30.90734482,31.25118446,31.02749252
31.8534832,31.46713638,31.227911,26.22650146,27.43260956,27.95049286
,,,31.40451241,31.4177494,31.71325684
,,,30.42001152,30.69303703,30.90777397
,,,31.16333008,31.2814579,30.99354744
,,,32.74677277,33.02426147,32.6942215
,,,29.46115494,29.70048141,29.31540298
,,,30.75007057,31.17819023,30.61087227
,,,30.2701931,30.32678223,29.85001373
,,,31.11601067,31.62261391,31.04901695
28.1132679,26.50489807,,29.72000885,30.27197456,29.50013351
29.45556259,29.91798019,29.60521317,27.31112099,26.44794655,27.08162117
,,,30.86141968,30.81291199,31.09804535
