nc_rep1,nc_rep2,lpm_rep1,lpm_rep2,mpm_rep1,mpm_rep2,hpm_rep1,hpm_rep2,rlpm_rep1,rlpm_rep2,rmpm_rep1,rmpm_rep2,rhpm_rep1,rhpm_rep2,sl_rep1,sl_rep2,sm_rep1,sm_rep2,sh_rep1,sh_rep2
0,0,0.052610627,0,0.036412057,0.024726952,0,0.068770068,0,0,0,0,0.019519336,0.0163457,0,0,0,0,0.042009241,0.064574479
0,0,0.051307878,0.053093347,0.058405114,0,0.010352303,0.047145029,0.007322655,0,0.100491021,0.087300858,0.021119719,0.037235121,0,0,0,0,0,0
4.817438006,3.049235365,3.116142261,3.94260538,5.009096311,4.439748882,3.637360937,6.332924577,4.435518887,4.509280447,5.132740365,6.693474171,4.05187526,6.918364614,8.136778318,5.887676263,6.88709158,8.574154121,5.100786768,5.19534159
0.103268567,0.087023798,0.08347946,0,0,0,0.197276104,0.191982629,0,0,0,0,0,0.061773157,0.091753673,0.066208107,0,0,0,0
2.635128944,2.552778267,2.994099846,1.092143509,1.843403041,2.541514018,1.4352064,3.91037641,1.700780009,1.471231202,2.324937747,3.418783957,0.914430378,2.988308734,3.467950553,3.921757241,3.34665188,3.504928372,2.411230568,2.687011743
0,0,0.010799586,0,0,0,0,0,0,0,0,0,0,0.006492977,0.451387812,1.417246973,0,0,0,0
0,0,0,0,0,0,0,0,0.148853738,0.106763592,0,0,0.063534143,0.158013309,0.080137691,0.057771939,0.152826231,0.175750967,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.056678978,0,0,0,0,0,0
0.178947758,0.162922896,0.072912834,0,0,0,0,0,0,0,0.064986425,0.070749052,0,0,0.016411243,0.03224556,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05267589,0.331008018,0.154586678,0.057165314,0,0
0,0,0,0,0,0,0,0,0.327312427,0.388992378,0,0,0,0,0.660328705,0.740052826,0.901307426,0.749451984,0,0
0.23080997,0.284424238,0,0,0.182779648,0.211342359,0,0.137254498,0,0,0,0,0,0,0,0,0.071515745,0.191886617,0,0
0,0,0,0,0.064581898,0.073020708,0.05183579,0.193867836,0,0,0.340958711,0.386418433,0.068974476,0.079443855,0.390945569,0.560606418,0.232545384,0.255133222,0.110350564,0.163477391
0.433079207,0.225877641,0.157253377,0.252244684,0,0,0.16575753,0.651995997,0,0,0.06721223,0.134888657,0.052077485,0.143277579,0.28878504,0.522063609,0.049221829,0.114898493,0.546406148,0.482532116
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044460833,0.034394234,0,0,0,0
0.217860934,0.221225118,0.09714554,0.100683706,0.056889571,0.213421477,0.26199455,0.346101161,0.233852993,0.127948169,0.103404946,0.16602765,0,0,0.343642945,0.337454853,0.083374506,0.224988938,0,0
2.918157886,3.015868786,1.921639603,2.707532985,3.379795773,7.191253833,3.574945638,5.539309543,3.129017318,3.318821196,4.331017326,2.892608689,2.387816365,3.647032426,2.364572101,1.845924957,3.091733568,3.425684621,2.195656268,2.816473395
0.700423959,0.713603035,4.715376285,3.29254948,10.83668357,8.971394787,3.169706826,6.101901024,3.683528153,4.338260616,2.930364649,3.47798274,5.266562914,3.858082187,6.029267466,4.155729408,6.473317158,7.648654377,3.619940731,5.212713441
2.813772795,1.716076053,1.455497651,1.915224519,4.808527622,5.598441423,3.130783632,3.98989787,1.438911898,2.016076197,2.207494772,3.108803514,1.968459913,2.728058683,3.720888199,3.602504739,7.805989617,4.927259727,1.754070455,2.770065736
1.846823309,1.090758166,0.848923483,0.573045637,4.276563374,1.428562076,1.068971392,1.663552389,0.75020785,0.943522739,0.48712747,0.4827303,0.665015971,0.595445298,1.415584161,1.373346706,0,0,0.354886524,1.355087106
0.055756173,0.036732374,0.199617781,0.015798827,0.038326299,0.111476077,0.154103603,0.095464599,0.087202308,0.071170737,0,0,0.189384825,0.120694158,0.417224805,0.423084764,0.209673431,0.339551066,0.088321431,0.281093095
0,0,0.284502342,0,0,0,0,0,0,0,0,0,0,0.513339269,0,0,0,0,0,0
0.793154917,0.534213028,1.703142516,1.01871774,0.250412141,0.916932683,0.201801789,0.628813663,0.527847075,0.493930607,0.325906716,0.356558827,0,0.068371354,0.592226345,0.26811682,0.939649136,1.12672545,0,0
0,0,0,0,0,0,0.174313723,0.027488604,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.390023975,0.054790909,0,0,0,0,0,0,0,0,0.026312157,0.918340472,0.041325496,0.144618863,0,0,0.080793406,0.070979729
0.176331524,0.076401007,0.098503916,0.059543182,0,0,0,0,0,0.090282347,0,0,0,0,0.157102305,0.109872614,0.147919158,0.099534505,0.45601435,0.292649512
1.936409501,0.922017267,0.629391761,0.755133429,0,0,0,0,1.014233591,0,0.67249639,1.409386422,0,0,2.567746939,2.455163115,1.920689577,1.101399107,0.124138781,0.536599935
2.244543718,0.750400262,3.328854293,2.078893874,4.372641263,1.953955231,2.040934208,2.361307502,2.906895017,2.486755017,2.894826582,3.23002007,1.377642449,2.459527394,3.609900362,4.214019208,4.101426328,5.017781615,3.586857546,3.964504581
0,0,0,0,0,0,0,0,0.327369207,0.01344665,0,0,0,0,0,0,0,0,0,0
21.20470806,13.18872778,14.06658434,19.62792334,11.41644291,14.13280558,13.3858936,18.77209187,13.24784642,17.90122724,15.18194095,15.96523968,11.73432505,15.30567453,27.01798999,20.02909062,23.93376604,19.11940999,11.85573277,15.43116713
0,0,0,0,0,0,1.292987039,1.225841592,0.318432077,0.4623524,0.357999264,0.400589277,0,0,0.945633144,1.634959782,0.446335766,2.242172763,0,0
