Bcells_H9_ne,Bcells_H10_ne,Bcells_H11_ne,Bcells_H3_ne,Bcells_H1_ne,Bcells_H2_ne,CLL1_ne,CLL10_ne,CLL11_ne,CLL14_ne,CLL15_ne,CLL16_ne,CLL2_ne,CLL4_ne,CLL8_ne,,,,,,,,,,,,,,,,,,,,,,,,,
23.8603,23.9554,23.9496,21.72,20.594,22.167,23.2961,24.4136,23.4788,21.2177,23.341,23.1581,23.6024,23.0415,24.3114,,,,,,,,,,,,,,,,,,,,,,,,,
23.3226,22.9548,23.6055,23.0902,19.4134,18.1004,24.6021,24.2018,23.6171,22.4764,23.8857,22.9536,24.4448,23.7573,23.8563,,,,,,,,,,,,,,,,,,,,,,,,,
18.8221,16.6979,17.6292,20.4608,21.8342,20.7344,21.0354,18.3298,21.1025,19.79,18.7025,21.6726,19.2302,20.1007,20.3651,,,,,,,,,,,,,,,,,,,,,,,,,
16.8636,18.0296,19.9034,20.2577,16.7491,19.4297,16.9876,18.0561,16.6316,17.7855,18.0161,18.0396,18.0766,18.1749,18.758,,,,,,,,,,,,,,,,,,,,,,,,,
20.2807,21.3113,23.0461,19.5812,20.3389,19.6765,20.3142,20.1103,19.4769,20.2162,20.5249,20.1497,20.3532,21.6519,18.761,,,,,,,,,,,,,,,,,,,,,,,,,
27.4913,27.0767,27.6674,27.1322,26.9737,26.7139,27.6658,25.0802,25.0392,26.694,26.5957,26.5361,26.3075,26.8546,25.9849,,,,,,,,,,,,,,,,,,,,,,,,,
17.8172,16.5914,18.9411,16.759,19.6354,17.1572,19.6058,18.3994,18.9066,18.0193,18.2443,18.8436,17.7487,18.5022,16.8981,,,,,,,,,,,,,,,,,,,,,,,,,
24.1453,27.5004,25.0438,27.7686,26.9082,27.4885,26.8901,27.182,27.853,27.8592,28.3496,27.658,19.1388,26.7721,27.1171,,,,,,,,,,,,,,,,,,,,,,,,,
27.8889,27.7707,29.0724,26.5671,25.6161,27.076,26.5433,26.6894,26.3942,26.8041,26.4058,26.8426,26.9714,26.2063,25.7708,,,,,,,,,,,,,,,,,,,,,,,,,
18.9,19.1003,18.8572,18.568,19.501,18.5276,20.1971,18.8901,18.516,19.6942,19.2446,18.9461,18.5483,18.4142,18.8289,,,,,,,,,,,,,,,,,,,,,,,,,
27.7741,26.8248,27.2697,26.6147,25.8587,26.3542,25.6178,25.2418,27.626,24.1169,26.3665,28.1428,20.7835,24.6602,24.6136,,,,,,,,,,,,,,,,,,,,,,,,,
19.2536,22.553,22.2197,18.9899,16.8029,18.1096,16.1382,16.6282,17.7064,17.8002,17.2827,18.5151,16.9157,16.9019,17.2799,,,,,,,,,,,,,,,,,,,,,,,,,
28.009,26.9978,28.0564,27.0574,27.0236,26.5499,24.7398,27.6482,27.1703,26.271,26.2733,25.9857,28.4455,26.1784,27.6462,,,,,,,,,,,,,,,,,,,,,,,,,
19.3965,19.0716,19.1745,19.1132,17.7645,23.9148,21.0266,18.3861,17.3654,18.3603,18.5771,18.4805,20.2911,18.0394,19.1803,,,,,,,,,,,,,,,,,,,,,,,,,
25.8979,24.9668,24.5448,23.3041,22.8478,23.5425,26.6566,25.289,26.7987,24.123,26.7949,26.7215,27.1611,26.0811,25.9142,,,,,,,,,,,,,,,,,,,,,,,,,
22.8685,23.1872,23.1043,22.0246,21.159,22.6976,25.6135,23.2936,23.7748,22.9144,24.0431,23.9195,22.798,22.6542,24.4683,,,,,,,,,,,,,,,,,,,,,,,,,
23.7156,25.3743,24.5373,24.2455,22.7613,24.7568,25.0478,25.7399,26.6333,24.7016,27.1143,27.6343,26.6403,25.7325,27.1228,,,,,,,,,,,,,,,,,,,,,,,,,
21.5112,22.8314,21.8784,19.7331,21.1815,20.2002,22.6494,22.0012,21.8373,21.2584,21.6698,24.3603,20.8513,22.6315,21.5788,,,,,,,,,,,,,,,,,,,,,,,,,
18.8501,17.1587,20.0334,18.1315,17.3832,20.3195,23.016,18.3071,18.3222,18.2687,19.5847,17.6698,18.6684,22.142,15.9041,,,,,,,,,,,,,,,,,,,,,,,,,
22.2326,17.7414,18.7813,17.9644,15.9146,17.9671,21.9795,20.7949,22.373,19.4768,24.5442,21.4727,23.7621,21.084,21.9765,,,,,,,,,,,,,,,,,,,,,,,,,
23.52,21.8558,24.4321,20.8098,19.2452,20.316,16.5564,17.4375,16.9111,19.0104,18.4877,18.5389,15.7345,16.9899,17.1958,,,,,,,,,,,,,,,,,,,,,,,,,
24.3734,26.1785,25.7285,23.1972,22.3319,22.9796,24.6849,24.8565,24.5732,23.5365,24.5354,23.7541,24.9137,24.4797,25.0507,,,,,,,,,,,,,,,,,,,,,,,,,
21.9585,22.9025,22.595,21.3682,20.7593,20.1865,20.1081,17.914,22.7018,21.0275,21.9005,22.0008,21.0138,20.6241,23.2354,,,,,,,,,,,,,,,,,,,,,,,,,
