C1_lung,C2_lung,C3_lung,V1_lung,V2_lung,V3_lung,V4_lung,V5_lung,C1_liver,C2_liver,C3_liver,V1_liver,V2_liver,V3_liver
1.557622552,3.32927227,3.03499341,2.276607037,2.915008307,2.571079493,2.787908077,1.995964408,7.552088261,15.00707722,4.350630283,27.24238777,22.38458443,32.20436478
4.150520325,3.539843082,6.422630787,3.881311893,5.146440506,6.432017326,7.578859806,4.501203537,165.6508942,145.749054,142.6080322,319.6082458,203.5421448,346.8038025
13.16286945,14.99981689,20.61810684,17.02743149,20.52269745,18.65532494,15.94839573,12.63522911,17.79719353,35.04470444,19.31986618,91.11308289,65.55278015,57.35160828
3.296642303,3.23328042,3.972201347,3.241973877,3.670123339,2.817201376,3.6618011,2.270850897,2.160201073,1.860959172,1.928103685,1.830774784,1.693138003,2.408685446
0.288282514,0.282899618,0.336350203,0.450386912,0.478068948,0.693423331,0.56786108,0.309328079,0.818027377,0.673343956,1.124082804,0.64993763,0.154856607,0.506107628
0.358267099,0.670506835,0.757428527,0.397134304,0.731046796,0.79510498,0.409760684,0.533736885,0.555243552,0.657038927,0.474548399,2.599074125,3.175953627,2.691471815
4.185256481,3.489086866,4.358343601,2.997126579,2.367467642,2.101420879,2.574778557,2.672365904,2.743283033,1.986741066,3.340462685,1.238254786,1.169103265,1.79814899
2.877884865,2.127351046,4.30326128,3.09957099,3.966507673,3.086559772,4.756502151,3.802038908,0.695163786,0.454856545,0.491099328,0.420017838,1.724515796,0.942183793
1.954689384,2.475394726,6.246495724,4.543329239,3.761911392,3.894537926,4.238724709,2.297578573,16.64239693,22.15727997,9.820340157,29.21282196,23.06761932,25.1967144
2.340447903,2.428613424,9.976172447,2.161826849,3.931123734,0.461869389,2.826681137,1.777754068,11.43179131,6.773575306,12.68303013,18.00356102,9.478203773,22.69259834
2.387881279,3.046045065,4.894412041,2.146578789,3.686939478,4.208055973,4.82394886,2.813119411,2.370254755,1.674365282,1.932611704,4.178806782,7.622595787,7.447541714
0.742647648,1.007066846,0.677256584,0.741322517,0.799362361,1.25987494,0.694590509,1.300269008,0.47481367,0.443819344,0.221016109,0.425004452,0.901772738,0.585169375
1.242686272,1.727189064,1.813586235,1.395946622,1.662906289,1.772194147,1.405679345,1.407108426,16.28427696,22.65646744,9.757493973,17.75102425,12.8893404,22.3549881
0.254801244,0.241072521,0.164786965,0.283813506,0.222235858,0.229699522,0.185372859,0.186331779,0.360929102,0.490906805,0.207719415,0.300541431,0.760655582,0.684240103
0.092285484,0.119606897,0.116166838,0.036666129,0.248258799,0.325567096,0.201632559,0.278741866,0.69069165,0.866675019,0.864005804,0.655316114,0.270595312,0.743442774
0.82516408,0.598292172,1.195290565,0.532449663,0.576863766,1.141572118,0.922938585,0.826359332,1.901265264,1.235025287,1.23595798,3.103615522,2.204708338,2.519934177
7.524893284,6.879163742,9.411791801,7.043905258,8.358674049,11.19736671,8.517916679,4.993627071,21.63945389,24.41095734,15.49439049,21.79768562,22.67464256,49.97002792
4.619452,3.7701056,6.42309761,5.37008667,7.403306484,7.707274914,6.468595028,4.60563612,72.62263489,50.67459869,49.93254852,133.1397858,130.8783417,162.2227325
1.222616792,1.815782666,0.502990067,2.339361191,1.934487224,1.813388109,1.411697626,1.628504634,1.645900488,1.239074707,0.903096318,1.464577079,3.103874445,2.895421028
4.050945759,5.397327423,6.146046638,5.572752953,6.904428959,6.773888588,4.703582764,5.396487236,0.476824403,1.100607395,0.485341072,0.234503984,1.10778439,0.338043302
3.847896576,7.780190468,6.437113762,4.513447762,7.448149681,7.834375858,5.678611755,7.042268753,4.165019989,3.784916878,2.812543154,3.363953829,4.512873173,5.459757328
0.142593578,0.217015728,0.12422733,0.197448462,0.416339666,0.40222919,0.55776149,0.214333758,4.176460266,6.900072575,3.618834496,8.284239769,5.458221912,10.6632185
7.015438557,3.5952003,8.468977928,5.216074944,9.215246201,7.365727901,8.184836388,5.364980698,0.1326157,0.439375728,0.191319823,0.104977965,1.60565412,0.083063677
0.319467396,1.168537617,1.37245369,1.37399435,1.173136234,1.278321028,1.292923331,0.873406947,3.543075085,4.53996563,2.178605556,0.792306364,1.508379102,1.856002808
1.90582788,2.407155275,2.922117233,2.821584463,1.999054074,1.733770132,3.646928549,1.578306437,3.773271084,4.858181953,1.92764318,6.654319286,7.735542774,10.94424534
40.55962372,1.646766543,0.272547483,3.399011612,7.680773258,3.142386913,0.5946666,0.03028658,238.3844299,733.9412231,270.678894,276.6661682,1003.525391,308.5018921
115.7390976,84.30564117,70.94001007,80.66049194,62.77677155,42.02515793,67.52213287,52.32227707,22.65141487,26.16580772,28.01915359,26.75334167,17.43262291,18.49295425
17.14280319,7.0742383,7.514950275,13.55106831,34.30282593,3.847281933,14.82360172,5.659870148,12.88542175,30.77421761,16.834589,16.98343849,129.4046936,14.38436699
15.23658752,9.590341568,18.8534832,9.155237198,6.122127056,9.405879021,7.361649036,9.211979866,4.370601654,4.429950714,4.272646427,6.702047825,6.971646309,7.063474655
19.19027328,25.59976387,34.16183472,23.44418144,28.69604683,37.58310318,26.70586586,32.21643829,4.148379803,3.873788118,2.738442421,9.328941345,10.65011597,8.965076447
