LFQ.intensity.1.Li_Fresh,LFQ.intensity.2.Li_Fresh,LFQ.intensity.3.Li_Fresh,LFQ.intensity.4.Li_Paper,LFQ.intensity.5.Li_Paper,LFQ.intensity.6.Li_Paper,LFQ.intensity.7.Li_Std,LFQ.intensity.8.Li_Std,LFQ.intensity.9.Li_Std,LFQ.intensity.10.PBS_paper,LFQ.intensity.11.PBS_paper,LFQ.intensity.12.PBS_paper
32.66911316,32.56524658,32.68662262,32.27305984,32.12247467,32.25008392,32.84357834,32.64024353,32.68024445,31.6160984,31.44104576,31.64611435
32.55453491,32.55853271,32.47164917,32.00088501,32.07590866,31.98440742,32.32001495,32.5684433,32.37158203,31.19946671,31.22135735,31.21922302
32.52668762,32.59056091,31.97821426,31.54999924,31.55187988,31.47198677,31.98066902,32.8774147,32.04794312,30.40446281,30.42602348,30.4761467
32.49607468,32.59739304,32.57036591,30.73489189,31.02689934,31.12921524,32.77760696,32.64649963,32.44667816,31.78409767,31.96450996,32.27416992
32.48022079,32.46609116,31.44499969,32.63549423,32.73230743,32.67107391,31.44499969,32.66980743,31.36958122,32.65256119,32.80506897,32.8980217
32.44388962,32.43941116,32.41440201,31.96216583,31.992939,32.03042221,32.34212494,32.69026947,32.44950867,31.62156677,31.57303238,31.72354507
32.43350601,32.50452805,30.9171257,33.14933014,33.0938797,33.05933762,30.83823395,32.30818176,30.96106339,33.54086304,33.58866501,33.67429733
32.40740204,32.3291626,32.32098389,32.07715225,32.15427399,32.21786499,32.49595642,32.63313675,32.35126495,31.72273064,31.78394127,31.77823448
32.37575531,32.15125275,31.93304634,32.59499359,32.59080505,32.52854919,31.91677094,32.01544571,31.87327576,32.91831589,32.81256866,32.92795563
32.30617523,32.2455864,33.31324768,33.11340332,33.10412216,32.96753693,33.08112335,31.98328781,33.21009064,32.58028412,32.52537918,32.5246315
32.24914932,32.13888931,32.30815506,32.20323563,32.13583374,32.16518784,32.5500679,32.87789154,32.40327072,31.81951332,31.64907455,31.72683716
32.19060516,31.9093132,31.33548546,32.12817001,32.18680191,31.96856689,30.95968246,32.29679871,31.10730553,32.56479263,32.63400269,32.57724762
32.15502548,32.1258316,31.880373,31.69390869,31.78199005,31.85697556,32.36408615,32.14056396,32.18038559,31.76025963,31.64379501,31.55809975
32.13026047,31.92114067,31.40436172,32.10409164,32.0793457,31.97862434,31.06033707,32.30408096,31.00845146,32.35429001,32.18745422,32.36311722
32.10867691,32.25290298,31.95324326,32.09499741,32.28330994,32.32643509,32.36468506,32.56251907,32.07619476,31.38956451,31.2876358,31.06483841
32.10230637,32.04866028,31.96361351,31.57483864,31.36926842,31.35830498,31.90981483,31.81871223,31.930336,30.72882462,30.83921051,30.89026642
32.07492065,32.05930328,31.73456955,31.49118423,31.55923843,31.68281937,31.98495102,32.13901138,31.71219063,31.71996117,31.67572975,31.57136154
32.04917908,31.87298393,32.53043365,30.96416473,31.14873886,30.96499252,32.48495865,32.60545349,32.31392288,30.77179527,31.03492165,31.02656937
31.99142075,32.0411377,31.77807808,30.54130173,30.76517105,30.61368561,31.86452103,32.37233353,31.90970612,32.86374664,33.06626892,33.03639603
31.89269257,31.88241577,31.97076225,29.89146996,30.51972008,30.13638496,32.19794464,32.47949982,31.70351219,31.17313385,31.16134834,31.47014618
31.86540604,31.47310066,28.44801712,28.31363106,28.30247307,28.27732849,28.53021622,31.59067154,28.61508942,28.12257767,28.13383865,27.7003479
31.83300209,31.73582077,32.12976837,32.56846619,32.47484207,32.50474167,31.82986832,31.51643753,31.84464455,32.83181381,32.82608414,32.66966248
31.81130409,31.72797394,30.66949272,31.66335487,31.58942223,31.68662262,30.60213661,31.50298882,30.6838665,32.51128387,32.42504883,32.51815033
31.77277946,31.71210861,31.70347023,31.59062767,31.44638062,31.59770393,31.55389595,31.44075012,31.77132416,30.33063316,30.2646122,30.3195858
31.7699852,31.67509842,31.27275467,32.2304039,32.23913956,32.22239304,31.0650959,31.70041466,31.1204052,33.03917694,32.94555283,32.98430634
31.65493011,31.56973267,32.10324478,31.82126236,32.08255386,31.95625877,31.82126236,31.02340126,31.86875916,28.08704376,28.68435097,27.96537781
31.65335083,31.39146042,30.65497398,30.72541618,30.62383461,30.60637856,30.67438316,30.92308998,30.60523033,30.10287094,30.20291519,30.15520859
31.65159988,31.58078003,32.18627167,32.2978096,31.98851013,32.11436462,31.78483963,31.07514381,31.9251442,31.44697189,31.45002556,31.47464943
31.65052986,31.63287544,31.62483788,29.88870049,29.95739937,29.82203102,31.560606,32.04123688,31.60853958,32.50687027,32.45233536,32.53626251
