LFQ.intensity.1 Healthy,LFQ.intensity.3 Healthy,LFQ.intensity.5 Healthy,LFQ.intensity.7 Healthy,LFQ.intensity.9 Healthy,LFQ.intensity.2 Stage3,LFQ.intensity.4 Stage 3,LFQ.intensity.6 Stage 3,LFQ.intensity.8 Stage 3,LFQ.intensity.10 Stage3
28.444,28.473,28.987,29.259,27.705,28.354,29.833,28.777,30.012,29.024
21.220,23.952,20.386,21.142,21.221,21.474,25.083,21.731,24.608,20.731
22.212,21.276,20.830,22.187,20.677,22.127,20.370,22.704,22.536,23.095
20.094,24.982,21.561,21.050,22.246,22.461,26.507,21.499,25.804,20.835
24.285,21.510,21.412,24.422,21.220,21.319,21.329,21.424,22.320,22.124
23.137,21.684,23.435,21.865,20.483,22.903,23.038,22.085,22.829,23.363
24.628,24.280,24.973,24.107,21.434,24.685,25.309,23.542,24.937,25.012
22.845,21.602,21.785,21.454,22.261,21.635,27.896,20.635,29.322,20.027
22.453,22.764,21.196,23.142,21.244,20.843,19.887,22.022,22.879,21.319
21.588,23.961,23.506,23.613,21.305,20.453,22.161,19.722,24.095,22.494
26.114,26.430,26.504,26.548,20.443,26.295,26.862,25.851,27.054,26.114
20.663,20.949,21.427,20.589,20.511,19.321,21.309,21.902,25.315,21.451
28.087,25.356,28.123,28.441,24.462,27.326,28.410,28.119,27.283,27.950
28.730,27.231,28.601,28.163,26.793,28.079,29.278,28.391,27.919,29.032
25.385,25.665,26.086,21.947,23.660,25.183,26.427,24.234,25.678,25.829
24.068,21.033,23.971,21.472,21.272,22.858,24.082,21.037,23.984,24.847
26.588,26.169,26.205,26.339,21.700,26.000,27.030,26.191,25.905,26.882
25.211,22.036,25.344,24.849,20.969,24.658,24.354,24.853,24.045,25.417
24.010,23.717,23.886,24.649,20.889,24.467,24.135,23.570,24.308,24.560
26.203,26.077,26.358,26.463,24.702,26.031,27.156,26.023,26.369,27.200
27.265,26.660,27.247,26.815,25.724,26.777,27.990,26.921,27.364,27.461
21.263,21.630,23.278,23.162,20.505,22.831,21.746,22.257,22.868,23.846
24.294,25.311,24.985,24.833,24.716,23.935,25.501,23.559,24.522,23.752
29.290,28.234,28.942,28.416,27.040,28.698,29.077,28.261,29.027,29.997
24.371,25.041,24.953,25.056,24.419,25.618,25.349,25.470,25.171,24.698
24.436,23.353,23.980,23.911,22.548,24.379,24.981,22.917,24.510,24.564
25.256,21.637,26.769,27.736,26.597,25.035,28.277,26.813,29.445,25.039
25.058,25.998,25.915,24.916,22.300,25.007,26.028,24.593,26.709,25.942
21.215,21.110,20.954,20.901,20.121,21.079,20.789,22.022,22.020,21.045
25.913,26.207,26.331,25.761,21.758,25.528,26.924,25.674,26.038,26.372
21.808,22.135,22.194,20.454,21.052,21.082,20.341,20.816,20.459,21.999
25.148,25.236,25.458,25.114,23.405,21.361,24.331,24.310,24.291,25.856
23.729,23.498,24.280,24.505,21.513,24.127,24.134,23.770,24.442,24.282
24.910,28.110,25.983,26.302,24.661,26.045,27.740,25.150,28.161,27.099
21.246,21.720,21.956,22.183,20.941,21.155,22.287,21.819,23.285,22.346
19.967,21.831,21.767,20.816,21.143,21.070,21.995,20.501,22.985,22.236
25.359,19.334,25.425,25.560,20.689,21.137,25.780,20.122,20.755,20.859
25.449,26.190,26.046,27.075,23.712,25.733,27.127,25.470,27.764,26.151
23.626,23.174,23.518,23.984,22.647,23.446,24.509,23.122,24.457,24.083
23.585,23.865,24.424,24.709,21.844,23.764,25.822,23.818,24.724,23.832
26.401,26.715,26.540,25.070,25.645,25.841,26.203,25.991,21.419,26.143
22.044,21.302,21.208,20.725,20.564,22.592,22.065,20.211,21.590,22.459
24.262,24.965,24.885,24.814,21.968,25.167,24.610,24.205,24.991,25.291
20.520,25.616,24.148,25.226,21.832,24.321,24.714,22.374,26.547,24.957
24.817,25.081,24.501,24.329,19.967,24.116,25.243,24.396,25.096,24.526
24.143,24.303,23.810,23.667,19.320,23.139,24.857,23.915,23.818,24.210
27.012,26.966,27.073,26.974,21.147,26.506,27.678,26.441,26.839,27.231
22.439,25.109,24.042,25.267,20.423,19.273,20.896,20.405,25.489,24.439
21.100,22.129,20.504,21.854,20.879,20.952,22.665,21.155,23.357,21.507
22.011,22.189,20.440,21.801,21.290,22.052,20.069,21.233,20.151,21.259
26.054,26.431,26.389,25.848,25.208,22.028,26.942,25.299,25.209,26.203
21.273,24.408,24.504,25.496,23.023,21.013,24.129,20.377,25.750,21.733
30.866,30.379,31.411,32.165,29.291,30.629,31.527,30.341,33.253,32.039
20.246,23.421,23.676,22.958,21.389,21.169,25.011,21.668,25.553,23.352
22.111,22.787,22.816,22.327,22.385,21.104,23.323,21.279,23.117,20.264
28.660,28.405,28.773,28.692,22.803,28.615,28.707,28.093,28.393,28.916
21.856,23.009,20.857,21.836,20.814,22.970,23.710,21.329,21.766,21.872
21.038,25.937,20.947,25.015,20.698,24.122,25.143,20.241,26.720,24.304
21.190,25.865,24.421,20.268,21.694,21.937,26.262,20.975,25.273,25.645
24.647,24.347,24.695,24.703,23.591,24.091,24.872,23.877,21.194,24.403
26.670,21.387,22.282,27.107,20.434,25.799,24.704,21.408,26.994,26.440
28.529,24.128,29.043,28.754,25.161,27.495,28.536,27.415,28.871,28.245
23.432,23.656,24.034,21.448,21.336,23.536,24.300,22.644,23.803,23.039
27.365,25.724,27.512,27.194,24.958,26.605,28.277,26.830,26.895,27.385
21.119,21.182,20.856,20.870,21.128,22.283,20.655,21.809,20.104,23.673
20.184,23.463,20.259,20.956,20.440,20.310,22.947,21.274,24.110,21.062
26.568,25.730,25.831,25.843,24.330,26.250,26.489,25.451,26.096,26.758
20.610,21.367,23.316,22.871,22.066,22.339,23.454,20.487,24.053,23.929
24.977,23.698,24.888,24.980,23.162,24.769,25.420,24.355,24.886,24.971
22.764,24.295,24.757,23.764,21.222,24.513,24.644,22.611,23.927,24.828
23.742,24.588,23.397,24.795,21.398,23.671,24.645,23.162,25.593,24.534
26.981,27.474,27.883,27.583,26.300,26.554,28.099,21.548,27.140,27.462
27.754,28.363,28.608,28.038,25.731,27.759,28.936,28.111,28.727,28.046
25.196,26.151,25.913,26.868,23.405,25.365,26.794,25.362,27.617,26.042
21.275,20.748,22.833,22.107,21.956,21.820,22.946,21.044,22.739,23.438
22.315,23.742,22.734,20.993,20.337,22.798,23.009,21.125,23.572,23.293
24.033,24.166,23.575,24.533,20.780,23.395,24.729,23.595,24.924,24.097
24.415,24.873,24.675,24.526,21.145,23.703,24.312,19.899,21.198,25.175
28.832,29.516,28.992,29.458,28.490,29.574,29.740,28.771,29.728,29.786
20.792,22.880,20.281,21.343,20.929,20.720,21.950,21.112,23.578,22.252
23.298,23.322,22.879,21.182,22.305,22.361,23.698,20.616,21.182,21.767
21.220,25.938,20.357,22.028,21.389,20.548,21.948,23.163,26.109,25.217
27.058,27.345,27.608,27.015,25.229,27.810,27.720,26.927,26.063,29.039
22.433,20.702,21.177,19.786,22.225,20.566,23.865,21.734,20.709,23.369
21.426,23.117,22.749,22.901,22.101,21.472,21.845,21.016,22.797,22.471
