DMSO1,DMSO2,DMSO3,BEZ1,BEZ2,BEZ3,CRIZO1,CRIZO2,CRIZO3,DASAT1,DASAT2,DASAT3,ERLOT1,ERLOT2,ERLOT3
,10617773,,13500005.7,14497387.9,,18344249.84,,20265136.55,17050864.14,14902433.16,18273330,,15749015.48,14153161.28
857856548.4,629462105,212059298.3,902298759.2,758669425.8,814116129,1252276996,1055253057,912718985,1032448421,974435096.7,1104732354,956119964.1,770561618.7,1121639754
29076338.16,28222806.56,68841267,64169146.3,70349061.37,83399173.27,102262371.2,52034717.55,62765010.64,89615896.5,12698893.25,58783686.75,33870511.09,81501124.68,65440854.64
,10617773,,13500005.7,14497387.9,,18344249.84,,20265136.55,17050864.14,14902433.16,18273330,,15749015.48,12824220.56
,,8497592.41,8550742.947,8647889.658,9048030.236,10913588.83,10764181.31,7784333.523,7589690.041,6026814.252,8001545.578,7491117.226,7171685.26,7572205.466
20820269.32,19308485.25,75873127.46,42789395.87,37370486.26,128528904.4,52368418.69,46265567.82,71838109.96,46628534.2,30466735.45,68799952.24,19284555.16,22019175.16,84771945.72
,,7181877.285,,,3262876.001,7631212.085,9282132.19,10007336.93,,,,,,
24324095.88,30512448.35,115361704.2,74176258.18,67112420.63,104549950.2,65179616.99,98752235.03,87082233.79,98478039.09,67413792.34,112518151.3,65643144.91,51286815.53,109235022.3
,45002628.66,60015292.8,44453872.61,39020723.06,,35787939.26,43802071.74,53956484.6,21734468.32,,,34296083.78,48985850.66,53909967.92
,,23567957.63,,,17808968.42,13602819.96,,4958808.595,,,,,,19255282.89
9935297.736,9976072.483,12126915.19,7431994.707,10061107.67,9347945.261,6830875.321,8238449.538,7489540.107,16203214.98,17050625.13,13448666.34,15961858.95,14692834.88,11041464.38
6127565.218,7071244.559,15379340.91,4336029.403,,7140969.616,,,,22147526,15952890.96,9617793.571,16061043.91,14899690.53,6269453.029
,,,4273732.07,5136976.843,4298829.514,,,,6316845.97,6428432.75,4734935.809,,6536760.106,
44547914.25,43419601.93,56528852.25,57891195.23,49149221.51,75235215.59,56693806.26,3366284.048,80152765.9,,,,,31423806.28,47305465.62
,,14026621,14895427.39,18988710.9,14167957.27,18081759.31,32119296.57,15281752.03,,,,7442216.733,10754911.77,7594143.899
,7203032.84,16810065.77,,,10720003.07,7154267.814,7943941.359,11226137.79,,,9215021.59,,,8179589.956
,,,,,,40662170.69,30363361.01,,,,83095251.97,,68615234.7,
159066496.1,197982831.3,224540089.6,206989158,209779944.6,228669177.7,223967717.5,178878216.9,172701671.4,115998731.9,110219659.4,129756601,220790337.9,206247247.4,196837140.8
