Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
0.2389,0.4339,0.3363,ND,-0.4327,ND,0.4660,0.5521,0.5282
0.3297,0.4626,-0.1850,-0.9424,ND,ND,0.1656,0.4586,-0.2475
0.1628,ND,0.4115,0.7442,0.9762,ND,0.5241,ND,-0.6884
0.2262,0.2853,0.4319,-0.8935,0.3469,-0.5482,0.1472,0.2986,0.1845
0.2799,0.3431,0.2425,0.8232,0.8876,-0.4617,0.1323,0.3185,0.4271
0.2716,0.3135,-0.3146,0.7988,ND,0.8256,0.2646,0.3162,0.7246
0.2288,0.4951,0.2129,0.7769,0.9614,0.6413,0.4426,0.1882,0.1327
0.4445,0.2243,0.1284,ND,-0.7755,ND,0.9455,0.3514,-0.1720
0.2219,0.8783,-0.1628,-0.6872,-0.7384,0.6127,0.5551,0.7535,0.6386
0.2153,ND,ND,ND,ND,0.7847,-0.2735,ND,ND
0.7138,-0.3151,0.2148,ND,0.9439,0.6134,0.3369,-0.1462,0.1759
0.1963,0.4965,0.1366,0.9874,0.6468,ND,-0.3192,1.5782,-0.2567
0.4197,0.1526,0.1896,ND,-0.1393,-0.9716,0.5445,-0.1245,0.4398
0.1863,-0.3483,0.2349,-0.4995,-0.9368,0.2719,0.1668,0.3443,-0.5534
0.1784,0.7597,-0.1321,-0.6292,-0.1728,-0.7886,-0.5873,0.7155,-0.5345
ND,ND,0.1679,ND,-0.1529,-0.7960,ND,ND,0.2554
0.2495,0.1617,-0.2856,0.8424,ND,ND,0.2189,0.3334,0.9584
-1.2329,ND,1.2233,-0.7613,-0.9158,ND,-0.1292,ND,1.1726
ND,ND,-0.1862,0.8914,ND,ND,ND,ND,0.1728
-0.6942,ND,0.2917,-0.4162,ND,-0.4800,0.9669,ND,0.4541
ND,-0.2839,ND,ND,-0.9632,ND,ND,-0.5856,ND
-0.2945,-0.4734,1.1853,-0.6821,-0.5483,1.5134,0.3868,-0.4731,0.5778
