LFQ intensity IN_1,LFQ intensity IN_2,LFQ intensity IN_3,LFQ intensity IN_5,LFQ intensity IN_6,LFQ intensity PD_1,LFQ intensity PD_2,LFQ intensity PD_3,LFQ intensity PD_5,LFQ intensity PD_6
23076000000,26891000000,21354000000,18457000000,22182000000,9397600000,8227500000,14174000000,8503100000,14319000000
146100000,345170000,234230000,392420000,231000000,0,0,0,0,0
38998000,41761000,41836000,27384000,33140000,0,0,0,0,0
304570000,46153000,0,0,36421000,0,0,0,0,0
2636600000,3130800000,2507700000,1312100000,2340400000,148670000,115740000,136400000,58758000,790140000
854840000,704760000,691990000,1143200000,694650000,0,0,0,0,0
438010000,444020000,696520000,486450000,541050000,9699800,155570000,348550000,0,292190000
1442100000,1204700000,1481900000,444080000,923200000,22564000,0,23680000,0,29504000
347980000,348760000,346290000,230090000,245990000,661460000,282110000,372460000,310970000,296080000
65260000,64098000,70751000,64806000,23664000,0,0,0,0,0
29350000,24209000,25831000,29736000,24543000,0,0,0,0,0
398390000,407030000,340370000,438770000,319640000,0,0,0,0,0
44010000,39993000,57404000,30360000,37276000,0,0,0,0,0
3103400000,1987700000,3884100000,1988400000,2953300000,294420000,177220000,231880000,207300000,361730000
46309000,78479000,73254000,57507000,56281000,0,0,0,0,0
279860000,249880000,297590000,306060000,322670000,0,0,0,0,0
9541300,13044000,11527000,0,0,0,0,0,0,0
40083000,30530000,38562000,76121000,47860000,0,0,0,0,0
66380000,143050000,91787000,199670000,152260000,0,0,0,0,0
56584000,86813000,43924000,55815000,47839000,0,0,0,0,0
34952000,19512000,23098000,0,15879000,0,0,0,0,0
897790000,897090000,986700000,1251000000,1484900000,0,0,0,0,0
56198000,73520000,47218000,73212000,46078000,0,0,0,0,0
260060000,293890000,230940000,271140000,176600000,0,0,0,0,0
238520000,178820000,198640000,159850000,154400000,0,0,0,0,0
807520000,400720000,517690000,331720000,624620000,0,0,0,0,0
203670,0,5226400,0,4081600,0,0,0,0,0
10564000,16070000,14721000,36556000,30476000,0,0,0,0,0
1523400000,2123400000,1856700000,1931700000,2168300000,0,0,0,0,0
293670000,392040000,413330000,367370000,568180000,0,0,0,0,0
47653000,50245000,51015000,64480000,46954000,0,0,0,0,0
129610000,118660000,178620000,174500000,199460000,0,0,0,0,0
238160000,250150000,131840000,353900000,245730000,0,0,0,0,0
359860000,586480000,1227600000,874300000,1115400000,276730000,317910000,137970000,255590000,181230000
163720000,154200000,169260000,138950000,152950000,0,0,0,0,0
1121700,13449000,4677400,0,8806600,0,0,0,0,0
0,0,0,0,0,47231000,393840000,7392500,20522000,0
3864700000,4478500000,3576700000,4199000000,2044200000,224170000,187770000,168430000,39327000,79175000
301200000,375360000,302750000,392730000,306110000,0,0,0,0,0
77211000,174990000,87183000,92459000,120910000,0,0,0,0,0
44387000,63696000,46831000,89564000,32853000,0,0,0,0,0
16465000,12313000,14860000,20214000,9292300,0,0,0,0,0
0,12178000,0,0,0,0,0,0,0,0
33163000,26721000,84744000,3797100,14994000,0,0,0,0,0
2745000,0,1881500,0,2030600,0,0,0,0,0
5356100000,4056800000,5010600000,9461900000,2994200000,9551400000,9952600000,9906700000,11346000000,11958000000
42265000,77125000,53889000,58736000,64123000,41812000,0,0,0,0
27670000,21588000,31632000,21536000,21294000,0,0,0,0,0
40060000,60854000,66292000,56353000,30156000,0,0,0,0,0
38618000,39644000,28102000,34167000,18500000,0,0,0,0,0
33817000,195570000,224930000,410060000,205490000,0,0,0,0,0
0,0,27528000,31234000,17025000,0,0,0,0,0
3196900000,3028100000,924910000,3478700000,779710000,96876000,37232000,129570000,0,52470000
1168900000,3404400000,5535900000,4878700000,5587300000,2880300000,4270000000,3511000000,2588800000,3122200000
100820000,81998000,67916000,61625000,88192000,0,0,0,0,0
0,0,0,0,380030000,0,0,0,0,0
3212300000,2919900000,3438800000,3920900000,3726900000,52000000,120880000,669870000,819730000,91641000
5253700000,5180100000,5285500000,7854800000,3111600000,5899100000,5979500000,7294700000,2824700000,6234000000
8031600,10658000,4077700,5916200,8427000,0,0,0,0,0
541000000,392270000,562360000,373790000,348420000,0,0,0,0,0
9258500,0,9702700,14179000,11161000,0,0,0,0,0
624790000,752650000,780520000,807340000,629990000,0,0,0,0,0
201760000,257590000,232420000,189880000,246540000,0,0,0,0,0
621780000,559960000,554770000,617220000,515440000,0,0,0,0,0
0,0,0,0,0,64354000,110230000,122320000,76170000,110630000
2968600000,3568600000,3171400000,4652300000,2846900000,582380000,553130000,528470000,238450000,474890000
1620500000,1612400000,1450600000,1753500000,1178500000,0,0,0,0,0
25744000,22090000,22448000,0,16985000,0,0,0,0,0
30685000,0,21880000,34763000,0,0,0,0,0,0
57106000,42389000,56303000,0,20577000,0,0,0,0,0
16022000,0,15397000,18536000,11109000,0,0,0,0,0
1495500000,1155800000,1132600000,1020000000,1156500000,601420000,808500000,927050000,211870000,1214600000
2805300000,4138600000,1647400000,7546300000,2573200000,0,0,0,0,0
821200000,608250000,69836000,258320000,570700000,80433000,64633000,64512000,34964000,30013000
80778000,88070000,67651000,121990000,89122000,0,0,0,0,0
1337800000,1929900000,2002000000,3061900000,2378800000,1379800000,1066200000,1172600000,441220000,711440000
1588000,2870000,3007600,6568100,4386600,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
3962200,2835000,5677400,3463900,6139300,0,0,0,0,0
12593000,0,13241000,10468000,7175200,0,0,0,0,0
0,0,0,0,0,0,244990000,0,0,0
1598900000,1345800000,1794600000,1706800000,1131700000,575790000,395700000,489110000,610180000,261880000
0,0,0,0,0,21318000,11346000,25107000,25135000,22230000
508680000,135600000,350810000,962780000,657860000,50858000,26799000,30975000,31863000,47214000
85086000,47307000,104480000,72090000,199480000,0,0,0,0,0
0,23844000,14733000,0,27786000,0,0,0,0,0
125380000,39424000,93528000,75300000,83146000,106870000,135580000,203370000,156820000,505680000
19351000,16690000,12677000,17271000,0,0,0,0,0,0
0,0,0,0,3805500,0,0,0,0,0
27169000,18720000,28145000,24877000,37491000,0,0,0,0,0
349480000,46934000,81401000,93161000,146310000,0,0,0,0,0
74557000,76849000,72712000,50544000,58252000,0,0,0,0,0
176310000,144410000,191760000,0,154680000,218200000,201280000,190370000,354960000,196510000
948470000,951320000,797430000,1708000000,1533100000,0,0,0,0,0
168780000,345480000,405980000,210490000,168020000,187660000,106260000,99901000,57904000,217200000
119190000,152170000,145820000,157550000,127650000,0,0,0,0,0
2095300000,1448000000,2177800000,1425600000,1613700000,1849500000,1646200000,934630000,2102100000,2895200000
97384000,99301000,78010000,93936000,64986000,0,0,0,0,0
1634700000,1263300000,1737100000,1557400000,1462200000,378660000,567970000,311830000,1143100000,605810000
842590000,967370000,822180000,733060000,517880000,0,0,0,0,0
18187000,13547000,15990000,13443000,19094000,0,0,0,0,0
499420000,432510000,447730000,362160000,419050000,0,0,0,0,0
176620000,197010000,275000000,187740000,116630000,0,0,0,0,0
363560000,345590000,307120000,656560000,434180000,0,0,0,0,0
4375500,5189500,47540000,12303000,0,0,0,0,0,0
14448000,13920000,9696700,15926000,14979000,0,0,0,0,0
34110000,36124000,71198000,18379000,98258000,0,0,0,0,0
33351000,48049000,28944000,31464000,26006000,0,0,0,0,0
2664400000,6534000000,3100300000,5586200000,2200100000,27406000,0,77425000,0,0
6182900,3410800,8159500,0,0,0,0,0,0,0
306400000,207490000,249060000,231570000,290570000,4357800000,4836200000,3074700000,3652300000,3132300000
69532000,63881000,67505000,24017000,60269000,355300000,402580000,0,77772000,294350000
59767000,48576000,41260000,46122000,40161000,0,0,0,0,0
89717000,62867000,106140000,150650000,133940000,0,0,0,0,0
