Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
-0.5873,0.7155,-0.5345,ND,ND,ND,0.1784,0.7597,-0.1321,-0.6292,-0.1728,-0.7886
-0.5398,0.7285,-0.5384,ND,ND,ND,0.8631,0.6900,0.2582,ND,ND,ND
-0.5472,-0.6869,1.4794,0.3115,ND,ND,-1.9481,-0.1378,1.9547,ND,ND,ND
ND,-0.2485,-0.8529,ND,ND,ND,ND,-0.1199,0.3195,0.3447,-0.3173,0.9416
-0.6494,0.7983,-0.5653,ND,ND,ND,0.2222,0.7566,-0.1840,0.9659,0.1162,0.3872
-0.5699,ND,ND,ND,ND,0.1870,0.8760,ND,ND,ND,ND,ND
-0.7947,0.1370,-0.5734,ND,ND,ND,0.2173,0.2644,0.5859,ND,ND,ND
-0.3612,-0.7892,ND,ND,ND,ND,-0.5785,-0.3832,ND,ND,ND,ND
-0.3374,-0.8225,ND,ND,ND,ND,0.7193,0.5525,ND,ND,ND,ND
ND,-0.5856,ND,ND,ND,ND,ND,-0.2839,ND,ND,-0.9632,ND
-0.5922,ND,ND,ND,0.5646,0.8459,-1.2166,ND,ND,ND,ND,ND
-0.5949,ND,ND,ND,ND,ND,-0.2938,ND,ND,ND,ND,ND
-0.8339,0.7468,-0.6122,ND,ND,ND,0.1132,0.6460,-0.9246,ND,ND,ND
ND,-0.6215,ND,ND,ND,ND,ND,0.8345,ND,0.2526,ND,ND
-0.6327,ND,ND,0.2339,0.3932,-0.5135,0.2462,ND,ND,0.5935,ND,-0.1214
ND,ND,-0.6422,ND,ND,ND,ND,ND,-0.4359,ND,ND,ND
-0.5852,-0.7281,ND,ND,ND,0.9427,-1.6237,-0.5919,ND,ND,ND,ND
ND,ND,-0.6582,ND,ND,ND,ND,ND,0.1483,0.2392,ND,-0.3483
-0.6649,0.6761,-0.8277,ND,0.1744,-0.1194,0.4733,0.7294,-0.5832,ND,ND,ND
ND,-0.3568,-0.9927,-0.5319,ND,ND,ND,-0.4538,0.2336,ND,ND,ND
ND,-0.6749,ND,-0.1364,0.3195,-0.2921,ND,0.1116,ND,ND,0.1378,-0.7146
-0.9414,ND,-0.4674,ND,-0.1912,0.2248,0.9819,ND,-0.8985,ND,ND,ND
-0.7282,0.8217,-0.9769,ND,ND,ND,0.2428,0.7876,-0.8421,-0.3825,0.4826,-0.9412
1.2600,-1.6324,-0.7375,ND,ND,ND,-0.2581,-1.6212,1.2540,-0.1965,ND,ND
ND,-0.7499,ND,ND,ND,ND,ND,-0.3356,ND,ND,ND,ND
-0.7719,-1.6998,1.6117,0.3777,0.2234,0.8774,-1.6865,-0.7199,1.6399,ND,ND,ND
ND,-1.4341,-0.1225,ND,ND,ND,ND,-1.4742,1.2395,ND,ND,ND
-0.8319,ND,ND,0.1542,0.3345,0.1964,0.1734,ND,ND,ND,ND,ND
-0.8562,ND,ND,-0.1235,-0.4427,0.9384,-0.7744,ND,0.1816,0.1695,0.1442,0.1227
-0.9332,0.7748,-0.8673,0.9164,0.1448,0.1153,0.3668,0.8378,-0.1922,ND,ND,ND
-0.7657,ND,-0.9891,ND,ND,ND,-0.2259,ND,0.2835,ND,ND,ND
-0.8879,ND,ND,0.1611,ND,ND,0.3575,ND,ND,ND,ND,ND
-0.8928,ND,ND,ND,0.5498,ND,0.3194,ND,ND,ND,ND,ND
ND,-0.9161,ND,-0.3645,ND,ND,ND,-1.9291,ND,ND,ND,ND
-0.9381,ND,ND,ND,ND,ND,0.7421,ND,ND,ND,ND,ND
ND,ND,-0.9552,ND,ND,ND,ND,ND,0.1286,ND,ND,ND
ND,ND,-0.9782,0.1925,ND,-0.1122,ND,ND,-0.1628,ND,ND,ND
ND,-1.8920,-0.9697,0.8554,ND,ND,ND,-1.7378,0.9875,ND,ND,ND
ND,ND,-1.4530,ND,0.4236,0.1113,ND,ND,0.3353,ND,ND,ND
ND,-2.1354,-1.2522,ND,ND,ND,ND,-2.1741,1.5213,ND,ND,ND
ND,-1.7484,ND,-0.8393,0.5454,0.8785,ND,-1.6527,ND,ND,ND,ND
-1.7541,ND,ND,0.1776,-0.1314,ND,-1.2217,ND,ND,ND,ND,ND
ND,-2.3343,ND,-0.5652,ND,-0.4793,ND,-2.4660,ND,0.3458,ND,0.2647
ND,ND,ND,0.2179,0.5965,0.7974,ND,ND,ND,ND,ND,0.7933
ND,ND,ND,ND,-0.8748,0.1374,ND,ND,ND,ND,ND,0.1813
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.9966
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.2981,ND
ND,ND,ND,0.1746,0.6742,-0.8248,ND,ND,ND,1.3843,ND,ND
ND,ND,ND,-0.2357,ND,-0.1645,ND,ND,ND,0.3445,0.1289,-0.3253
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.1136,ND
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.8716,ND
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.1777
ND,ND,ND,0.1716,ND,0.1425,ND,ND,ND,ND,ND,0.1336
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.1633
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.1125
ND,ND,ND,ND,ND,0.2846,ND,ND,ND,ND,ND,0.2824
ND,ND,ND,0.1395,0.3219,-0.1242,ND,ND,ND,-0.4166,0.2168,0.5244
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,-0.6245
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.9632
ND,ND,ND,0.3242,-0.1788,0.8383,ND,ND,ND,0.4598,0.1714,0.1176
ND,ND,ND,0.5959,0.1978,ND,ND,ND,ND,0.1925,ND,ND
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,-0.4875,ND
ND,ND,ND,0.3839,-0.1618,0.2314,ND,ND,ND,0.2488,ND,ND
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.4182
ND,ND,ND,-0.4379,ND,ND,ND,ND,ND,ND,ND,-0.4171
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.9391
ND,ND,ND,0.3823,-0.7416,ND,ND,ND,ND,-0.1956,ND,0.2192
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.7283
ND,ND,ND,0.1784,0.1115,ND,ND,ND,ND,0.4383,0.2982,ND
ND,ND,ND,0.3387,ND,ND,ND,ND,ND,0.6567,-0.1286,-0.6172
ND,ND,ND,0.1445,0.2432,0.1323,ND,ND,ND,ND,ND,0.1851
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.1940
ND,ND,ND,0.1616,0.2388,0.1315,ND,ND,ND,0.2679,0.1316,0.1846
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.1168,0.1115
