Raw Abundance 35,Raw Abundance 45,Raw Abundance 50,Raw Abundance 55,Raw Abundance 60,Raw Abundance 75
322027,356134.9,248370.8,80790.5,49975.3,11336.6
863.1,897.9,685.3,265.2,184.5,50.6
4341.7,3829,3611.7,1604.3,1097,662.7
12099.4,11519.6,9545.8,3914.8,3000.7,1039
15372.2,17008.5,14756.3,8747,9223.2,2368.4
205041.3,229186.5,199825.5,111380,62714.4,10559.2
21500.4,25823.6,20658.1,9890.5,8758.1,13506.7
44512.5,50523.3,44185.8,22984.4,18234.5,23207.7
100216.9,109427.3,99815.3,61456.2,44176.3,69588.9
96501.1,101429.2,94702.1,57384.5,47002.9,69009.4
13523.7,13963.1,11351.1,4447.3,3341.6,849
193809.4,206497.1,171307.8,54794.2,42556.5,9575.2
248034.7,252472.8,211616.7,75917.7,58674.8,9293.6
196681.6,195548.5,164043.7,58498,45195.1,8516.6
132105.8,137000.6,124378.3,58802.2,32138.5,10365.9
732.6,785.9,735.2,380.7,471.9,413.5
168987.1,169438.6,150906,64119.5,53225.8,19628.6
184601.7,213342.9,168863.2,54959.8,42856,7087
6805.1,7507.6,6590.9,2152.1,1774.3,290.1
138437.8,156365.1,118088,38926.6,31195.7,4719.7
939.6,872.4,803.5,303.3,227.1,51.7
105630.2,108685.5,96507.1,35412.4,26859.8,5961.5
85966.7,93728.8,79303.1,29742.5,22936.6,4389.5
65875.8,70457.8,56435.2,20081.2,16980.1,8549.2
5182.5,4880.7,4706.4,1805.5,1209.7,658.6
112169.1,121829.4,96144.3,36393.6,27198.3,6456.6
104249.7,101115.3,87432.1,34409.8,31192.5,15184.8
227316.5,233109.1,186095.4,67805.7,55491.4,12072.7
137105.6,133515.3,112947.8,40681.8,30801,6900.5
79289.6,88042.2,66981,23786.2,17836.9,3269.4
4495.3,2344.4,3961.2,981.8,691.4,98.8
197284.5,211452,179552.7,75223,49213.9,13408.2
5763.5,5866.3,5479.2,2451.3,1513.9,566.3
90860.4,95269.6,79230.8,28774.9,20283.9,4096.8
78955.4,83086.6,64482.9,22645.1,20498.8,16514.8
21647.3,34005.4,20245.5,7538.7,7189.2,5877
137524.8,147419.7,132259.8,69793.4,36972.1,7559.6
71452.7,72006.2,60712.4,24581.5,19106.3,9698.5
16027.8,16095.5,13855.3,5453.1,4392.2,2025.5
91717.1,104744.2,88674.3,43459.5,25242.5,3874.2
118552.5,113947.9,99621.7,33582.8,27763.2,4909.6
15744,19774,17322.5,9530.4,10937.8,11531.2
484934.2,486539.7,410374.7,162672.6,120168.3,29367.7
120930.7,137987.5,117207.7,57558.9,34801.3,6727.2
166197.7,166690.4,146243.2,45892.2,38662.4,9040.7
3412,3940.4,3601,1617.9,1144.3,535.8
75329.8,76260.5,63522.9,22215,17280.3,3564.5
52271.9,48765,40864.2,14011,10986.5,2173.4
15821.1,15041.4,12134.7,4261.6,3152.2,670.4
50205.2,47515.1,45991.8,24423.5,18058.9,3630.4
98151.6,107099.6,87580.4,31803.2,24834,6343.9
9579.1,10415.9,8080.7,3393.1,3300.3,2182.7
101847.6,103223.7,80587.2,34455.6,31475,24149
24579,23927.3,20210.5,8327.9,10299.7,10889.3
25251.4,25302.3,21119.1,9542.3,11020.1,11228.2
62232.1,81551,70190.2,24819.1,19011.1,5356.7
6284.2,5735.2,5524.2,2456.4,3279.6,3105.6
299387.2,324005.3,252145.3,86228.5,68068.5,10645.9
13564.6,16584.5,13202.4,4646.4,3671.7,361.9
29802.8,31146.6,26299,9729.1,9611.3,5375.9
57383.1,56241.1,45523.5,17918.4,13115.1,3891.1
292059.6,299261.4,238977.8,84902.5,62193.1,13335.1
190900.4,203391.4,160635.3,54723.1,43111.2,8175.2
49019.8,52845.3,42284.8,15575.1,11412.5,2707.3
210458.3,225985.8,183951.6,62078.8,49845.9,9520.8
1566.9,1464.6,1338.2,623.1,473.4,199.5
43810.6,43603.8,37443,13583.5,10057,1808.2
355529.1,368625.1,302027,104549.5,83345.1,12626.6
40660.3,39717.9,33866.5,11939.2,8908.3,2510.4
140107.1,138306.8,114807.9,41675.6,32323.5,6220.3
9855,10010.2,8828.4,4986.8,4529.7,4243.7
17101.9,17642.5,15421.8,6490.7,3870.3,1059.5
1816.3,1779,1695.7,829,632.5,290.8
299943.2,312922.3,269267.1,116190.1,79615.7,26191.9
37382.9,37128.1,30105.1,11957.5,7485,2710
59408.9,53801.7,48614.1,19176.5,13377.6,4630.8
1105.1,1118.6,982,484.8,227.9,58
872.1,826.1,762.6,376.8,303.2,154.7
67403,67593.1,56369.6,21730.6,14747.2,6131.5
49956.1,49578.8,43192.3,17435.8,11951.9,3499.1
143041,152466.7,138631,97785.7,101725.1,47392.3
329873.5,326126,267141.8,97374.9,61993.9,21311.6
97393.7,98707.7,94815.7,63589,49900.7,6871.1
71756.7,75039.7,67473.2,27506.3,15361.1,5214.5
106178.7,108263.2,97148.4,37497.7,20261,7451.4
21798.9,23264.7,20792.8,9357.2,5401.8,1927.5
2658.7,2612,2488.8,1667.8,1741.9,1434.9
159492.1,171284.5,151206.6,48289.9,30769.2,9848.1
16886.3,15427.6,16494.7,11587.8,9337.8,2040.5
52451.3,55639.2,51328.2,32245.4,27468.1,19558.1
25107.1,25672.3,23789.5,12387,9314.9,4636.1
288989.5,278148.6,227707.8,81794.3,56442.5,17874.7
5769.1,5959,5349.7,2963,1513.7,618.9
168613.7,175954.2,163796.7,107101.8,98944.5,83030
53350.8,55734.5,50961,29131,11484.2,3822.9
2021.7,2217.7,1881.2,729.3,476.1,180.8
8028,8310.5,7093.8,3110.2,2259.9,1122.1
11162.5,11799.7,10688.8,4211.9,2687.9,1186
690.4,557.1,683.5,457.1,322.6,289.3
32180,33924.7,30424.6,16058.5,7639.6,2866.3
23110,26449.1,22853.1,14202,9176.9,2696.9
26267.7,30016.4,25168.7,12724.7,5761.5,1855.2
8950.5,8685,8390.2,4727.7,2290.5,699.4
7519.7,7475.1,7240.5,4637,1914.6,799.3
20618.3,20781.7,20113.1,12675.5,10777.2,7223.4
54911.1,50260.3,51505.6,26243.8,13680.1,4915.6
8251.3,8089.7,6966.6,2946.8,1982.4,954.6
8121,7831.2,6968.4,3146.9,2117.1,860.9
7939.4,7534,7414.2,2869.5,1879.4,907.4
