Reporter.intensity.0,Reporter.intensity.1,Reporter.intensity.2,Reporter.intensity.3,Reporter.intensity.4,Reporter.intensity.5,Reporter.intensity.6,Reporter.intensity.7,Reporter.intensity.8,Reporter.intensity.9
351014,318095,307510,273122,344334,335303,337380,270069,342606,331266
21718,21595,64660,26090,25276,20103,18788,19635,25641,21682
99021,158757,113229,124977,143182,159438,97643,123161,137702,146966
108829,125265,111654,99220,114679,143011,106097,100851,118107,156647
79662,31087,67884,197918,31313,46618,80205,194021,29983,40604
12834,32089,22403,51987,13090,24959,9076,44903,10846,21344
133160,59934,121172,74734,130221,65737,127985,73922,127628,67487
6116,6855,6458,9381,5773,8417,5876,8273,6137,7795
75331,51404,94341,90981,155199,60067,84513,92946,155708,55431
67749,410878,102250,90914,154544,421972,62746,92069,161861,432347
112124,62110,110561,109891,101430,73594,114912,115500,109544,77873
76294,168018,144408,95765,169779,134284,82978,98442,167145,136515
46066,10733,54494,33166,15650,11083,42984,32124,13825,11548
181069,448095,196154,307493,246082,443189,188390,310244,259918,451609
142396,82588,118014,83054,101450,85775,142707,86538,104753,86493
36706,146003,42854,48645,57638,58337,40259,43416,59416,64781
148811,466942,147321,127603,210805,318974,164873,124709,216806,343767
236076,199631,254732,249311,209703,248487,237358,260638,203877,245987
28234,34626,103641,23704,43164,38467,28185,23221,41991,41349
399344,471642,372589,495400,308531,460066,422840,515234,332137,481632
869709,709743,721794,496173,782054,711805,847099,494402,809068,747451
1185099,376399,966596,1026372,853064,456559,1163712,1045608,843844,454599
294381,230488,316128,195255,239845,190117,290139,193629,244431,196931
649364,771981,733088,489757,685927,864847,651552,489556,708176,904808
1658160,1830701,1534447,1736321,1408779,1522093,1672060,1719925,1374653,1459059
87155,235931,101550,107507,128195,182359,94500,103666,128971,181510
15292,31048,18152,12657,22467,39507,14374,12824,24269,41939
3272528,4440103,3639631,2829181,4723806,4505547,3415196,2912824,4696122,4638604
19637,25759,33103,30017,21872,32896,20323,29717,22996,33725
6776,2720,2173,4590,5218,2802,5666,3663,4694,2051
67612,50932,61835,39537,38152,50481,64698,38661,36510,46279
8514,15482,9263,11943,9001,12758,8803,12018,9953,14819
17105,20864,10787,14882,13875,22618,15768,14381,14535,18347
67724,86602,79278,64794,86643,86945,67790,61052,90789,107412
20171,12573,24238,20757,16213,14964,20087,21772,13401,14447
1817,1804,1896,3589,6117,2234,1991,3498,6499,1640
17874,10690,12041,12060,10622,12962,15889,11281,9819,15171
533084,243730,425988,515197,270007,265962,514533,511081,267148,258088
26161,9924,32262,29520,38199,11009,25381,27667,49880,13153
39688,42169,71612,47045,119644,46837,47252,44943,128023,49121
2534,6120,1156,1989,2166,4467,2215,1929,1853,3967
22593,30344,20221,18246,29328,27224,23798,17587,27474,25752
38698,45520,47036,41767,39875,41894,37020,37642,38796,38237
203590,294839,443135,642521,150134,283016,202486,621644,144685,257788
306017,270735,265309,307064,298093,310599,304890,316317,310428,319065
57338,52381,29884,50396,36890,40214,48209,43455,31663,33802
8717,12327,10349,13035,11364,14674,8549,12858,11978,14042
105976,235722,120656,115516,169977,270047,110038,118817,178889,282751
137937,92810,110158,74909,95540,88938,131529,73758,94173,89349
105560,99800,85386,147884,114132,115046,94962,153353,111954,117513
16971,22878,21897,21884,20075,22708,17649,21084,21341,22660
87455,102671,95050,135751,94755,98267,88643,126247,96868,97117
6346,8645,6348,6461,6396,9201,6423,6670,6042,8958
1216378,750883,847349,897689,870434,744032,1171058,886233,809354,678604
42618,64357,55378,58063,60026,65455,44313,56454,61734,74286
153054,99080,139762,101110,116317,109345,150688,97378,110097,103811
420637,567361,452067,403202,646171,404722,478797,394777,711485,436497
577967,501246,473649,786541,552716,853710,570063,763837,565338,803237
2290,2468,2269,2319,2964,2799,2345,2341,2274,1939
31628,29531,29886,22184,26903,28292,30007,23678,27487,27707
13787,10798,15331,17010,12914,15365,12103,15107,12527,14778
68375,50183,74674,40772,40276,47606,68374,42131,38098,52974
18337,17095,12614,16837,17522,17508,15648,14858,16856,14463
41478,22941,51403,37361,29667,39943,38984,31478,29352,38695
59537,159094,81788,104379,84909,137722,66338,99359,87062,136865
25720,35158,32070,32849,33002,39447,25684,30316,34761,37719
36638,27722,41442,43796,27437,26169,37470,39903,25053,24709
202988,140514,196075,146990,203069,136184,203667,148044,210484,136605
340220,451484,343186,318816,343808,478452,333826,326200,335159,472281
575419,459921,595749,717594,553332,548919,594751,729825,570494,543669
51606,28808,74562,50845,49126,26890,49696,46140,47171,24330
67598,100075,63978,61426,65509,114331,66465,65634,65795,117403
5228,9819,7535,7136,6668,9702,5259,7892,6801,12126
17212,19902,17748,20424,24567,21096,17851,18955,21916,21816
48169,74166,50194,143880,62396,71403,50484,133757,66278,63524
2949,25556,2415,3656,5469,8974,2653,2621,5890,7350
44269,67475,49749,41658,79082,48079,44008,41065,76403,45687
106011,87674,102565,100738,92490,91312,108172,101927,89910,92086
8184,6504,10263,11966,6451,6935,7168,11012,6824,7651
88510,93084,75913,121159,99223,95512,91586,120969,104822,91659
24914,60891,54961,53315,54959,55130,27361,54555,55569,53508
376800,323747,421089,583259,365170,346274,381644,578774,369303,334446
748242,236825,794912,571135,157255,263876,722240,581961,120122,254538
232083,171186,179296,135443,131870,229857,221555,140514,132724,234656
183947,110719,205908,226245,238335,137800,195180,227691,257518,151466
