Abundance Sample AM 36_1 (FFPE),Abundance Sample AM 36_3 (FFPE),Abundance Sample AM 37_1 (FFPE),Abundance Sample AM 37_2 (FFPE),Abundance Sample AM 36_4 (FF),Abundance Sample AM 36_5 (FF),,,,,,,,,
20663134,13622951.63,16323987.69,16845329.25,58213240,24614976.81,,,,,,,,,
8499743,16391613.88,60771074,94860063.75,59171118.13,73568688.63,,,,,,,,,
111748902.9,150724257.8,100707059,138878570.5,169663368.6,146805439.8,,,,,,,,,
3487868.875,5272022.5,11490909.25,7210767.5,5318403.875,13329805.44,,,,,,,,,
2115737.25,11194746.5,0,3757043.875,16226873.06,19515855.75,,,,,,,,,
3076076.75,3696187,0,0,10500708.06,8422167.938,,,,,,,,,
10452780,3973231.5,0,11577406,12953082,13764593.25,,,,,,,,,
8128675,30024077,62908176,43087478,46532475,21333316,,,,,,,,,
4142247,13101355.81,25674987.38,22810847,21514619,11515614.47,,,,,,,,,
363369.4688,297527.2188,0,0,792295.3125,825789.0625,,,,,,,,,
7661115.5,10332369,3586670,5528968.281,12202849,11783399.25,,,,,,,,,
1481408.5,683296.1875,0,0,2437577.563,1649483.875,,,,,,,,,
6367747.625,7808966,0,2530333.75,20560214.25,14851792.5,,,,,,,,,
7619749.5,3330423.375,12700206,18773131.25,28094330.5,23295593.5,,,,,,,,,
61624179.56,58682762.19,65116168.88,88012378.38,94158097.91,86724835,,,,,,,,,
7586413.063,19673238.63,4353685,6508352.406,46854565.5,29533306,,,,,,,,,
17490583.63,11574798,13544541.25,34256672.5,18454297.88,28117550.38,,,,,,,,,
1168073.375,2521081.5,1788257.125,1593791.25,4009439.75,5923407.5,,,,,,,,,
3905805,11547032.5,6614372,24223283.94,35302589.06,14277759.94,,,,,,,,,
4399058.125,0,2787158.75,5416615.875,4445967.375,1512221.5,,,,,,,,,
12724141.13,9435472.25,17205670.75,31543577,51798924,47582512.75,,,,,,,,,
16613167.25,48624564.25,9335957.25,47475181.5,41502659,29430593.06,,,,,,,,,
6637368.5,14537196.56,1565495.375,28376985.5,18222130.88,11511480,,,,,,,,,
733098.625,350092.9688,0,0,1681407.625,4776419.25,,,,,,,,,
1746414.625,0,0,0,4781523.5,3711172,,,,,,,,,
245669759.5,429199934.4,260142272.6,195987674.8,208613935.1,258022997.3,,,,,,,,,
10596836.75,13919666,9009530.563,16306954.5,18093593.5,15118506,,,,,,,,,
716637.125,0,2232492,563413.9375,606848.8125,0,,,,,,,,,
764156.875,2589796.125,3132993,1830338.625,12930153.38,17545750,,,,,,,,,
9625282.125,12354197.19,0,4522365.5,6723323,8958317,,,,,,,,,
1576749,0,4732653.063,7739251.25,66007145.72,49047754.41,,,,,,,,,
74174936.25,123795487.8,147548809.3,125817187.3,222566504.4,151025663.9,,,,,,,,,
2574341.063,14709166.94,0,6456267.5,12533495.5,9588885.375,,,,,,,,,
1079602.875,6551055.25,0,309995,6207978.688,3727241.25,,,,,,,,,
36257583.5,52909137.91,62037890.38,99497238.25,281356895.6,202164123.4,,,,,,,,,
1047901.5,507470.6563,1398799.75,0,2921540.563,2744247.375,,,,,,,,,
