"01H-Ctrl, #01","01H-Ctrl, #02","01H-Ctrl, #03","01H-VOR-dn, #01","01H-VOR-dn, #02","01H-VOR-dn, #03","01H-VOR-up, #01","01H-VOR-up, #02","01H-VOR-up, #03","01H-OKR-up, #01","01H-OKR-up, #02","01H-OKR-up, #03","24H-Ctrl, #01","24H-Ctrl, #02","24H-Ctrl, #03","24H-VOR-dn, #01","24H-VOR-dn, #02","24H-VOR-dn, #03","24H-VOR-up, #01","24H-VOR-up, #02","24H-VOR-up, #03","24H-OKR-up, #01","24H-OKR-up, #02","24H-OKR-up, #03"
0.979427697,0.996688156,0.981964177,1.036026319,1.016389116,1.004101573,1.006712965,0.969665657,0.975920485,1.024219645,0.984204719,0.957669917,1.010949188,0.975864201,1.050352971,1.043601052,1.011469261,1.003272064,0.980924467,1.033374347,1.002040032,0.998631864,0.959500975,0.959702663
1.035100746,0.977903156,1.023414748,1.022055526,0.996867266,1.066561474,1.002770666,0.997523102,1.005890975,1.018240086,1.008802974,0.993045921,0.985322267,0.97659498,1.003191165,0.994448072,0.99449512,1.025721149,0.98416465,0.983841062,0.997120906,1.043807503,0.997677392,0.987892809
1.125860944,1.010659566,0.909961565,0.901946777,0.891165747,0.910738422,1.020776122,0.998924015,0.907807278,0.912153494,0.852178289,1.036463543,1.001782847,0.877050308,1.040790394,1.078173685,0.934685478,0.867660363,0.947007007,0.872050126,0.880398078,0.987217082,0.820176285,1.066688563
0.897173744,0.901538633,0.969135326,1.096896431,0.970765862,1.069547856,0.907973343,0.903853739,0.899009322,0.973514206,0.897987082,0.916097371,0.914027357,0.954074063,0.951035298,0.912888894,0.885575571,0.934985023,0.928770347,1.006681287,0.915304538,0.852183054,0.913269655,0.854504636
0.983825103,1.003357306,0.963474738,0.984401844,1.004554695,1.025741838,1.000479247,1.006166138,1.008856462,1.009698737,0.990642008,0.983641623,0.991615438,1.026742737,0.99167663,0.976457233,0.995237327,0.97273176,1.010206888,0.950592003,1.004436081,0.995089157,1.004461933,0.972587115
1.012127214,1.052163021,1.011431584,1.027059115,1.09689546,1.004126596,1.011435309,0.989845435,0.956538788,0.956321548,1.079191531,0.951204235,0.886474703,1.017596923,1.056817573,1.040973225,0.921665415,1.011417337,1.019221619,0.961642049,1.07836355,0.922115443,0.971873576,1.002589032
1.093268009,0.88678429,1.010985192,0.930658081,0.979346033,0.941378587,0.88969893,0.923000684,0.89453349,1.02907793,0.899770593,0.96437607,0.986054609,0.92806212,0.825616378,0.825494977,1.037377074,0.917573077,0.82563125,1.004314942,0.839194012,1.088295304,0.846122276,0.93477722
1.044695357,0.936051407,1.141283062,1.028406841,1.122308618,1.056252054,0.988720385,0.962183928,1.075341132,0.991850549,1.033046455,1.004902083,1.039735085,1.020120131,1.110424005,1.029778959,1.038593877,1.216156281,1.056330579,1.049977755,1.041635201,1.094406078,1.081116612,0.940709211
0.860342935,0.683407886,0.97105215,1.041647069,0.905384556,1.096053656,0.916882501,0.965993529,0.943918101,1.039126092,0.981341655,0.765007712,1.020503287,1.073679552,0.970201708,0.897342409,0.957964071,0.996284127,0.989532631,1.019255579,0.85466241,0.850623273,1.05956784,0.930978991
0.943557944,0.954610898,0.946505981,1.052157137,0.997036683,1.006784342,0.915510423,0.964583704,1.024699306,1.033388815,1.038512317,0.962670042,0.951868578,0.930605798,0.987082086,1.015912647,1.04665712,0.979398361,0.991924922,1.04055747,1.022633233,0.948866,1.053268674,0.965011539
0.94243336,1.066614948,0.910192312,1.035133368,0.918494104,1.018233718,0.914050196,1.033520557,0.917672744,0.966615239,0.978044459,1.054048448,1.057572304,0.892005719,1.005644285,1.039247496,1.018920609,1.002381873,0.949048352,0.984740518,0.985941069,1.025104013,1.020376863,1.061399507
0.967082606,1.004916133,0.969528968,1.008863214,1.003901416,1.010980791,0.994014271,1.020298441,0.989271066,0.975408218,1.019989535,0.999051059,0.998512159,1.01784291,1.06844269,1.003372354,0.997530083,0.971026047,1.019028145,0.959466609,1.007656168,0.942544606,1.029573432,0.997561484
1.02032926,1.088040757,1.019542602,1.029729979,1.001942279,0.972314591,0.926792385,1.056247297,1.00558666,0.98854829,0.970579824,1.036665968,1.029067601,1.02571281,0.897595375,0.89040137,0.982893134,1.001276968,0.983207364,0.972336023,0.947778925,0.958775908,1.036278051,1.11246589
1.08483837,1.049165447,0.949087757,1.017784874,1.002566322,0.893590469,0.907868108,1.015671812,0.91710299,0.984995138,1.058577077,0.9624531,1.046256286,0.897496761,1.004453133,0.889633155,1.036441146,1.008417924,1.02801736,1.007885327,1.001067889,0.944145123,1.04117899,1.244962375
1.001293474,1.023023927,1.013768655,1.112122567,0.980427285,1.053383136,1.187724484,1.090109627,0.858006519,0.990523993,0.875972392,0.976506171,0.889401433,1.007077359,1.053740502,0.804040078,0.997350001,0.998117389,1.135679596,1.118374066,1.055925593,0.988116331,0.814310067,0.981943731
