Intensity A1,Intensity A10,Intensity A11,Intensity A2,Intensity A3,Intensity A4,Intensity A5,Intensity A6,Intensity A7,Intensity A8,Intensity A9
1.95E+08,2.97E+08,3.40E+08,3.90E+08,5.43E+08,4.96E+08,8.18E+07,8.07E+08,6.12E+08,7.13E+08,7.07E+08
2.70E+08,7.90E+08,7.13E+08,7.83E+08,6.78E+08,7.45E+08,3.88E+08,8.85E+08,9.24E+08,9.92E+08,1.01E+09
1.38E+08,0,4.58E+07,1.03E+08,7.81E+07,1.01E+08,9.01E+07,4.14E+07,3.12E+07,5.07E+07,5.44E+07
2.84E+07,2.62E+07,5.54E+08,2.62E+07,5.89E+07,8.67E+07,1.59E+08,2.29E+08,3.27E+08,4.81E+08,3.58E+08
4.81E+08,4.64E+08,5.72E+08,3.56E+08,4.39E+08,3.67E+08,5.87E+08,6.82E+08,8.28E+08,7.83E+08,6.92E+08
1.59E+08,2.46E+08,2.63E+08,3.06E+08,2.67E+08,3.47E+08,3.34E+08,2.87E+08,3.03E+08,4.82E+08,4.08E+08
6.54E+08,9.60E+08,1.05E+09,6.75E+08,7.95E+08,9.92E+08,1.01E+09,1.24E+09,1.03E+09,1.14E+09,1.13E+09
3.00E+08,5.35E+08,4.16E+08,4.06E+08,5.08E+08,5.47E+08,4.86E+08,4.05E+08,4.28E+08,5.30E+08,5.40E+08
4.25E+07,6.92E+07,6.63E+07,4.40E+07,1.02E+08,1.25E+07,5.30E+07,3.33E+07,2.04E+07,6.60E+07,5.33E+07
3.78E+08,5.54E+08,8.75E+07,4.66E+08,5.19E+08,4.29E+08,1.81E+08,2.63E+08,2.09E+08,1.36E+08,1.37E+08
9.34E+07,8.25E+07,3850300,8.02E+07,6.55E+07,2.84E+07,1.85E+07,2.98E+07,8534100,5795200,4410300
1.21E+09,2.22E+09,1.54E+09,2.87E+09,1.95E+09,2.48E+09,1.68E+09,4.03E+09,4.19E+09,2.54E+09,2.06E+09
1.10E+09,1.08E+09,1.70E+09,2.01E+09,1.69E+09,1.76E+09,7.80E+08,3.98E+09,1.53E+09,1.19E+09,4.08E+09
1.46E+09,1.71E+09,1.59E+09,2.01E+09,2.51E+09,2.46E+09,2.06E+09,2.01E+09,2.20E+09,1.93E+09,1.99E+09
0,3.63E+07,7.26E+07,0,0,1.27E+08,0,1.89E+08,1.55E+08,1.48E+08,7.86E+07
7.30E+09,1.01E+10,1.22E+10,9.14E+09,1.05E+10,1.24E+10,1.10E+10,1.47E+10,1.60E+10,1.37E+10,1.19E+10
1.59E+09,1.52E+09,2.87E+09,2.29E+09,1.96E+09,2.60E+09,2.25E+09,3.38E+09,4.33E+09,3.98E+09,3.71E+09
1.59E+09,2.27E+09,2.36E+09,2.22E+09,2.52E+09,3.05E+09,1.69E+09,2.71E+09,2.48E+09,2.28E+09,2.20E+09
1.27E+09,1.13E+09,1.69E+09,1.23E+09,1.65E+09,2.26E+09,1.70E+09,2.27E+09,2.28E+09,2.24E+09,2.02E+09
1.13E+09,1.20E+09,3.55E+09,1.47E+09,1.38E+09,2.72E+09,2.18E+09,2.88E+09,4.46E+09,4.27E+09,3.84E+09
2.74E+09,3.60E+09,2.55E+09,3.27E+09,3.31E+09,4.16E+09,3.93E+09,3.31E+09,3.37E+09,2.64E+09,2.60E+09
1.06E+09,7.19E+08,1.09E+09,1.13E+09,8.19E+08,1.02E+09,1.09E+09,1.29E+09,1.72E+09,1.58E+09,1.53E+09
1.16E+09,1.49E+09,1.10E+09,1.31E+09,1.62E+09,1.78E+09,7.90E+08,1.26E+09,9.26E+08,1.62E+09,1.06E+09
4.60E+08,7.79E+08,8.14E+08,8.31E+08,5.67E+08,6.83E+08,5.37E+08,1.26E+09,8.03E+08,1.21E+09,1.17E+09
7.71E+08,8.90E+08,8.30E+08,2.19E+09,1.15E+09,1.96E+09,7.68E+08,1.42E+09,1.30E+09,1.28E+09,1.29E+09
4.68E+07,1.32E+08,2.34E+08,2.31E+07,8.73E+07,0,1.71E+08,2.28E+08,2.29E+08,1.26E+08,1.75E+08
1.57E+09,1.87E+09,1.42E+09,1.71E+09,1.66E+09,1.96E+09,2.11E+09,2.55E+09,2.30E+09,2.29E+09,2.20E+09
9.83E+08,9.81E+08,1.66E+09,1.18E+09,1.34E+09,1.55E+09,1.28E+09,1.52E+09,1.24E+09,1.59E+09,1.48E+09
0,2.73E+08,7.87E+09,0,1.25E+09,2.53E+09,5.10E+09,8.71E+09,0,8.11E+09,9.13E+09
1.23E+10,1.73E+10,1.96E+10,1.57E+10,1.78E+10,2.05E+10,1.85E+10,2.34E+10,2.53E+10,2.36E+10,2.21E+10
4.24E+09,7.22E+09,1.94E+09,5.79E+09,6.84E+09,7.72E+09,3.87E+09,2.91E+09,3.51E+09,2.97E+09,2.10E+09
1.93E+09,2.68E+09,1.10E+09,1.99E+09,3.12E+09,2.67E+09,1.91E+09,2.02E+09,1.96E+09,1.70E+09,1.12E+09
1.21E+09,1.37E+09,6.85E+08,1.65E+09,2.26E+09,2.05E+09,1.30E+09,1.47E+09,1.45E+09,1.02E+09,1.26E+09
9.89E+08,1.10E+09,5.76E+08,1.01E+09,1.02E+09,1.45E+09,8.49E+08,1.60E+09,1.29E+09,1.24E+09,1.09E+09
2.93E+08,3.11E+08,1.68E+08,3.82E+08,2.91E+08,3.85E+08,3.40E+08,2.45E+08,1.99E+08,2.12E+08,1.50E+08
0,5.00E+07,0,1.23E+07,1.37E+07,0,0,0,0,0,0
2.73E+09,3.47E+09,5.30E+09,4.25E+09,3.97E+09,5.03E+09,4.62E+09,6.26E+09,6.97E+09,6.16E+09,5.68E+09
0,0,5.70E+07,0,9068200,0,5.25E+07,0,1.16E+08,5.71E+07,5.68E+07
1.53E+07,0,0,0,0,0,0,0,2003400,0,8197100
1.10E+09,1.35E+09,6.90E+08,2.02E+09,1.85E+09,1.68E+09,6.71E+08,1.12E+09,8.07E+08,1.01E+09,9.83E+08
1.16E+09,1.65E+09,2.98E+08,1.55E+09,1.19E+09,1.34E+09,6.82E+08,4.92E+08,3.70E+08,3.35E+08,4.04E+08
4.70E+09,4.82E+09,1.22E+09,5.82E+09,4.71E+09,4.09E+09,2.47E+09,1.91E+09,1.17E+09,1.13E+09,1.01E+09
1.11E+09,1.33E+09,1.18E+09,2.30E+09,2.52E+09,1.27E+09,1.09E+09,1.48E+09,1.51E+09,1.49E+09,1.33E+09
2.59E+09,2.65E+09,2.12E+09,2.43E+09,2.11E+09,2.37E+09,2.76E+09,2.54E+09,1.92E+09,2.44E+09,1.57E+09
2.82E+08,4.11E+08,5.98E+08,4.47E+08,4.71E+08,5.57E+08,3.42E+08,7.69E+08,9.01E+08,9.51E+08,8.59E+08
9.46E+08,1.36E+09,1.70E+09,1.43E+09,1.01E+09,1.16E+09,1.66E+09,1.75E+09,1.97E+09,1.73E+09,1.52E+09
1.72E+08,2.14E+08,0,2.26E+08,1.81E+08,8.41E+07,3.13E+07,2.70E+07,1.27E+07,6261800,7916700
1.43E+08,1.95E+08,1.80E+08,2.37E+08,1.25E+08,2.21E+08,1.71E+08,3.09E+08,1.99E+08,2.57E+08,2.17E+08
1.97E+09,2.87E+09,1.34E+09,2.70E+09,3.47E+09,3.60E+09,1.77E+09,2.32E+09,1.92E+09,1.81E+09,1.33E+09
6.31E+08,6.40E+08,0,7.55E+08,6.41E+08,5.81E+08,3.73E+08,1.72E+08,6.35E+07,1.05E+07,0
1.54E+09,2.08E+09,2.50E+07,2.07E+09,1.79E+09,2.49E+09,1.08E+09,3.01E+08,1.25E+08,6.30E+07,3.12E+07
4.46E+09,5.83E+09,5.11E+08,5.02E+09,5.57E+09,5.09E+09,2.14E+09,1.59E+09,5.94E+08,3.90E+08,2.03E+08
2.19E+08,3.11E+08,0,2.98E+08,2.83E+08,3.12E+08,2.43E+08,1.15E+09,6012600,0,1.70E+07
1.84E+08,3.29E+08,0,3.51E+08,3.03E+08,1.32E+08,2.97E+07,7.38E+07,1.98E+07,0,0
6.29E+07,1.02E+08,0,8.68E+07,1.08E+08,1.11E+08,3.39E+07,3.30E+07,7968100,0,0
7.16E+08,1.56E+09,1.23E+08,1.11E+09,1.21E+09,6.44E+08,3.00E+08,3.17E+08,5.62E+07,5771200,1.04E+07
0,0,1.49E+08,0,0,1.08E+07,4.80E+07,1.08E+08,1.09E+08,1.11E+08,8.29E+07
3.57E+08,4.48E+08,0,5.75E+08,3.88E+08,5.01E+08,1.09E+08,8.82E+07,0,0,0
