Intensity Brain1,Intensity Brain2,Intensity Brain3,Intensity Liver1,Intensity Liver2,Intensity Liver3,Intensity Muscle1,Intensity Muscle2,Intensity Muscle3
1.32E+07,0,1.65E+07,1.73E+08,1.70E+08,3.94E+08,1.23E+08,2.09E+07,7866800
1.16E+08,1.15E+07,6.94E+07,2907700,1.70E+08,1.01E+08,5.58E+07,3.67E+07,6.25E+07
9.03E+07,5.63E+07,1.04E+08,0,0,1.06E+07,0,0,0
0,0,5719200,6585900,2.60E+07,2.36E+07,0,1.86E+07,0
1.15E+09,8.02E+08,1.22E+09,5.01E+07,2.12E+08,4.64E+07,1.77E+07,1.61E+07,1.77E+07
8.82E+07,2.67E+08,1.70E+08,3.98E+07,1.54E+07,1.09E+08,3.40E+09,2.67E+09,3.03E+09
2.16E+08,1.39E+08,1.68E+08,0,0,0,0,0,0
9.18E+07,5.59E+07,9.82E+07,4590000,6413000,3255500,0,0,0
0,2.83E+07,1.85E+07,9575500,2.24E+07,6708100,0,0,0
9.04E+07,5.16E+07,8.75E+07,2872400,0,0,2733300,0,3563000
4.48E+08,4.24E+08,3.68E+08,7.20E+08,6.54E+08,5.25E+08,4.54E+08,2.28E+08,1.94E+08
1.28E+09,1.68E+09,1.51E+09,5.91E+09,5.97E+09,5.29E+09,2.05E+08,8.89E+07,7.00E+07
6.56E+07,2.45E+07,4.85E+07,0,6519700,0,7.06E+07,5.46E+07,8.02E+07
6051100,0,1.60E+07,7.50E+07,5.82E+07,3.53E+07,0,0,0
1.03E+08,1.68E+08,2.17E+08,0,0,2.05E+07,0,0,0
3536500,1526800,1.10E+07,1.98E+10,1.48E+10,1.17E+10,1.01E+07,0,2.52E+07
1.06E+11,7.52E+10,9.09E+10,6.56E+07,1.75E+08,9.15E+08,2.52E+08,1.51E+08,2.08E+08
0,0,0,3.72E+08,7.50E+08,4.49E+08,0,0,0
2.93E+07,6.31E+07,1975100,1.55E+09,1.75E+09,1.44E+09,8449800,6.14E+07,1.23E+08
1.18E+09,1.13E+09,1.28E+09,1.02E+07,4977600,0,0,1.30E+07,0
4.15E+07,3.80E+07,2.97E+07,1.07E+08,2.15E+08,1.27E+08,5.80E+07,1.21E+08,2.08E+07
0,0,0,6.02E+08,5.69E+08,4.91E+08,0,0,0
3.00E+09,2.99E+09,3.61E+09,3.08E+08,3.60E+08,2.85E+08,1.99E+07,3.31E+07,7708300
2.26E+08,1.68E+08,2.88E+08,0,0,0,4842400,0,5714200
0,0,0,0,0,8928700,0,8233900,4498200
2.19E+08,1.90E+08,2.19E+08,2.44E+08,2.62E+08,2.85E+08,0,1.16E+07,1.05E+07
2.31E+07,1.83E+07,2.45E+07,0,0,0,0,0,0
2.73E+07,1.76E+07,0,1.54E+08,2.20E+08,1.32E+08,0,0,0
7.08E+07,7.18E+07,7.60E+07,1.37E+07,1.63E+07,9857400,0,1473200,0
1.36E+08,2.03E+08,2.72E+08,8140100,0,0,4.54E+07,6.51E+07,4.03E+07
2.19E+07,1.06E+07,2.93E+07,0,1.04E+08,1.02E+08,9.49E+08,4.34E+08,5.80E+08
3.36E+08,2.73E+08,2.49E+08,0,3.24E+08,1.53E+08,0,0,0
2.85E+09,2.39E+09,3.37E+09,9.85E+08,6.40E+08,3.84E+08,3.64E+08,4.17E+08,5.22E+08
5.27E+07,2.62E+07,2.67E+07,0,0,0,0,0,0
4.84E+08,3.78E+08,4.46E+08,6.38E+07,1.72E+08,8.31E+07,1.36E+08,1.91E+07,2.79E+07
8.95E+08,4.91E+08,8.29E+08,5.26E+07,6.82E+07,3.56E+07,0,0,8732000
4.30E+08,4.93E+08,6.81E+08,0,1.85E+07,9.72E+07,8751700,3.96E+07,1.62E+07
2.24E+08,8.37E+07,1.31E+08,1.93E+08,6.46E+08,4.23E+08,8.62E+07,1.50E+08,3.10E+08
1.80E+07,1.28E+07,1.89E+07,0,0,0,0,0,0
4.73E+08,3.55E+08,2.97E+08,9.43E+08,9.97E+08,8.40E+08,6923200,6297600,1.36E+07
0,7.14E+07,4.92E+07,6730300,6146500,4105700,0,0,0
4.26E+07,5.23E+07,4.85E+07,4.65E+07,0,0,0,0,0
1.39E+07,5035100,0,3.17E+07,2.07E+07,2.53E+07,0,0,0
0,0,0,1.38E+08,1.75E+08,1.18E+08,0,0,0
0,0,0,0,1.08E+07,0,0,0,0
5.66E+07,0,3.52E+07,0,0,0,0,0,0
0,0,0,1.24E+10,9.46E+09,7.69E+09,0,0,9670800
0,0,0,4.64E+09,6.80E+09,8.19E+09,0,0,447280
0,0,0,0,984140,0,1.16E+08,1.85E+08,1.05E+08
0,0,0,1.85E+09,1.48E+09,1.47E+09,0,3169800,3477900
1.91E+08,2.77E+08,2.02E+08,1.33E+11,1.08E+11,9.20E+10,3.90E+09,1.43E+09,1.38E+09
3.11E+08,1.21E+08,2.08E+08,1.83E+07,4.18E+07,1.40E+07,3.18E+09,1.40E+08,8.06E+07
3.38E+07,2.29E+07,2.64E+07,0,0,0,0,0,0
1.57E+09,1.35E+09,1.59E+09,5820700,2.76E+07,1.03E+08,1.07E+08,0,0
5.33E+08,4.00E+08,5.74E+08,0,0,7.99E+07,2557000,1.78E+07,0
1.27E+08,8.16E+07,1.52E+08,3.03E+08,2.20E+08,1.41E+08,0,5.37E+07,1.42E+08
0,0,2.98E+07,6.25E+09,1.05E+10,6.44E+09,1.72E+08,1.02E+08,1.85E+08
9.99E+07,0,1.33E+08,0,0,0,6569300,0,1332800
4.08E+07,9.17E+07,6.39E+07,4.31E+07,7.55E+07,4.34E+07,1.98E+07,1.73E+07,1.72E+07
2.17E+09,7.15E+09,9.95E+09,2.46E+08,1.54E+08,2.47E+08,0,0,0
1.20E+09,9.34E+08,1.86E+09,1.77E+08,3.18E+08,2.70E+08,2.20E+08,7.58E+07,2.34E+08
1.76E+08,8.93E+07,1.49E+08,3.01E+08,2.93E+08,3.16E+08,5.14E+08,2.52E+08,3.54E+08
3.77E+07,2.69E+07,1.19E+07,1.16E+07,1.69E+07,0,1.40E+08,5.57E+08,8.91E+08
3.44E+07,7.26E+07,7.40E+07,0,5218500,0,6389700,0,0
1.33E+08,6.79E+07,5.64E+07,5.50E+08,6.62E+08,6.87E+08,0,1.70E+07,0
2.21E+07,3.24E+07,4.93E+07,0,0,0,0,0,0
9.16E+08,4.54E+08,1.01E+09,5.18E+08,3.72E+08,3.30E+08,6.70E+07,5068900,1.90E+08
3.14E+10,2.43E+10,3.55E+10,2.62E+09,4.87E+09,3.55E+09,9.16E+08,4.83E+08,5.80E+08
1.28E+08,1.62E+08,1.48E+08,5.88E+09,4.90E+09,2.91E+09,1.32E+08,1.12E+08,6.90E+07
5.91E+08,4.33E+08,6.44E+08,0,0,0,0,338120,0
0,0,7920800,2.06E+08,1.40E+08,2.53E+08,0,0,0
2.12E+07,5276400,3553800,4.51E+09,5.06E+09,5.21E+09,1.47E+07,6.20E+07,8.43E+07
0,0,0,0,0,0,0,0,0
5.92E+07,7.55E+07,5.33E+07,6.29E+07,1.37E+08,8.62E+07,0,2.92E+07,3.17E+07
2.07E+08,1.35E+08,2.33E+08,0,0,0,0,3.60E+07,0
5.42E+07,3.16E+07,9.20E+07,0,0,3171000,1.53E+07,5566000,5599000
9.89E+08,9.85E+08,1.14E+09,5.85E+08,2.84E+08,1.56E+08,1.30E+09,6.56E+08,6.61E+08
5.46E+08,5.35E+08,5.77E+08,4.36E+07,1.34E+08,1.63E+08,1.16E+09,5.78E+08,7.58E+08
5.97E+07,1.06E+07,3.92E+07,1.15E+07,1.08E+07,1.84E+07,1.94E+07,0,0
6.20E+07,4.31E+07,2.99E+07,0,4.03E+07,2.37E+07,0,0,0
0,8711200,2.67E+07,0,0,1.26E+07,1.52E+09,2.41E+09,1.81E+09
1.59E+07,3.28E+07,5.51E+07,0,0,6.51E+07,0,0,7226900
0,2.18E+07,1.12E+07,0,0,0,0,0,0
3.24E+07,3.59E+07,2.85E+07,2.34E+08,2.22E+08,2.95E+08,0,0,0
0,0,0,3.95E+08,0,0,0,0,0
0,0,0,1.22E+07,5.80E+07,9468400,0,0,0
1.05E+08,1.20E+08,1.21E+08,0,0,0,0,9.49E+07,0
2.15E+07,3.74E+07,5.33E+07,0,0,0,2.65E+08,2.32E+08,2.39E+08
3658500,3122400,3.22E+08,2.75E+09,2.67E+09,1.66E+09,0,0,0
0,0,2.04E+07,0,0,0,8.00E+07,6.24E+07,2.02E+07
1.44E+09,9.25E+08,1.76E+09,0,6953700,4995700,0,1.86E+07,0
2.79E+07,4.59E+07,4.31E+07,2.54E+08,2.25E+08,1.56E+08,6885200,1.78E+07,5.91E+07
0,1251600,1447600,2.13E+07,8.61E+07,4.99E+07,4850000,0,2648900
0,0,0,2.27E+07,3.72E+07,0,0,0,0
3.25E+10,2.80E+10,3.74E+10,5.43E+10,5.44E+10,4.46E+10,4.68E+10,2.42E+10,2.77E+10
0,1.45E+07,2.38E+07,0,0,0,0,0,0
2.44E+09,3.30E+09,2.30E+09,0,0,748880,0,0,0
0,0,0,3.60E+09,2.90E+09,3.64E+09,0,0,0
2.65E+09,2.30E+09,3.60E+09,1.90E+07,7.23E+07,1.02E+08,1.54E+08,1.04E+08,9.74E+07
5.11E+07,5.29E+07,5.91E+07,0,0,0,0,0,0
5.23E+07,4.07E+07,5.73E+07,3.88E+07,2.33E+07,3.11E+07,0,0,0
8074100,0,0,4.44E+08,7.14E+08,4.85E+08,0,7903800,3.37E+07
4.84E+07,2.29E+07,4.25E+07,1.02E+07,1.68E+07,1.81E+07,0,0,0
1.60E+07,0,8676700,0,0,1.19E+07,5.55E+09,2.00E+09,2.09E+09
3.18E+09,4.58E+09,2.47E+09,1.93E+08,1.40E+08,0,2.87E+08,2.14E+08,1.72E+08
9.12E+07,1.18E+08,1.15E+08,0,0,0,0,0,0
0,0,0,0,0,0,4.73E+07,3.52E+07,0
2.65E+07,3.31E+07,4.33E+07,0,0,0,1987500,4605600,1361600
3.44E+09,3.81E+08,2.86E+08,5.19E+08,9.69E+08,1.22E+09,2.24E+09,8.88E+08,2.24E+09
2.55E+07,1.34E+07,3.85E+07,0,3464400,0,4505900,0,0
8.50E+07,7.64E+07,1.64E+08,0,0,0,8557200,4356400,4028200
7.17E+08,5.50E+08,1.09E+09,6.04E+07,1.66E+07,3709600,8.18E+07,6.74E+07,5502400
1.56E+08,1.18E+08,1.47E+08,2.38E+08,1.90E+08,4.51E+08,4875700,0,0
1.54E+08,7.06E+07,0,0,0,0,0,0,0
5.03E+08,3.50E+08,5.30E+08,2.67E+08,3.12E+08,3.16E+08,5453700,8.36E+07,3.40E+07
1.53E+07,1.19E+07,1.13E+07,8605800,2.05E+08,0,3.09E+07,0,0
0,0,0,1.01E+08,1.24E+08,1.16E+07,0,0,0
1.04E+09,1.02E+09,2.85E+08,0,1.93E+07,0,0,8301200,0
3.13E+08,1.18E+09,3.06E+08,8.24E+08,1.61E+09,1.75E+09,7.44E+07,2.80E+07,4.08E+07
0,3.56E+07,1.26E+07,1.62E+08,5.26E+08,5.73E+08,0,5.11E+07,4.40E+07
9.72E+07,2.29E+08,2.66E+07,0,0,0,3.77E+07,2.80E+08,3.36E+07
4.74E+07,0,2.36E+07,0,1.80E+07,3.47E+07,0,0,0
0,7220600,5460700,2.92E+08,2.74E+08,2.67E+08,6275800,3394400,1.38E+07
2.64E+09,1.89E+09,3.17E+09,4.29E+08,5.96E+08,5.67E+08,6.30E+07,6.71E+07,0
6.24E+08,8.31E+07,2.53E+08,1.79E+09,1.07E+09,1.06E+09,9.52E+07,2.05E+08,5.50E+07
2.48E+07,0,3.54E+07,0,0,0,7.71E+08,1.58E+08,0
2.35E+08,8.46E+07,1.99E+08,8879200,4.51E+07,5.64E+07,2073400,1502500,0
1.15E+08,8.93E+07,8.88E+07,9376700,1.11E+07,3.83E+07,0,0,0
4.98E+08,3.35E+08,2.01E+08,0,0,0,0,0,0
3.54E+08,2.24E+08,3.25E+08,0,0,0,6.76E+07,0,8966900
3.63E+09,2.88E+09,3.29E+09,1.06E+09,9.88E+08,6.71E+08,2.31E+07,7.58E+07,2441300
1.64E+07,2.50E+07,7.49E+07,0,0,0,1895300,0,0
0,0,7765300,4002400,0,8766900,1.16E+08,8.83E+07,6.44E+07
6.60E+07,9178500,2.58E+07,0,0,7258500,7116100,7.47E+07,5.28E+07
7.02E+09,5.20E+09,6.94E+09,9.11E+09,9.65E+09,8.37E+09,6.75E+08,4.21E+08,6.25E+08
4.11E+07,8638000,1.72E+07,0,6239200,0,0,0,0
5.02E+07,0,5.68E+07,0,1.31E+08,0,0,0,0
5.99E+07,2.78E+08,1.69E+08,0,0,0,0,0,0
2.29E+09,1.59E+09,1.95E+09,0,0,1.33E+07,0,0,1.37E+07
2936300,0,0,5997300,5098500,0,0,6623200,0
6.68E+07,1.72E+07,0,7446500,4.61E+07,1.96E+07,0,0,0
4.17E+07,7.56E+07,3.13E+08,1.02E+07,1.14E+07,0,0,808320,0
8.16E+08,6.31E+07,6.18E+08,1.25E+09,1.61E+09,6.97E+08,7.02E+09,7.96E+09,1.14E+10
0,0,0,1.38E+08,3.26E+08,2.07E+08,0,0,0
3.40E+07,0,2.59E+07,0,2186100,0,0,0,0
2.83E+08,9.10E+07,1.58E+08,1.32E+07,0,1.06E+07,0,0,5976100
0,1.93E+07,1.04E+07,0,0,0,0,0,0
3.11E+08,1.51E+08,2.00E+08,5.00E+08,7.12E+08,8.46E+08,1.56E+08,1.13E+08,1.34E+08
9.17E+08,6.60E+08,1.47E+09,0,0,7412500,4.74E+07,3.03E+07,6.51E+07
4.13E+07,8.58E+07,1.16E+08,5.16E+07,7.44E+07,3.25E+07,4.32E+07,0,3.05E+07
2.50E+08,8.72E+07,6.52E+07,4.37E+08,4.75E+08,3.28E+08,5.60E+07,2.22E+08,6.12E+07
7.70E+08,3.59E+08,3.54E+08,0,0,0,2908400,2.18E+07,1.93E+07
0,0,3.24E+07,0,0,0,0,0,0
7.89E+08,7.43E+08,1.03E+09,7994000,3.11E+09,2.86E+09,2.50E+07,0,0
3.47E+08,3.01E+08,3.30E+08,2.24E+09,2.57E+09,1.09E+09,2.88E+07,8876900,5521700
0,0,9268200,3.66E+07,4.61E+07,2.58E+07,0,0,0
2.22E+08,2.80E+07,8.03E+07,0,0,0,0,0,0
0,0,0,1.69E+08,6.95E+07,1.50E+08,0,5924500,2.28E+07
1.47E+08,1.49E+08,1.45E+08,0,0,0,2.34E+07,2.51E+07,1.68E+07
3.46E+07,6.30E+07,6.69E+07,0,6.68E+07,4.18E+07,0,0,0
6.48E+07,6.66E+07,9.88E+07,1.85E+07,4.05E+07,7751500,0,7818000,0
2.16E+08,1.42E+08,1.69E+08,7131200,1.85E+08,1.04E+08,4.56E+07,5.89E+07,4.72E+07
1.29E+08,6.37E+07,2.27E+08,1.32E+07,5.30E+07,1.14E+07,0,2.42E+08,7.46E+07
2.47E+08,1.58E+08,3.61E+08,0,0,0,2330300,0,6113400
9.77E+08,6.91E+08,1.33E+09,1.19E+08,1.45E+08,9.23E+07,4.67E+07,1.44E+08,0
0,0,0,0,0,0,0,0,0
1.00E+08,7.39E+07,7.19E+07,0,0,0,0,0,0
0,0,0,2.41E+07,9.15E+07,4.12E+07,0,0,0
7.99E+07,2.89E+08,4.13E+08,0,0,0,1.40E+09,0,0
3.21E+07,8.17E+07,9.88E+07,1.35E+07,3.49E+07,2.67E+07,0,1921400,0
0,0,0,0,4.05E+07,0,4.46E+07,4.64E+07,7.26E+07
5.82E+07,1.28E+08,1.43E+08,0,9066100,1.48E+07,7.73E+07,4.86E+07,1.83E+07
1.16E+08,7.65E+07,1.60E+08,0,0,0,0,0,0
4.78E+07,1.87E+08,2.36E+08,1.10E+08,1.40E+08,1.45E+08,3227500,908420,0
8.45E+07,5.65E+07,8.79E+07,0,0,0,0,0,0
0,0,0,0,0,0,2088000,0,4.49E+07
1.25E+07,3.40E+07,5.20E+07,0,0,0,0,0,0
4.67E+07,3.50E+07,3.54E+07,2.01E+07,1.76E+07,9433400,0,0,0
1.86E+07,2.03E+07,1.97E+07,4.84E+07,3.79E+07,2.46E+07,0,0,0
5.14E+08,4.04E+08,4.85E+08,1.50E+07,9.60E+07,1.17E+07,0,0,0
7.30E+08,6.43E+08,9.64E+08,6.43E+08,5.98E+08,5.41E+08,2.16E+08,1.20E+08,1.38E+08
5.75E+07,3696600,4758900,1.40E+08,1.32E+09,1.61E+08,0,0,0
0,0,1.70E+07,0,0,0,0,0,0
8039400,0,3.32E+07,0,8.76E+07,2258000,2.17E+07,0,1.87E+07
3.01E+07,4.06E+07,5.65E+07,0,0,0,0,1.40E+07,2.87E+07
0,0,0,0,1.93E+07,0,0,0,0
1.43E+08,5.17E+07,1.85E+08,2.40E+07,1.67E+08,1.35E+08,1.79E+07,2.42E+07,0
4.26E+09,1.76E+09,5.02E+09,5196400,3.74E+07,2.10E+07,7.07E+07,0,1914300
0,0,0,8.87E+08,2.91E+08,3.11E+08,2.14E+07,1.22E+07,0
0,1.35E+07,2.30E+07,0,0,0,0,0,0
3.59E+08,1.62E+08,3.11E+08,4.46E+09,5.49E+09,5.00E+09,1.05E+09,8.95E+08,5.90E+08
7.84E+07,2.72E+07,4.18E+07,0,0,0,0,0,0
