"Raw Abundance:127N, WT Rep1","Raw Abundance:127C, WT, Rep2","Raw Abundance:128N, WT Rep3","Raw Abundance:128C, pup2-ts Rep1","Raw Abundance:129N, pup2-ts Rep3","Raw Abundance:129C, pup2-ts Rep3","Raw Abundance:130N, rpn5-ts Rep1","Raw Abundance:130C, rpn5-ts Rep2","Raw Abundance:131, rpn5-ts Rep3"
124,111.3,155.4,231.5,131,144.5,107.5,99.2,83.3
124.1,144.1,129.7,84.1,75.2,62.1,59.1,54.2,46.1
80.3,134.5,250.9,240.2,161.6,178.8,174.9,190.1,150.4
135,132.4,154.8,102.7,68.1,76.9,74.9,76.6,70.1
157.5,137.1,139.3,115.3,60.9,92.6,81.6,89.7,77.4
123.8,149.3,164.1,123.5,109.5,100.5,105.3,115.3,99.1
138.3,108.7,164.7,194.5,119.9,162.8,139.2,146.8,110.3
132.1,145.6,180.1,112.2,95.8,91.6,99.7,89.7,80.3
163.8,148.8,153.7,87.7,83.5,73.5,72.9,72.3,64.8
159.2,149.9,124.4,28.8,50.1,18,22.3,19.8,12.1
126,152.7,175.5,100.8,84.5,78,70.6,65.9,60.5
144.4,140.2,216.5,135.2,259.4,226.5,155.8,173,79.2
145.8,222,141.3,205.5,164.5,297,136.6,177.1,160.2
126.1,159.1,176.6,122.1,107.9,91.6,83.4,95,65.5
101,157.2,193.8,160.4,161,161.8,124.6,143.4,103.2
123,160.3,179.5,120.5,84.7,80.5,92.7,94.7,95.4
151.3,152.4,210.6,97.6,38,34.6,63.4,42.3,45.2
81.7,164.7,229.4,151.4,97.7,119.6,209.6,253.2,186.2
163.7,179,208,169.8,96.7,116.7,161.2,133.7,79.6
143.9,187,209.8,105,89.8,72.6,90.8,87.6,80.3
149.4,188.3,217.8,149.2,107.7,97.8,108,98,79.8
160.2,189.8,229.7,182.7,153.8,122.2,148.2,133.5,124.9
216.2,178.1,222.8,82.2,91,54.6,50.9,45.1,33.8
191.4,204.5,275.7,256.2,301.5,261,187.6,213.7,139.6
190.6,208.7,249.9,173.7,124.3,140.4,127.5,130.7,115.1
195.8,222.2,278.5,187.9,131.2,152.3,130.3,149,127.9
191.6,239.2,262.1,154.3,138.8,135.9,118.4,117.1,100.1
255.8,232.9,233.7,146.6,139,99.3,85.9,84,63.1
272,242.4,250.8,129,93.4,118.5,108.4,94.5,97.5
