2A,3A,4A,5A,6A,7A,8A,9A,10A,1B,2B,3B,4B,5B,6B,7B,8B,9B
13319508.29,10912762.32,12917755.47,37617799.89,4608863.672,6448869.698,16892177.92,12488898.04,8713819.177,2882371.992,5693790.898,2959758.551,9760625.703,5077917.542,4237278.605,5593982.656,8916105.836,60085190.92
30424141.45,37706637.95,47634248.13,41727500.34,20754108.94,128926576.4,16522447.63,16539669.35,33428425.43,14711730.49,14710297.58,16052625.1,15343320.76,7825090.604,5570556.906,39358772.88,56178583.47,32498429.08
16793763.27,18582738.49,13910136.95,21864103.02,7264113.02,22710355.52,12085059.42,8885119.085,35219631.1,4005416.219,12006466.89,5901877.781,10796114.31,3097511.778,5137605.385,3122737.473,8539242.688,12497202.1
35479251.96,22006965.73,21113363.36,16925332.09,16574799.34,11980169.88,6282934.346,20742517.81,33624698.02,1491587.848,16533215.03,4678937.27,44234929.49,10367678.61,9921596.151,14936856.06,22689398.13,81234685.65
31779133.51,39930953.09,28961378.1,35176848.93,20235759.71,9584689.219,1283604.344,22473699.95,12837232.71,1211313.344,9712513.344,6318644.198,24264628.35,9994890.167,6293664.24,8193113.365,1207846.766,26246150.17
7054552.25,10140362.94,6133592.898,14659396.92,8401161.063,15335746.76,2488987.93,3618441.266,13229520.22,8801605.406,5640025.148,6612913.746,21170424.71,7128483.047,4798114.273,14110889.15,15107626.25,16370125.77
0,0,21189925.69,35351544.72,51633752.32,237046925.2,31404533.04,20131298.73,81464211.13,5639786.354,4662936.651,0,25062861.38,12934073.84,28037576.99,39223515.48,38780151.98,32730843.12
4267331.938,10500197.11,4799959.293,5217063.156,13120235.38,0,2566674.297,1228559.086,0,4263181.742,3095400.195,6271055.328,2108744.797,3020807.74,2016589.292,2798061.5,0,10531613.34
0,0,0,0,8768861.98,31906871.23,0,0,27214613.96,2436007.055,3664977.51,0,0,0,2865988.309,0,8412553.938,0
436601604.6,313528730.6,333565042.6,26387604.05,43353429.79,48443414.21,13474819.23,2494725.109,17534374.09,11042533.81,15947911.15,7456526.51,40756082.26,15160304.39,17443245.36,39640389.82,7966881.703,108301032.4
34975579.28,40112952.87,28053435.38,25657701.09,53053519.26,49495406.88,5323487.37,8295661.324,36939024.01,5093075.302,18150955.11,9193046.289,35967127.77,13650449.75,13419218.66,34917397.58,20591369.11,68246107.55
17163643.51,22339889.46,7423212.875,15652016.27,11430002.8,3158583.031,0,0,3275222.417,668084.875,13847202.8,5107470.938,9745115.156,7338807.102,6522595.787,2515872.625,0,19911227.84
3500416.172,3379984.109,2617537.456,6236302.615,973691.3125,12996800.52,2136217.859,8970926.526,10950911.13,368237.25,1501724.109,831882.75,3856265.365,1165979.098,0,4925143.872,2946305.547,11514329.8
1626617.344,1825127.844,2139271.085,2128043.828,0,12821733.44,3816354.246,6763267.208,2402675.604,1103476.738,0,898028.2188,3042677.594,1280049.844,0,6134552.719,14190262.13,8341573.583
28044650.4,34403116.8,20103422.38,10065761.88,46915632.44,38025318.48,4322998.161,2843022.182,18199111.88,4530088.652,14286777.39,6645418.091,18479528.41,6990633.74,6943407.135,9211734.276,5134182.563,44797162.73
34415961.9,45469536.88,69648674.22,66144962.54,40320177.09,213922962.9,26967454.06,14995189.25,55509099.52,15445894.26,18876837.27,25314306.14,51616231.44,14651159.02,20547917.02,75185692.04,26922454.23,134967564.7
17478586.44,17650988.04,26550682.2,28326733.29,10988033.66,72974788.8,12486909.45,22110975.89,68777326.88,2866853.865,4860939.245,3254755.531,26670102.93,6904309.88,6221641.896,35403237.29,39554105.17,67632836.21
