rq_126_sn,rq_130n_sn
1053.01046,165.2169594
77.90425645,297.7788411
65.25350994,43.89950942
685.1992224,338.6465703
164.2503601,90.4154449
26.8408046,21.19411449
91.21974351,58.74718378
139.4497589,64.57272165
29.68774619,13.30645341
247.797789,383.8991579
172.2974828,245.0120857
166.1138854,123.5651576
166.3286468,108.3241933
286.0813912,335.6710786
805.4584972,225.6656027
191.8543122,112.4713264
100.0025934,86.9711335
124.1658824,70.60380974
169.3338901,217.0244473
283.712646,356.5439187
93.73689966,116.9217443
84.60532384,132.3522906
551.7303563,947.3549522
132.2698564,171.4010039
182.9733076,271.687734
192.1212679,266.0249467
255.7706354,333.4095272
914.471954,545.0152345
17.05038147,15.26782264
168.2489148,126.0894194
231.2085315,207.4167225
835.7130925,798.0254382
44.97648309,54.16019942
304.0939658,255.2929762
663.4911257,704.4823491
406.0184835,375.906898
148.0308864,141.9333942
1092.614283,70.90003226
86.41523198,99.82999018
45.77089059,83.32846806
8.398540603,9.366238631
26.77586367,38.21311503
3.447698063,3.631622098
40.23329454,14.43656026
743.7620306,680.2655965
329.7818107,282.1708548
455.3777953,444.2218532
271.7188458,249.395895
348.6953891,393.9010902
293.9734565,259.1843756
44.2253294,51.41921225
375.5860263,480.9093911
219.9233015,148.3418015
168.7556566,312.6592997
36.63634045,48.57567641
147.8818507,109.7057886
283.9737177,143.5725626
28.65872226,29.17027427
176.8578696,288.5794076
21.41445626,40.57809107
279.3012794,335.9629151
139.0636792,144.8626791
386.098972,102.001042
76.39204173,25.6463702
406.345394,179.9231991
651.1209801,293.7900673
588.7192508,140.791072
119.8416075,57.74905542
4501.109961,1373.771679
530.7394947,397.2676755
1297.893721,949.5890568
624.2996507,448.0147701
1448.157053,652.384923
251.7559713,356.0669126
21.98728123,38.14907139
130.3818899,183.6068421
167.9345452,319.2006802
94.86208163,156.1622191
25.03011826,48.01983187
484.0988406,769.4945586
41.51328807,1223.545947
871.2830854,1376.457702
71.82276619,195.5192959
2058.374456,403.3319722
1987.814854,429.8028103
1247.312245,230.5419621
265.4455513,17.65447034
454.8090652,50.4062107
252.1225067,116.7778345
966.0716023,125.8529605
52.77949079,15.96685789
81.3301028,37.55804209
1117.704504,145.2148971
176.414694,35.5589213
44.90205865,28.89614778
44.50579151,4.731136205
69.43106131,13.31482386
32.61035553,3.378948674
40.43972934,5.849503185
373.3626985,20.14743545
1158.392076,433.8597516
335.4275709,72.18529585
230.3528629,52.18536012
235.73009,73.98484973
1103.38761,230.0353857
25.94728644,26.15196977
156.8235625,194.4354224
123.2126494,133.4511697
111.6193162,235.5137583
602.1998087,328.1227706
43.48160432,29.87680565
155.4305428,145.5453451
101.2064129,79.0699035
51.29899677,23.4737542
272.8026277,103.5639673
218.1116876,353.7531052
937.2565167,307.8557183
1333.949744,116.4993968
67.46436571,55.23760858
809.4369514,242.6421712
840.2633271,873.6757313
193.909568,200.1671726
786.6586524,368.8450082
360.8001463,196.7873491
510.6773952,264.9750241
523.1547564,127.1525778
579.0240132,648.7262121
644.9361972,635.0064706
1598.749848,1349.161189
290.2773774,230.962842
99.91048583,78.56742804
221.8735239,183.8961979
470.9041398,185.3008379
152.1885922,97.91611898
124.405612,78.51205167
9.763767951,325.3570719
536.1653058,575.3363462
224.2349328,211.4185565
199.5403465,258.9872014
506.1979733,73.61289017
70.37437756,2780.623581
140.8577567,119.1721403
707.9170332,620.917727
221.8670349,215.0924481
719.1850707,742.9551405
171.073229,169.7762128
74.40496542,57.50181153
263.7030754,205.4420303
80.92696676,64.60347008
342.9122678,44.61479777
334.0844262,83.21112137
53.03968443,34.28909808
39.55794987,44.01790382
501.1184534,563.7579312
519.7537105,1857.656967
365.8801869,662.247729
416.676254,364.092677
238.343797,184.4143861
275.7739668,289.0217386
342.8039966,251.1373223
119.7859122,72.78207912
80.350548,36.87719488
418.7218091,247.8149239
144.8998926,59.47339695
346.3569083,214.4083784
501.046313,420.1971809
252.6332635,2787.410072
390.7373579,171.9955314
161.8620563,146.5814123
172.9656954,106.0521591
159.3695449,147.9803308
65.97525075,38.48407952
102.1082248,446.2898324
1013.514283,726.2322277
281.5014646,270.6605379
101.031905,102.9325312
353.1444512,390.086658
131.3024603,90.2213995
1672.686783,440.5815759
134.2443251,459.6111905
35.95657621,62.25688524
1124.259978,2231.682463
133.3715408,154.6106923
683.7750611,715.9002901
831.7722054,1673.241809
520.4530158,228.6547731
947.3052216,239.8795175
459.4912011,146.338431
68.39766936,27.79512783
32.74760503,19.27447801
59.47973513,41.30376301
787.3862578,440.7562128
798.898899,521.2429908
141.9190733,578.728749
155.8816942,134.3095725
373.1848671,338.7700731
25.47780992,26.37051315
269.0101642,284.8933407
859.7582367,310.9876574
76.7077907,96.05543638
7.815431685,0
67.5703618,31.19509926
9.874831518,5.85476599
45.81415694,58.29265098
25.20989054,13.90933677
123.8278781,60.68661026
108.769562,16.78451992
97.06181418,106.1039212
85.11975905,23.00732199
766.2685389,507.7968639
901.9492129,444.4186933
324.3052631,71.99108237
635.4203991,339.3175428
194.7095077,40.64744665
79.40207614,2478.097966
238.9629057,2680.1194
9.232081362,2.937998688
191.687424,119.2390352
141.0439161,494.3414863
1342.47099,464.5507946
471.7436253,145.2703838
1978.105608,873.2496507
389.0635908,169.5324567
478.2783066,82.91983604
213.525623,39.97739945
146.8895218,9.050931941
85.69427357,41.69477761
96.54047032,46.54233033
19.44357287,14.59370471
346.1045651,194.3512703
493.223991,294.2007989
123.3501879,87.11671475
40.77032834,24.61349513
1085.373084,161.0045354
1078.570115,179.0473781
844.5940714,85.30180515
18.06999582,8.481710592
36.36810222,21.52862889
38.99922225,23.97757494
7.426469806,3.473364991
21.89814359,10.36005799
980.6772531,377.9255425
790.1178147,197.772544
422.2109651,191.5615411
152.9147146,84.05904659
286.1960486,478.299054
99.200806,66.83451539
111.451727,78.5352478
80.97402625,32.07006233
