380-1,380-2,380-3,800-1,800-2,800-3,380-1P,380-2P,380-3P,800-1P,800-2P,800-3P,380-1Fe,380-2Fe,380-3Fe,800-1Fe,800-2Fe,800-3Fe,380-1FeP,380-2FeP,380-3FeP,800-1FeP,800-2FeP,800-3FeP
0.9028,1.8514,1.7974,2.6151,4.6253,2.9848,0.99403,2.0824,1.9269,3.2519,1.4095,3.6161,4.7074,1.1069,2.3335,3.1905,2.9496,3.2243,3.1117,2.7552,2.9804,3.8261,2.6865,3.7461
31.598,51.838,27.859,23.536,26.826,28.853,14.91,13.536,10.598,11.923,9.8666,12.054,25.42,27.671,22.168,28.714,25.563,20.421,24.893,31.225,31.791,21.044,22.387,16.858
8.1252,10.182,7.1894,6.102,5.5503,6.9645,8.9463,7.2884,10.598,13.007,7.0476,13.259,8.4733,6.6412,4.667,6.3809,9.8319,4.2991,4.1489,3.6736,11.922,10.522,9.8504,9.3653
9.9308,6.4797,9.8855,8.7171,8.3255,3.9797,2.9821,3.1236,5.7807,4.3358,4.2286,4.8214,7.5318,12.175,7.0004,13.825,5.8991,7.5234,9.335,10.102,12.915,9.5653,7.1639,4.6827
6.3196,7.4054,6.2908,9.5888,6.4754,8.9543,2.9821,3.1236,7.7076,3.2519,4.2286,3.6161,7.5318,3.3206,11.667,4.254,7.8655,3.2243,4.1489,5.5104,4.9674,4.7826,7.1639,7.4923
1.8056,0.92568,1.7974,3.4868,2.7752,1.9899,0.99403,1.0412,0,1.084,0,1.2054,8.4733,2.2137,3.5002,3.1905,2.9496,6.4487,3.1117,0.91839,2.9804,2.8696,5.3729,4.6827
1.8056,1.8514,2.696,2.6151,2.7752,2.9848,3.9761,3.1236,2.8903,4.3358,1.4095,3.6161,3.7659,3.3206,2.3335,3.1905,3.9328,5.3739,4.1489,4.592,3.9739,2.8696,2.6865,3.7461
2.7084,2.777,2.696,2.6151,2.7752,1.9899,3.9761,4.1648,2.8903,3.2519,1.4095,2.4107,1.883,2.2137,2.3335,0,2.9496,3.2243,3.1117,1.8368,1.9869,3.8261,2.6865,3.7461
37.918,38.878,41.339,43.585,46.253,35.817,29.821,34.36,36.611,35.77,29.6,40.982,49.898,50.916,43.169,45.73,46.21,58.038,43.563,36.736,31.791,44.957,42.983,47.763
6.3196,5.5541,5.3921,6.9737,7.4004,4.9746,2.9821,3.1236,3.8538,5.4198,5.6381,6.0268,4.7074,5.5343,5.8337,7.4444,6.8823,7.5234,4.1489,4.592,3.9739,3.8261,4.4774,3.7461
