Plant1-Measurement A,P1-M B,P1-M C,P2-M A,P2-M B,P2-M C,P3-M A,P3-M B,P3-M C,P4-M A,P4-M B,P4-M C
31764.90985,35795.96696,32272.12228,29368.24695,30363.77647,31742.60305,30791.74546,33794.33365,31906.74236,24351.88745,25421.08513,28342.26787
16856.65585,15577.68222,15612.94103,15283.95807,13516.99841,13074.25599,16574.79325,19013.19404,20756.05593,13090.49135,13637.93617,14566.58788
330354.859,343862.6614,339051.7349,331266.2123,337807.3331,333783.359,409732.3849,404757.617,438481.6045,381078.3437,309698.8642,345231.826
32870.731,23962.49307,26339.06187,21614.1378,12031.15885,7404.688941,11174.03647,7690.25127,5690.655779,6576.362925,8254.331309,4929.961624
27308.51066,22521.15686,25490.55513,30999.47479,31985.92291,25360.45424,23053.41048,21870.74776,19948.89183,17021.05516,21198.64169,19117.02996
58152.78093,43038.96239,60244.55543,96361.92425,79364.54184,82367.01115,59145.3374,44070.99349,49341.1603,74460.7813,74438.70908,61884.03927
30303.82487,32723.18712,29838.83887,29864.39196,26327.79395,23911.71427,35244.02995,39623.93055,41902.26503,31019.25592,37917.88643,32448.08725
5984.071871,5953.717638,5601.734777,4977.196367,5118.527661,4987.53126,6491.12967,6911.491929,6007.581397,7214.140997,6456.729548,5765.419534
2585.638913,2495.039519,2793.448144,2463.632859,2373.498088,3058.017424,2771.276681,2465.725074,3649.227398,4234.70024,3858.723338,4575.060368
6328.668816,6470.371072,7621.876088,6531.418839,4799.218673,5049.797741,8881.505354,7820.756462,11723.70343,4699.818516,5473.825658,5933.698198
7574.548354,3396.905817,4945.174089,4050.253907,3048.981712,2347.049748,2768.473612,1236.666155,2299.265961,1236.910667,1643.4493,1309.756539
186856.7441,173593.4182,146053.8007,208331.6014,251378.9807,285048.7112,139382.7015,122551.7427,96510.5688,138845.8228,110163.8265,183515.1734
31480.13351,26512.89079,27171.3478,33660.96114,30192.44072,36108.84053,40181.81632,43087.50561,36868.42282,33752.31173,40157.63014,41366.53074
7860.286153,6882.656675,7269.84676,9009.290791,8275.809325,9379.299954,8254.037802,8613.601378,8382.15083,8588.156596,8201.474865,8273.780982
5011.408518,5764.692346,6415.447271,5938.528545,5982.469756,5466.030406,6112.941944,8179.192548,7871.343651,3758.541276,4544.309405,4975.602662
10279.00676,9805.38561,10387.51464,11153.49131,11647.20441,14522.03285,8232.048053,6557.645938,9121.205606,8966.356361,6629.916524,5990.50376
7372.445339,6919.328877,7470.680028,6262.226372,6272.121139,7516.043526,8649.888985,7307.100178,7083.213092,8842.876787,11848.56859,9595.651236
58878.61157,41978.4017,60587.90687,98026.01756,79985.90327,82419.60955,59160.67585,40741.65602,48996.52691,75857.46882,75197.97623,60497.42078
114959.0107,83366.49915,117771.5804,191323.5598,155948.6712,160608.6675,117781.4069,81151.96969,98807.37296,147753.814,148061.5986,119707.3024
26933.27179,26619.96135,24840.50441,29239.61837,28325.55438,29471.65454,29200.34448,32276.60279,35812.27513,30069.18139,31647.04691,32402.43117
14192.98812,18132.89147,14258.37974,14778.7236,12847.39074,14361.39761,14518.89465,20514.28303,19888.37747,10239.29816,11838.4141,11142.39431
18196.44718,16479.91034,16633.70672,17128.07038,19303.02111,16979.96376,15953.27254,14738.43164,14090.56631,13383.51744,13880.92872,15541.97359
12920.61572,20421.68467,7970.526227,12568.8815,12115.86671,14650.18294,7773.454803,5297.241317,5805.745382,6448.866583,6303.801837,6792.573204
8112.39327,8812.714762,8909.322097,13381.6286,9709.176289,12222.43845,9108.729295,10095.21328,8580.432807,11496.7396,11187.54043,13413.10502
7962.639965,7198.388361,7450.465941,7595.41664,8577.902165,6977.714711,9043.535549,9596.276555,8747.578372,7097.255407,7543.346099,7343.922698
2657.004703,3202.605449,3507.377348,4267.266277,3266.696367,5897.455229,3439.805358,3484.279859,4624.96225,7068.339552,6913.190926,5391.086826
