TMT-126,TMT-127,TMT-127,TMT-128,TMT-128,TMT-129,TMT-129,TMT-130,TMT-130,TMT-131
267432.1676,197957.4616,3033858.017,2824582.721,562137.3632,565401.5012,2726007.968,2842746.915,1374304.617,1324145.077
440156.0581,245480.6534,5102411.334,4841222.047,979822.9457,879022.6216,4498411.729,4727266.557,2287331.498,2272976.821
417353.1558,309295.9843,4673897.566,4599809.903,870951.9749,938884.5886,4340311.505,4695683.157,2146423.576,2233895.869
4883707.121,3162573.774,54993778.22,52121335.46,9452910.034,10478172.07,48960965.4,51400005.06,23670484.46,24568706.36
257456.068,273481.3787,2981861.541,3140221.792,497283.9003,648074.0614,2917399.499,2917984.411,1497851.415,1516996.807
186797.733,148756.8871,2324901.358,2213503.328,453186.3358,506047.112,2047067.923,2159312.273,1026528.747,1115989.884
1701323.919,1328769.895,19385950.79,19009255.57,3467891.303,3939434.328,17288482.96,18642596.67,8590306.757,9333402.518
7084455.661,6082058.567,81135254.27,78998869.3,14300557.99,17230653.61,73406687.19,76933289.36,36851118.8,39677288.8
1267607.893,1019449.395,14431431.66,13737497.83,2558573.749,2867520.894,13285435.89,13720912.08,6421374.684,6993751.485
723463.9412,613646.1082,7869921.363,7110406.659,1287603.005,1465342.488,7112861.067,6822010.729,3586190.192,3376591.866
2112962.701,1778779.711,24265577,23147947.5,4157538.108,5084272.941,21301189.02,22449517.03,10905950.15,11269673.51
779152.3158,591711.3881,8336624.939,7991421.551,1457238.066,1724443.948,7086845.11,7820804.068,3777784.183,3853614.451
349709.185,308845.1884,4029082.225,3958077.299,753550.1364,860430.7724,3577737.923,3847233.825,1787098.428,1977486.72
268506.177,381479.3345,2988103.435,3094702.377,529486.8314,898202.2838,2652394.511,2873342.975,1238944.908,1888474.19
8043532.208,6601970.074,97169920.54,95221545.63,16654277.39,20312090.7,84634344.3,89906344.29,43854807.61,46602010.78
172020.408,95156.89223,1759228.519,1638660.582,320290.5282,283850.6566,1652118.482,1627539.764,791336.6097,703938.8359
17182.37099,5734.77011,191306.1449,156940.2652,32742.6741,23415.19951,156497.5107,157240.8747,82633.7184,62750.1994
96239.44141,94372.56437,1240951.197,1234684.262,234446.4323,274772.534,1115700.951,1178532.637,582683.6762,649406.0801
4194111.181,3704627.207,50190442.68,51986541.74,6971197.229,10573009.63,45649607.79,51672485.57,22235841.89,27062204.69
835431.9884,772230.3048,9473749.766,9293558.058,1796551.959,2181375.169,8357158.512,9218528.604,4200494.928,4908525.212
36482.68891,28067.26329,416733.3484,439721.264,79701.86901,96185.79101,372756.4773,410409.0375,190867.7793,244835.2235
1960775.308,1647473.382,22250076.28,21862756.14,4094768.392,4689327.459,20177417.79,21768273.01,10161512.63,10790525.41
23924883.83,16365018.74,282889421.5,271261686.9,49857763.8,52130716.01,250770998.6,262917889.2,126013431.1,131453893
14861.20537,7562.363153,144788.5577,131992.9099,29924.52732,30478.86673,144862.1483,132980.889,65723.5183,66489.56054
9156947.293,6837867.265,111930496.2,105680086.9,18986069.01,21983187.38,97111752.55,101215633.7,48584032.82,51583215.14
2265106.752,1734036.499,26470916.69,25696039.23,4939091.271,4934896.259,23728113.53,24906299.49,11837033.02,12348204.35
17203643.61,12875105.64,195075990.7,190443242.8,34799090.06,38831503.71,172327516.3,183442576.4,86647600.09,94195015.97
70835.908,129776.5921,773826.7571,796977.6621,140808.3017,247740.0048,688196.0053,809161.5019,364901.434,460134.9283
546474.6946,470550.7742,5938857.076,5820333.17,1146452.942,1313365.601,5241947.557,5613041.448,2639712.205,2787108.637
692067.7353,597310.1378,8156278.821,7828850.845,1421515.09,1647756.623,7401014.689,7675942.678,3648571.413,3758061.178
40505.33164,35044.02623,561980.3179,484147.1961,110586.4781,111223.9476,468037.0397,483171.8206,235822.239,256759.977
375607.4243,281445.3793,4302523.708,4167114.406,809103.1692,743912.5727,3797618.03,3937305.119,1919522.597,1924029.385
1070756.494,925576.1476,12614066.15,12905111.78,2202290.58,2664530.545,10864563.93,12267176.35,5446516.492,6296842.68
3793537.074,3294384.682,44345916.19,42863915.43,7361905.517,9865496.907,40366487.76,40350219.51,20004463.88,21638236.77
747969.0439,697461.1364,9925480.972,9326721.169,1803071.248,2202335.522,8876559.39,9308713.096,4313495.009,4784445.915
5049135.593,3983485.114,60589104.92,61088955.82,10146916.64,12800995.22,54188339.17,58577012.32,26989684.15,30134660.63
359687.2865,275501.8976,4446416.889,4179371.202,773846.3009,867145.9983,3835823.515,4257209.308,1950907.911,2016070.037
170065.786,151126.0486,1806652.457,1878781.606,336507.2414,395082.4121,1678618.149,1830509.314,825282.2786,968583.1073
315592.758,237941.5719,3641245.724,3729915.138,664563.3743,725605.1875,3254555.976,3529881.623,1672802.336,1746964.754
229412.8377,203732.9044,2423003.65,2514801.742,437400.1052,590221.7344,2239148.76,2418984.796,1101312.864,1306941.202
