Intensity Rep #1,Intensity L Rep #1,Intensity H Rep #1,Intensity Rep #2,Intensity L Rep #2,Intensity H Rep #2,Intensity Rep #3,Intensity L Rep #3,Intensity H Rep #3
16891000000,8027700000,8863300000,14798000000,6852000000,7945900000,12680000000,5656600000,7023100000
380570000,180600000,199970000,382480000,200130000,182360000,298370000,145480000,152890000
362160000,227570000,134580000,390990000,223360000,167630000,389860000,218620000,171240000
0,0,0,4818400,2997100,1821300,2228900,1089000,1139900
1115700000,543530000,572150000,1629300000,711250000,918020000,1032800000,463040000,569730000
10265000000,3406800000,6858000000,10121000000,3561100000,6560300000,8843400000,3121600000,5721800000
555410000,383280000,172130000,407580000,245700000,161880000,303510000,186570000,116940000
1934000000,1311300000,622720000,1685700000,1137200000,548500000,1478700000,989550000,489150000
0,0,0,49354000,35874000,13480000,34555000,30182000,4373300
1223500000,757050000,466410000,1584900000,1014300000,570550000,1449900000,909780000,540090000
1540300000,989710000,550550000,1288400000,766350000,522080000,1307400000,801250000,506160000
56760000,50358000,6401700,114810000,65484000,49331000,0,0,0
473280000,232380000,240890000,586010000,298890000,287120000,505840000,269460000,236390000
324560000,208100000,116460000,405850000,236410000,169440000,253610000,158730000,94879000
1315300000,635370000,679880000,1310000000,643500000,666540000,1272700000,565240000,707410000
2051000000,1029900000,1021200000,1790800000,879440000,911340000,1466200000,726520000,739640000
577920000,333000000,244930000,628000000,319040000,308960000,517470000,283330000,234140000
1282900000,686060000,596870000,1249400000,628010000,621400000,1398000000,733450000,664560000
82486000,63563000,18923000,107130000,89739000,17394000,73461000,56458000,17003000
2782700000,1762100000,1020600000,3326300000,2049300000,1277000000,1828300000,1069600000,758630000
89309000,37666000,51643000,573990000,178260000,395730000,586330000,141820000,444510000
877420000,644210000,233210000,1296700000,1013200000,283500000,1091400000,809750000,281650000
165860000,125040000,40823000,180300000,112400000,67898000,156490000,97482000,59004000
46890000,23470000,23420000,62508000,41208000,21301000,89606000,65675000,23931000
728160000,471450000,256710000,745390000,483690000,261700000,482790000,325180000,157610000
64313000,44484000,19829000,1418500000,828440000,590100000,0,0,0
764080000,434410000,329670000,580460000,341250000,239210000,517470000,312020000,205450000
880370000,551320000,329050000,734160000,480450000,253710000,756390000,451840000,304550000
2188800000,1316400000,872470000,1792500000,1066400000,726130000,1741100000,1062800000,678280000
2373000000,1435500000,937490000,2074500000,1166400000,908100000,2634600000,1471900000,1162700000
5024900000,3255600000,1769300000,5339100000,3385600000,1953500000,4381500000,2702800000,1678800000
8564100,6232800,2331300,0,0,0,13915000,7225400,6689800
192650000,119020000,73630000,148580000,87266000,61312000,66322000,47858000,18464000
549940000,257810000,292130000,345410000,138590000,206820000,424920000,178240000,246680000
5600600000,3495300000,2105300000,5530700000,3574800000,1955900000,6853500000,4332600000,2520800000
183780000,119100000,64677000,429790000,324800000,104990000,315030000,219860000,95170000
311350000,231030000,80315000,106380000,75800000,30581000,117520000,80233000,37286000
132020000,88146000,43874000,234900000,154380000,80516000,108960000,70801000,38156000
72891000,50463000,22428000,37435000,20822000,16613000,176840000,121170000,55678000
49398000,37169000,12229000,30940000,23651000,7289000,6675300,5284200,1391000
3346700000,2264700000,1082000000,3284800000,2170200000,1114600000,2987100000,2007100000,980010000
9587900000,5069100000,4518800000,10394000000,5565800000,4828400000,9292000000,5222100000,4069900000
516860000,358970000,157890000,102520000,77098000,25423000,309230000,207570000,101660000
16390000,8230300,8159500,5879800,4017300,1862500,0,0,0
28119000000,20189000000,7930000000,29976000000,21670000000,8306000000,26788000000,19271000000,7517300000
3239800000,1888400000,1351400000,3208500000,1830800000,1377700000,2690200000,1529000000,1161200000
153690000,73123000,80568000,83554000,45827000,37727000,95171000,51106000,44065000
32714000000,18273000000,14441000000,32296000000,17996000000,14300000000,27980000000,15517000000,12463000000
1597800000,841580000,756210000,2140600000,1146300000,994310000,2032900000,1165800000,867060000
427930000,411110000,16813000,944660000,938900000,5761200,719070000,690060000,29015000
1401900000,787950000,613990000,1747400000,944820000,802600000,1695200000,896010000,799220000
7923400000,5144700000,2778800000,7726000000,5064600000,2661400000,7293800000,4731900000,2562000000
585300000,253850000,331460000,534570000,255320000,279240000,638130000,367830000,270290000
115780000,74721000,41063000,8873100,5901700,2971300,22269000,21188000,1080900
2137000000,1492700000,644240000,1662500000,1183700000,478780000,618380000,420670000,197710000
1780400000,1307000000,473390000,1953500000,1416000000,537470000,1746100000,1300000000,446020000
1670500000,920080000,750370000,1941300000,1071900000,869450000,1276000000,731460000,544570000
1294200000,600330000,693870000,604140000,341140000,263000000,361380000,137150000,224230000
5165700000,3193200000,1972500000,6470000000,4138800000,2331200000,5104400000,3137800000,1966600000
1601100000,1043100000,558090000,2087700000,1366000000,721720000,1575400000,1004500000,570840000
3317300000,2116600000,1200700000,2944200000,1992300000,951900000,3047200000,2046100000,1001100000
130270000,69494000,60780000,11620000,5525000,6094800,212260000,120680000,91583000
0,0,0,47100000,32814000,14286000,65887000,56180000,9707300
8015700000,4362900000,3652800000,9672800000,5183400000,4489500000,8017000000,4351200000,3665800000
5326700,5326700,0,44125000,29027000,15098000,24289000,15792000,8497200
7118300,6272500,845730,0,0,0,80531000,70216000,10314000
39674000,19391000,20283000,25643000,9540200,16103000,42323000,28536000,13788000
42634000,19791000,22843000,42034000,23096000,18938000,56972000,28814000,28158000
10860000,7634300,3226200,7383900,4770700,2613200,3871800,2117800,1753900
