Intensity,Intensity L,Intensity H
7290100,4064500,3225600
10659000,5842300,4816400
38306000,18264000,20042000
17488000,10599000,6889100
9841200,4438200,5402900
9424900,4858000,4566900
14106000,6576700,7529400
8349600,6362900,1986700
15930000,11132000,4798300
8351000,4440700,3910300
12877000,9052700,3824600
7886300,2993800,4892400
14968000,7554600,7413300
22581000,10086000,12495000
23803000,10692000,13111000
10110000,4720000,5390400
20976000,12798000,8177800
9330000,2947400,6382600
23822000,10374000,13448000
4319100,1811600,2507500
5595900,1880400,3715500
9329100,4677900,4651300
7129200,3232900,3896300
9788400,4224700,5563800
15207000,7894900,7311700
5869600,2210900,3658700
4097500,3687600,409910
5731300,3813300,1918000
12026000,7099300,4926800
9623300,5242300,4381000
22021000,12418000,9603000
12564000,8620600,3943700
17566000,9514200,8051800
5851000,3859200,1991800
5549700,2953200,2596600
11443000,5782300,5660600
5758900,1965000,3793900
30901000,14929000,15972000
2628900,1203600,1425300
5755100,2479500,3275600
4094500,2121000,1973400
50469000,32384000,18085000
86427000,49929000,36498000
12590000,5210900,7379200
5671200,3753800,1917400
10951000,6179200,4771400
12449000,5468500,6980700
3207900,2006700,1201300
12556000,7608700,4946900
10021000,4984700,5036300
173180000,92201000,80976000
7002000,2947200,4054900
10362000,6028100,4333800
2727100,1167700,1559300
91113000,50803000,40310000
115240000,66951000,48292000
24277000,12614000,11663000
9010400,4437800,4572600
13445000,7450500,5994300
12840000,7783300,5056700
8117300,5110200,3007100
14308000,7001300,7306300
7892300,4293100,3599200
14982000,7960700,7021300
17067000,7784500,9282400
30124000,14325000,15799000
9553000,4247300,5305600
21942000,9150800,12791000
9320600,3192600,6128000
6507100,3416900,3090200
11145000,4630500,6514700
12416000,6799100,5616500
9426600,4118300,5308300
23685000,10840000,12845000
15428000,7603800,7823700
5166200,2648600,2517600
4655400,2483900,2171500
5991900,2893500,3098400
23810000,6545900,17264000
15235000,6434300,8800500
9352800,4588300,4764500
7829900,5414800,2415100
6383500,3995500,2388000
4304600,2831300,1473300
23088000,14712000,8376100
25077000,13433000,11644000
13732000,9139200,4593000
31237000,19094000,12143000
5645900,3518100,2127800
9837600,7319000,2518600
12426000,7733900,4692400
11442000,7496800,3945200
9930100,4434900,5495200
12264000,5080500,7183400
15647000,5934100,9713200
3731000,1736100,1994900
5893800,4871400,1022400
9073200,6997100,2076200
6321100,2840900,3480200
13353000,5061700,8290800
4705800,1213600,3492200
7771600,4245600,3525900
3606000,1428800,2177300
3255700,1557800,1698000
14320000,5704000,8615900
4313900,3718000,595890
9268200,5029500,4238700
4542600,3555000,987610
13205000,6197000,7008000
7268900,3423700,3845200
8234300,5392100,2842200
21029000,12043000,8985600
64595000,45727000,18868000
2400100,1903000,497100
37908000,26411000,11498000
11182000,7768600,3413900
3465400,1814700,1650700
27636000,17745000,9891000
4572900,2879400,1693500
4140800,2308300,1832500
4464500,2517900,1946500
5150900,2927700,2223200
5744200,4280200,1464000
51065000,35129000,15936000
4950800,2664900,2285900
32711000,18389000,14322000
1931800,1282300,649510
12504000,7746500,4757700
4899400,2623600,2275800
8338100,4956600,3381500
9875800,5882600,3993200
11906000,9244200,2661900
3469800,2200300,1269500
9227400,4921800,4305600
12882000,7293400,5588200
36337000,12745000,23592000
21717000,13196000,8521300
6701800,3033500,3668200
19878000,6987500,12891000
18848000,12309000,6539000
11464000,6741200,4723000
9304900,5287100,4017800
13449000,7044200,6405300
11732000,7811400,3920600
8284600,4624600,3660000
10078000,5320500,4757800
10562000,4414100,6147700
17413000,13955000,3458200
8518200,6149900,2368400
7932100,7654800,277300
13232000,7305600,5926600
17957000,11284000,6672800
8376900,4555900,3821000
4641400,2248600,2392800
2704600,1298500,1406100
7989400,2924400,5065000
7785800,4259700,3526000
4762200,3131200,1631000
5853900,3631900,2221900
17521000,11904000,5616600
8075100,5438300,2636800
20501000,15217000,5284200
11795000,5854200,5940800
5299100,3253700,2045400
23925000,13693000,10232000
10265000,3981700,6283300
12918000,4707000,8211400
10707000,3676600,7030200
17449000,10925000,6524200
9611800,3796400,5815400
12423000,8187900,4234800
11750000,6463600,5286200
48288000,22247000,26041000
35984000,17065000,18919000
24369000,9485000,14884000
19902000,10462000,9439700
9812900,3572800,6240100
13712000,6519100,7193100
29584000,12642000,16942000
9324300,6364100,2960200
17708000,9911400,7797000
15446000,8659100,6786500
22948000,13106000,9842500
13195000,6791100,6403700
28865000,17150000,11715000
8129100,4220600,3908500
9157900,5050300,4107600
9457600,4899200,4558400
5210100,2030800,3179300
3757900,1544900,2213000
2496400,920900,1575500
7030500,3198400,3832000
5383400,2546900,2836500
14563000,5975400,8587800
10775000,5773800,5000800
14010000,10966000,3043300
15832000,12387000,3444800
60912000,45640000,15272000
12513000,10297000,2216000
28450000,21354000,7096600
9378200,7939900,1438200
10538000,7001100,3536700
3178600,2611100,567480
42686000,21692000,20994000
54937000,31563000,23374000
8008200,4035300,3972900
41003000,21199000,19804000
13235000,6437300,6797500
4365800,1776600,2589300
10010000,6018800,3991600
2278300,977460,1300800
14352000,7799900,6552400
3908800,1902100,2006700
5955400,2843600,3111800
27135000,14459000,12677000
11583000,5506600,6076900
10717000,6119800,4597200
11133000,5600800,5532600
14195000,8381500,5813700
44547000,26925000,17622000
40072000,22809000,17263000
9565500,6008800,3556700
10422000,6519400,3902600
14136000,9552500,4583400
4819200,1688400,3130800
7468100,3899500,3568600
17625000,6045500,11580000
72320000,24578000,47742000
19427000,7543700,11883000
26292000,11228000,15064000
19708000,8243000,11465000
14078000,5052800,9025200
10024000,3051400,6973000
4736100,1523100,3213000
23326000,17220000,6105900
6449100,2859500,3589600
6908400,3006100,3902300
