Intensity,Intensity L,Intensity H
7282500,3741900,3540600
11966000,4856400,7109300
39444000,19451000,19992000
19060000,7677000,11383000
21911000,10679000,11232000
7089800,3007800,4082000
8381900,3378900,5003000
3520400,2568200,952230
8672300,5354700,3317600
6950800,4618700,2332100
8271900,5491600,2780400
4599800,3165400,1434400
8455000,6458000,1997000
4257600,3581000,676650
11914000,9230000,2683900
7249900,4425500,2824400
27982000,14812000,13170000
7139500,3113500,4026000
20085000,8341500,11744000
30206000,13583000,16624000
33953000,17213000,16739000
7038700,3359900,3678800
15589000,8123100,7465800
21068000,9643800,11424000
12429000,5676300,6752600
20706000,9406700,11299000
5407900,3421200,1986700
9283000,4220700,5062200
5299700,2282200,3017500
10482000,4901300,5580900
10801000,5948700,4852000
24246000,9951200,14295000
6096000,1354700,4741300
13319000,4554300,8764800
13676000,5096100,8580100
11838000,4363400,7474500
5791700,3558600,2233100
7464300,2758600,4705800
14148000,8329800,5818100
13006000,7044300,5961900
3245700,1981300,1264400
11924000,6588600,5335900
24811000,13854000,10957000
8390000,4430000,3960000
9399000,5065400,4333600
15279000,6975000,8304100
12955000,7927300,5027300
20126000,8658400,11467000
7346800,2887700,4459100
17829000,6427500,11401000
31460000,12933000,18527000
12097000,5665500,6431400
3969300,1769000,2200200
5457900,2431100,3026800
4568700,1898100,2670700
147590000,82782000,64806000
10686000,6004900,4681100
30560000,18051000,12509000
48147000,26032000,22115000
9414600,5626900,3787600
20959000,12410000,8549500
22741000,13221000,9519600
9442900,5131800,4311100
8687300,5834800,2852500
9361100,4371400,4989700
44650000,24612000,20037000
7475700,3849300,3626300
18284000,11372000,6912400
7732900,4135100,3597700
181350000,96678000,84676000
15817000,8697000,7120300
25656000,13701000,11955000
9116800,4474000,4642800
41484000,25193000,16291000
15025000,8884700,6140000
9494200,4911400,4582800
14611000,6702400,7908900
30748000,17527000,13221000
5673600,3528800,2144700
11324000,4754400,6569300
5469200,2883100,2586100
5738700,3019600,2719100
18716000,8497100,10219000
1.30E+07,7358600,5641900
5655600,2035800,3619800
15079000,7351400,7727500
6885800,3298600,3587200
13079000,5406400,7673100
7940400,2832300,5108100
26664000,11146000,15518000
21138000,8679400,12459000
26619000,12652000,13967000
13207000,7606100,5600400
4177700,2221100,1956600
26478000,6087000,20392000
14112000,6195700,7916700
7432100,3694500,3737600
13549000,7101700,6447000
4935800,3499700,1436000
4883400,2299900,2583500
13546000,7729400,5816100
12611000,5820000,6791400
22226000,14060000,8166400
31164000,15191000,15973000
21164000,10667000,10498000
20770000,11955000,8814900
9673300,4530600,5142600
16727000,6797700,9929000
19104000,13388000,5716100
14508000,8343400,6164300
31499000,19929000,11570000
36459000,23119000,13339000
11832000,6890000,4942400
14730000,9689500,5040000
12290000,8603800,3685700
22611000,15085000,7526100
21148000,10306000,10842000
8965300,4591900,4373400
14949000,13390000,1559600
8020800,6707200,1313700
8149600,3163100,4986500
6517000,3316500,3200400
4350600,1873800,2476800
6895600,4106500,2789100
11286000,4960400,6325800
11187000,5021900,6164700
12642000,7009700,5631800
15793000,7409600,8383600
5384200,4324900,1059300
9697700,4692300,5005400
13365000,11777000,1587900
30315000,19200000,11115000
28015000,15497000,12519000
6885700,3201800,3683800
14181000,7774700,6406500
7318600,2670000,4648600
9693000,3517500,6175500
29490000,22115000,7374800
8522400,5776100,2746400
12986000,8644000,4341800
13376000,10133000,3242800
1967900,1409300,558650
5985400,3825400,2159900
16840000,12705000,4134600
12431000,9598800,2832400
22202000,16655000,5547200
6006300,4684100,1322200
13698000,9524900,4172600
32701000,24192000,8508400
46078000,31923000,14155000
14128000,6914800,7213300
13125000,8561800,4562700
77488000,56984000,20504000
9433500,6701000,2732500
6704400,4480700,2223700
5847600,3328200,2519500
30121000,23631000,6490100
20929000,13622000,7306900
29397000,18333000,11064000
32872000,22924000,9948100
10703000,7669700,3032900
16986000,8604700,8381300
52847000,32388000,20459000
5759300,3655000,2104400
16702000,11306000,5396000
17639000,6620100,11019000
19285000,12613000,6672100
30954000,19735000,11220000
14474000,7256900,7217400
10633000,5296200,5336900
9475900,4674400,4801500
19704000,12327000,7376700
11339000,6092200,5246800
9782500,5282000,4500500
12674000,9191400,3482300
10815000,6188400,4626800
4931300,2862000,2069300
16033000,7159900,8872900
24444000,13185000,11259000
24030000,10686000,13345000
17124000,9196700,7927300
13934000,7858700,6075500
7927200,4420000,3507100
4997100,2346700,2650400
4879700,2407600,2472100
8761600,5408800,3352700
16750000,11031000,5719300
19503000,11589000,7914100
15001000,7345700,7655400
10820000,6802000,4018200
20526000,14944000,5582100
26800000,20665000,6134700
32064000,22754000,9310700
29029000,21611000,7417500
16745000,12255000,4489900
9321900,6046000,3276000
14003000,10786000,3217600
7868300,3155200,4713100
13257000,7015400,6242100
10388000,8007100,2381000
5096700,3286100,1810500
12525000,10352000,2172300
8218400,5632000,2586500
15477000,6840000,8637500
19654000,11317000,8336700
15142000,7032600,8109900
26483000,14357000,12125000
21274000,9830600,11443000
20095000,11507000,8588000
5290200,2560900,2729300
7272400,4573000,2699400
4701800,1821500,2880300
30509000,11541000,18968000
16406000,9842900,6563200
35194000,19775000,15420000
14670000,8532300,6137900
9886700,5522600,4364100
10756000,6362700,4393100
14160000,9748400,4411800
5856300,4148600,1707700
38616000,24563000,14053000
53976000,37929000,16046000
9806300,6734300,3072000
25889000,19254000,6635300
8597700,5785000,2812700
10349000,6202700,4145900
12060000,6845900,5213900
28378000,19914000,8464600
23736000,15181000,8554900
20054000,10985000,9069000
18530000,8255200,10275000
8724800,4114700,4610000
32630000,18001000,14630000
38490000,23475000,15015000
11991000,7322600,4668400
10776000,5640800,5135300
36080000,17563000,18517000
17335000,9701200,7633800
31321000,16825000,14496000
87439000,44074000,43365000
22798000,12727000,10070000
13166000,7864300,5301700
11306000,6296200,5010300
22296000,14178000,8117900
20577000,10975000,9602000
14045000,12183000,1862200
9715600,4913200,4802500
32494000,14566000,17927000
6111600,2183600,3928000
6935300,3183900,3751300
9497800,3522200,5975600
8535300,4152500,4382800
11752000,5369400,6382900
29497000,22710000,6787300
22902000,19426000,3476700
51166000,39853000,11314000
11650000,9471300,2178500
8733700,7170800,1562900
14733000,8738400,5995100
63917000,48250000,15667000
3674100,2923600,750550
7475200,5901000,1574200
22101000,17364000,4737800
11078000,6609200,4468900
22557000,12430000,10128000
8515500,4542200,3973200
9223600,4809700,4414000
8401200,4209800,4191400
66093000,35258000,30835000
5905800,3285100,2620700
17168000,12177000,4991500
7248200,3768900,3479300
9253300,4348400,4904900
8277200,4163800,4113400
13436000,7625100,5810900
6080600,3205500,2875100
30118000,19625000,10493000
25444000,14035000,11409000
29566000,20099000,9466500
5799800,3139100,2660700
5341600,4564400,777260
8795100,4718300,4076700
14310000,8701800,5608200
12045000,6915000,5130000
5511300,3833100,1678200
5650400,2364100,3286300
16178000,7011300,9166200
21613000,6038500,15575000
48351000,15274000,33077000
8989500,2940400,6049100
13817000,5280500,8536400
22231000,12279000,9951400
21938000,9963000,11975000
10209000,6627000,3582400
9355700,5937000,3418600
30887000,10381000,20506000
6958500,4319600,2638900
3922400,3330200,592160
5699600,3782500,1917100
35869000,23003000,12866000
9753200,6090200,3663000
5134200,3079200,2055000
24178000,16505000,7672600
55100000,39615000,15485000
9872500,5968700,3903800
64058000,44613000,19445000
13115000,8742200,4373000
15519000,6572200,8946500
19037000,10557000,8480200
19407000,9316700,10090000
57104000,44989000,12115000
9060100,6291100,2769000
32708000,23746000,8962400
13732000,9749300,3983200
24486000,20169000,4316500
6947500,4125400,2822100
4656800,1575000,3081800
24968000,19215000,5753300
4872300,1562900,3309300
5581400,4087100,1494300
10795000,7827300,2967700
7178100,6074600,1103500
16193000,9386100,6807200
6082100,4016900,2065200
12718000,11310000,1407700
12133000,11033000,1099100
35912000,18908000,17004000
11677000,7503600,4173000
9444100,6186700,3257300
9652600,5740500,3912100
13544000,7765500,5779000
10072000,5447600,4624500
37647000,19750000,17897000
4300300,1912500,2387800
4501500,1823200,2678400
6597900,3373900,3224000
18535000,10293000,8242000
9409000,2230300,7178700
14076000,3815400,10261000
21857000,9845200,12011000
29719000,6670100,23049000
22761000,10352000,12410000
7672800,4108400,3564300
16668000,8578500,8089400
17907000,9568900,8338500
11750000,5530800,6219100
7428100,4416900,3011200
19213000,7730200,11483000
6959000,2833700,4125300
23250000,12566000,10684000
20972000,10047000,10925000
6359300,3084400,3274900
10125000,5701100,4423800
24395000,11489000,12905000
21050000,9497500,11553000
9459700,4935600,4524100
7320400,3698000,3622400
9881200,4845800,5035400
13110000,6767400,6342900
3261000,1552000,1709100
19715000,16736000,2978800
7120800,6408100,712710
10768000,9053000,1715000
18380000,13961000,4419200
13347000,7353700,5993600
11360000,5280100,6079700
13535000,9494800,4040600
25075000,14263000,10812000
17011000,9768800,7242100
16781000,13752000,3028100
22432000,15186000,7246100
10195000,7387900,2806800
6093200,2086600,4006600
11760000,8214200,3546200
20207000,15101000,5105400
34996000,24161000,10835000
10512000,9151600,1360600
34839000,24952000,9887400
33144000,23278000,9866200
11363000,7467400,3895200
32361000,22249000,10112000
13425000,10656000,2768200
41691000,29997000,11694000
7164500,5517700,1646800
19048000,13412000,5635900
19917000,13856000,6061100
26460000,17902000,8557900
16396000,8158400,8237600
16102000,7327600,8774600
9062000,4497400,4564600
24492000,15462000,9029500
12127000,4652700,7474100
5020100,2232800,2787400
20074000,8489500,11585000
12450000,5685200,6764800
27429000,11697000,15733000
32808000,17613000,15195000
8824600,4957600,3866900
6406800,2949000,3457800
20163000,11973000,8190900
8825000,5635500,3189500
10712000,6751700,3959900
24424000,14800000,9623900
22806000,13567000,9239100
19634000,9774000,9860000
23533000,13559000,9973600
11722000,8694100,3027700
19974000,10706000,9267900
20705000,10329000,10375000
13100000,7222100,5878300
10130000,6728000,3401500
10395000,6260900,4133900
13577000,8358300,5218900
13076000,7548100,5527500
20029000,17013000,3016600
12520000,9114200,3406300
29908000,22810000,7098100
12338000,9203200,3134700
3771800,709200,3062600
19498000,9027700,10471000
36377000,29646000,6731300
91483000,73471000,18012000
14023000,11529000,2494100
10984000,8431400,2552700
8448400,6486600,1961800
9301600,7111500,2190100
29039000,22718000,6321000
58323000,47235000,11088000
26171000,18277000,7894000
28858000,14806000,14051000
20767000,14132000,6635300
13714000,7257200,6456500
5872100,2404700,3467400
9532900,4910800,4622100
13766000,6822900,6943400
22162000,13291000,8870600
42272000,35965000,6306400
16055000,12061000,3994300
25079000,19945000,5133600
30979000,25089000,5889900
107290000,89743000,17552000
37306000,31444000,5862200
38912000,31003000,7908700
110820000,86994000,23828000
20681000,16623000,4057500
35791000,28977000,6814000
43410000,34642000,8768800
7808400,6471900,1336500
3816200,3358700,457430
27940000,11453000,16487000
8091900,3420100,4671800
13200000,6241100,6958700
18506000,9229600,9276600
20481000,11166000,9314700
9392200,4824800,4567400
17552000,9126800,8425400
9951400,5008600,4942900
16109000,6589800,9519500
28994000,13147000,15847000
5292900,2293500,2999500
11693000,4172400,7520700
3869600,1378900,2490700
3030100,732370,2297700
10431000,4023600,6407500
14589000,7733400,6855300
5477400,3230900,2246500
9076600,4046400,5030200
12724000,7201100,5523100
13833000,11202000,2631000
11042000,7255200,3787000
2405200,1769800,635440
10857000,6106200,4751100
13525000,4042300,9482500
7638000,3159300,4478700
11199000,3306400,7892100
26768000,20720000,6048100
9983900,8442800,1541100
43426000,39596000,3829800
10884000,8346200,2537800
39624000,31251000,8373100
13201000,10820000,2380800
18349000,12391000,5958300
41996000,38679000,3317600
18957000,13704000,5252900
33581000,26109000,7471900
10594000,6495500,4098800
29193000,23249000,5943600
25539000,22791000,2748400
47479000,41669000,5809900
10381000,6658700,3722800
15468000,12724000,2744500
17126000,10695000,6431300
37890000,19599000,18291000
14509000,8586700,5922700
12538000,7096200,5441800
6592900,2768000,3824900
11811000,5857700,5953000
5573000,3010900,2562200
13638000,10445000,3193200
4938800,3091400,1847400
57313000,23337000,33976000
34984000,12898000,22086000
40281000,17251000,23030000
41807000,16499000,25308000
9954500,4562200,5392300
48609000,18841000,29768000
35208000,13750000,21457000
41899000,18217000,23681000
19566000,8023700,11542000
16130000,6056100,10074000
12205000,4188200,8017000
19758000,7645600,12113000
38643000,35373000,3270000
12291000,5291600,6999000
13788000,7812000,5975800
22153000,8651800,13501000
18498000,5315800,13182000
30526000,10576000,19950000
38375000,17286000,21089000
29158000,11213000,17945000
15840000,6187600,9652300
15650000,6484200,9165900
12790000,5561900,7228200
16007000,8806700,7200800
7840200,3253300,4586800
61075000,26277000,34798000
