Intensity Normal1,Intensity Normal2,Intensity Normal3,Intensity Normal4,Intensity Normal5,Intensity Normal6,Intensity Normal7,Intensity Normal8,Intensity Cancer1,Intensity Cancer2,Intensity Cancer3,Intensity Cancer4,Intensity Cancer5,Intensity Cancer6,Intensity Cancer7,Intensity Cancer8
0,0,0,0,0,0,0,0,0,2.52E+07,0,0,0,0,0,0
8799000,9670500,5.81E+07,4.31E+07,3.12E+07,4.00E+07,3.74E+07,1.15E+07,1.08E+08,5.15E+07,2.37E+07,9.02E+07,9.96E+07,1.43E+08,2.77E+07,1.82E+07
908380,8548600,1.25E+07,3794900,3414500,6892500,3019900,605750,7774100,937290,1.52E+07,3.53E+07,2446000,2.18E+07,1226200,8299100
6.00E+07,2.49E+07,4.21E+07,3.16E+07,2.97E+07,4.77E+07,2.70E+07,1.41E+07,9723600,3.99E+07,4.73E+08,2.40E+08,3.20E+08,8.86E+07,3.49E+07,1.43E+07
1.23E+07,2.74E+08,1.77E+08,5.36E+07,4.77E+07,6.78E+07,1.01E+08,8753000,9.15E+07,1.53E+08,1.41E+08,5.01E+07,9.93E+07,4.92E+07,1.25E+07,5579100
503390,2.99E+07,3349500,3845800,0,1337600,0,0,3.88E+07,3.51E+07,4.43E+07,655760,1146800,40830,38351,8892000
5957000,9325600,4724800,325220,1261200,6594000,1183300,0,9115700,2.17E+07,3353300,5487600,1250400,389060,0,1384600
9.25E+07,9.17E+07,1.78E+08,1.02E+08,1.29E+08,9.44E+07,6.68E+07,1.99E+07,2.05E+08,2.28E+08,2.72E+08,9.92E+07,2.76E+08,1.82E+08,4.53E+07,2.54E+07
2203200,0,1832300,0,0,0,0,0,2925300,0,1.03E+07,0,0,0,0,0
1.92E+07,2.14E+07,3.33E+07,5886300,1.14E+07,2741000,2413700,582910,1.20E+07,2858100,4211500,2089100,3949100,2681900,333610,0
353890,7196100,3.66E+07,555360,8504600,880560,2528400,0,2.47E+07,0,1055600,0,0,0,0,0
5586900,0,871690,6273100,4432700,8158300,4117700,734380,0,0,1.76E+07,1499400,1.92E+07,8092600,1492300,250940
1.67E+07,1401400,1.24E+07,1.11E+07,7572800,4314600,1188500,837630,2.86E+07,1.97E+07,2427500,206070,2937900,5154400,0,340330
1.30E+08,1.60E+08,2.04E+08,1.28E+08,6.23E+07,1.14E+08,1.50E+08,3.69E+07,5.10E+07,9839400,1.06E+09,7.16E+07,6.47E+07,4.81E+07,4398100,1.81E+07
6.06E+07,3.38E+07,4.81E+07,6.81E+07,2.98E+07,4.05E+07,3.34E+07,1.38E+07,4.36E+07,3.17E+07,1.37E+08,3.88E+07,8264200,3.68E+07,6011200,2.66E+07
2831000,728680,800150,0,1066900,0,0,84209,2783300,568770,816090,719400,593670,0,136260,0
8048900,1045600,5.28E+07,3.77E+07,3.12E+07,2.53E+07,2.15E+07,3846400,2.31E+07,1.32E+08,5.18E+07,4.10E+07,6.51E+07,3.03E+07,3.02E+07,1851900
6.49E+07,2.84E+07,6.04E+07,2.51E+07,7.53E+07,4.13E+07,2.76E+07,4304500,2.56E+08,1.35E+08,3.02E+07,5.08E+07,1.53E+08,8.13E+07,9.79E+07,7807700
1940700,1006300,9369600,935670,6302600,36123,664670,63552,3.99E+07,2.05E+07,2.48E+07,3.20E+07,1.11E+08,3.50E+07,1.49E+07,232130
1.30E+08,3.12E+09,6.68E+08,1.81E+08,4.71E+08,2.68E+08,3.45E+08,4.62E+07,4.38E+08,1.53E+09,5.03E+08,5.20E+08,1.39E+09,3.35E+08,1.89E+07,7.63E+07
173770,0,0,0,0,0,0,0,0,0,1.08E+07,466380,0,0,0,0
