Intensity Normal1,Intensity Normal2,Intensity Normal3,Intensity Normal4,Intensity Normal5,Intensity Normal6,Intensity Normal7,Intensity Normal8,Intensity Cancer1,Intensity Cancer2,Intensity Cancer3,Intensity Cancer4,Intensity Cancer5,Intensity Cancer6,Intensity Cancer7,Intensity Cancer8
1100000,0,4707900,2539800,3635300,1600900,1826100,703760,0,1024400,0,2341400,689400,1115500,204610,134940
320320,1862600,526970,3003400,3048900,0,1976200,55798,0,0,0,0,0,0,0,0
7062700,4066500,8996500,1.13E+07,1.26E+07,7286500,2112600,275950,8942900,6322200,1.48E+07,2824900,2.38E+07,4661600,2170700,387400
3139000,9631700,5502600,8092200,1.02E+07,1.03E+07,2030500,1838300,6887100,1406700,7395800,8433600,9878800,1.27E+07,2080200,38353
1.02E+08,6.59E+07,4.37E+08,5.83E+07,6.03E+07,9.51E+07,4.65E+07,1.47E+07,3.94E+08,1.40E+08,8.46E+07,2.33E+07,8.86E+07,4.89E+07,1.90E+07,1.08E+07
1490300,0,5862800,0,4613600,0,2474300,0,0,0,0,0,0,0,0,0
1671300,2325600,9065200,1948700,1897600,1752700,765590,35526,1.37E+07,1.11E+07,9516700,1369700,157270,7052900,0,50864
9.12E+08,5.62E+08,9.54E+08,4.64E+08,6.11E+08,6.51E+08,7.40E+08,1.97E+08,2.80E+09,3.49E+09,2.63E+09,9.94E+08,3.14E+09,2.42E+09,1.01E+09,3.76E+08
6.78E+07,4.69E+07,5.02E+07,6.99E+07,7.22E+07,7.49E+07,4.74E+07,2.12E+07,1.43E+08,1.30E+08,5.80E+07,5.52E+07,1.18E+08,1.00E+08,6.05E+07,1.34E+07
0,116690,280460,2672400,6974300,6931500,7008700,0,510760,455640,971070,4872800,4182100,0,0,0
0,0,0,6030700,0,0,0,0,1414900,4666800,0,1106400,7448600,0,0,0
2.46E+07,1.38E+07,3.11E+07,1.12E+07,1.26E+07,666130,4621400,1665100,2.45E+07,3.25E+07,4.47E+07,4.70E+07,2.96E+07,4.13E+07,1.42E+07,8957900
1597200,2964100,1.06E+07,1929700,5433600,3119000,3558700,205640,7380200,1.25E+07,1.25E+07,174270,4.34E+07,4030700,1453700,0
63969,616920,891000,0,0,0,0,0,979770,3874500,3174800,645510,0,2443800,0,0
1.73E+07,1.23E+07,2.53E+07,4538200,5166300,4968600,1.09E+07,1388200,3.82E+07,1.46E+07,2.17E+07,1.79E+07,2.82E+07,1.94E+07,1.37E+07,630770
1130800,4459500,1342900,0,0,0,172540,0,6263600,4617400,8016200,0,0,0,0,0
0,0,0,4388900,239380,0,0,0,0,0,0,0,475060,0,0,0
0,0,0,438630,0,0,0,0,0,1274700,0,231210,2066600,0,0,0
0,0,0,0,452020,435250,0,79768,0,0,0,452620,0,0,0,33932
1.81E+08,6.72E+08,3.82E+08,1.74E+08,2.43E+08,2.39E+08,3.14E+08,5.76E+07,5.01E+08,5.23E+08,3.00E+08,6.76E+07,4.24E+08,1.07E+08,4.44E+07,1.16E+07
7.44E+07,5883900,1.20E+08,9.26E+07,6.43E+07,6.33E+07,5.04E+07,2.24E+07,1.11E+08,1.08E+07,3.78E+07,6624200,3.15E+07,1.59E+07,8914900,2.52E+07
3167300,3919900,2192700,6785000,5586800,0,341370,2597000,7158100,5682200,1.64E+07,7111500,5629400,1413900,1750600,130110
2.86E+07,1.04E+07,3.15E+07,1855300,9920400,1598100,657050,0,1.12E+07,1.67E+07,0,0,0,0,0,0
2.17E+08,1.95E+08,2.82E+08,1.82E+08,1.31E+08,1.18E+08,7.86E+07,1.77E+07,1.22E+08,1.70E+08,4.00E+07,2.47E+07,2.45E+07,2.00E+07,1.58E+07,4532500
7.22E+07,2.71E+07,9.64E+07,6.64E+07,8.18E+07,5.26E+07,1.90E+07,1.31E+07,6.75E+07,3.85E+07,1.60E+07,2.79E+07,3.83E+07,2.57E+07,1.04E+07,2558100
4.29E+07,3.16E+07,6.85E+07,6.32E+07,5.94E+07,3.76E+07,2.50E+07,1.66E+07,1.51E+07,1.46E+07,5895000,5915400,5984200,1507700,2584000,6981000
1.97E+08,2.08E+08,2.46E+08,1.61E+08,1.05E+08,7.85E+07,7.23E+07,3.67E+07,1.26E+08,9.52E+07,9893100,2.13E+07,2.75E+07,1.61E+07,9156000,9185600
4.72E+07,5.65E+07,8.59E+07,8.11E+07,1.15E+08,5.37E+07,5.58E+07,3.54E+07,1.98E+07,2.31E+07,3354600,1.39E+07,1.17E+07,5678600,1987400,536660
2.94E+07,1.45E+07,2.73E+07,4.14E+07,6334200,1.39E+07,4712900,6319100,1.15E+07,1.84E+07,0,166270,4914200,0,0,654840
1.01E+08,9.04E+07,1.34E+08,9.81E+07,9.90E+07,9.63E+07,3.38E+07,6924500,1.09E+08,2.30E+08,4.36E+07,3.98E+07,9.45E+07,1.15E+08,2.93E+07,2523300
0,0,0,811650,371690,530880,0,3838500,2.29E+07,0,0,588970,3.54E+07,465230,0,0
1.06E+08,1.07E+08,1.14E+08,4.77E+07,1.81E+07,1.19E+07,8124500,4195300,6.64E+07,1.71E+08,8.69E+07,1.75E+07,1.98E+07,1.28E+07,2539700,1818900
1.66E+08,6.99E+07,1.35E+08,1.53E+08,1.09E+08,6.05E+07,6.20E+07,2.07E+07,1.87E+07,3.46E+07,4778000,2.07E+07,1.51E+07,1.39E+07,1.15E+07,1676400
1.78E+07,1.64E+07,3.55E+07,4.97E+07,1.33E+07,2.19E+07,3.64E+07,1.62E+07,8672100,8039800,0,7331400,0,0,6613300,0
1.02E+08,4.76E+07,1.23E+08,5.64E+07,4.45E+07,3.55E+07,2.20E+07,8739800,8.50E+07,8.60E+07,4788500,1.12E+07,1.35E+07,4712900,3825600,291110
2.39E+08,2.62E+08,4.70E+08,4.28E+08,3.10E+08,2.20E+08,2.06E+08,7.98E+07,1.79E+08,1.65E+08,1.04E+08,7.30E+07,1.28E+08,3.98E+07,3.77E+07,1.92E+07
4.82E+07,2.26E+07,5.85E+07,1.30E+08,1.01E+08,8.03E+07,7.64E+07,1.81E+07,5.57E+07,1.12E+08,6.44E+07,6.67E+07,1.31E+08,8.31E+07,3.37E+07,1.02E+07
1.86E+07,2904900,7172700,1525600,0,0,998790,0,1.36E+07,0,1.21E+07,3359900,1855700,0,235590,237610
7.28E+07,8.27E+07,6.28E+07,5.94E+07,2.73E+07,3.09E+07,2.82E+07,1776400,7.26E+07,7.45E+07,1.75E+08,9.86E+07,1.24E+08,5.17E+07,1664300,2.07E+07
1.91E+07,3636800,1.04E+07,1.98E+07,9360800,7434600,4810300,1217300,6.11E+07,5192500,6.49E+07,3.97E+07,2.58E+07,2.88E+07,2596900,694920
1.25E+07,5380100,1.01E+07,1.87E+07,9851100,1.28E+07,6828000,3353300,2.35E+07,2.90E+07,9.16E+07,3.94E+07,3.40E+07,2.42E+07,1065300,3463500
1.36E+07,4.15E+07,5.30E+07,5.69E+07,4.02E+07,1.56E+07,2.17E+07,4781900,3.58E+07,3.25E+07,5023800,1.66E+07,1.66E+07,5388000,8738300,2246800
7.21E+07,2.87E+08,1.71E+08,1.41E+08,7.18E+07,6.41E+07,5.26E+07,1.92E+07,1.29E+08,1.55E+08,2.48E+07,4.47E+07,5.10E+07,4.00E+07,3.23E+07,8624400
1.71E+07,1.65E+07,2.14E+07,7.91E+07,5.23E+07,9.10E+07,8.20E+07,3494700,2.70E+07,2.15E+07,4.87E+07,1.01E+07,8856500,4.89E+07,5346000,2.89E+07
5.57E+07,5.11E+07,3.51E+07,4.86E+07,1.84E+07,6191400,1.13E+07,5023900,8.04E+07,2.35E+07,9718500,4316800,2.22E+07,1321500,1338000,0
7.31E+07,7.36E+07,1.46E+08,1.17E+08,9.47E+07,7.72E+07,8.82E+07,4.72E+07,3.39E+07,6.21E+07,0,1.45E+07,2.05E+07,9781900,1.83E+07,5134400
5.20E+07,2.77E+07,4.68E+07,6.70E+07,3.67E+07,3.39E+07,3.21E+07,1.28E+07,3.35E+07,2.47E+07,1.12E+07,1.45E+07,1.71E+07,1.38E+07,8742700,6605000
4.99E+07,3.56E+07,3.26E+07,2.48E+07,2.40E+07,2.36E+07,3.25E+07,1.41E+07,2.28E+07,3.51E+07,4584200,5710500,7380700,7586000,7768200,3495800
4.89E+07,3.91E+07,7.92E+07,4.72E+07,4.45E+07,2.52E+07,1.43E+07,1.04E+07,3.88E+07,4.68E+07,3992800,4533000,4154000,5169100,5181100,252730
3.98E+07,5.76E+07,7.63E+07,7.03E+07,4.52E+07,4.90E+07,4.39E+07,1.59E+07,5.79E+07,5.02E+07,3812400,2.10E+07,9428400,2874000,6514900,0
1.38E+08,9.03E+07,1.11E+08,8.86E+07,1.41E+08,1.04E+08,7.33E+07,2.33E+07,6.17E+07,9.10E+07,6963200,2.84E+07,1.85E+07,7.41E+07,1.73E+07,674290
1.46E+07,4406900,2.30E+07,774590,729990,191620,120500,112370,1.65E+07,8489900,3989400,71627,107640,569320,0,0
7.87E+07,7.60E+07,1.50E+08,1.01E+08,4.48E+07,6.93E+07,7.59E+07,3.04E+07,9.72E+07,6.22E+07,1.21E+07,3.56E+07,4.45E+07,1.92E+07,3.02E+07,2831800
7.02E+08,6.25E+08,1.10E+09,6.01E+08,3.15E+08,3.28E+08,2.98E+08,1.33E+08,2.79E+08,4.06E+08,1.37E+08,4.43E+07,6.37E+07,4.68E+07,3.39E+07,1.42E+07
3.16E+08,2.58E+08,4.10E+08,1.61E+08,1.11E+08,7.53E+07,5.89E+07,2.05E+07,1.89E+08,2.22E+08,1.59E+08,6.25E+07,5.00E+07,4.85E+07,1.14E+07,3159800
2.45E+08,2.38E+08,3.01E+08,2.94E+08,1.61E+08,2.55E+08,1.54E+08,6.43E+07,2.17E+08,2.34E+08,1.82E+08,1.43E+08,1.27E+08,1.23E+08,3.43E+07,1.18E+07
4.75E+07,3.05E+07,1.18E+08,6.42E+07,2.45E+07,2.28E+07,1.41E+07,8781800,4.11E+07,3.22E+07,1.31E+07,5245000,6829200,0,4038200,164840
1.08E+08,8.98E+07,1.65E+08,1.26E+08,1.08E+08,4.79E+07,2.90E+07,1.18E+07,8.59E+07,1.10E+08,8026900,2.18E+07,1.66E+07,3495000,3162300,1299400
7.83E+07,7.91E+07,1.38E+08,1.21E+08,5.60E+07,7.21E+07,6.84E+07,3.63E+07,3.75E+07,3.48E+07,1945300,1.25E+07,1.39E+07,1.01E+07,1.10E+07,807970
4.73E+07,3.45E+07,5.21E+07,6.76E+07,2.18E+07,2.74E+07,1.71E+07,4097100,1.32E+07,4.17E+07,3.09E+07,1.91E+07,1.86E+07,6890300,3724900,170400
9.58E+07,6.47E+07,1.69E+08,1.19E+08,6.75E+07,5.35E+07,4.29E+07,1.91E+07,8.40E+07,8.82E+07,6.68E+07,4.25E+07,2.51E+07,1.73E+07,1.70E+07,2957000
3.62E+08,3.28E+08,4.47E+08,3.69E+08,1.68E+08,1.92E+08,1.51E+08,6.43E+07,1.97E+08,1.17E+08,5.05E+07,5.71E+07,7.24E+07,4.51E+07,2.01E+07,1862400
1.23E+08,1.09E+08,2.19E+08,1.75E+08,6.95E+07,8.25E+07,5.38E+07,2.51E+07,6.59E+07,6.26E+07,1.11E+07,2.51E+07,2.62E+07,1.53E+07,9227100,4945300
842060,0,0,2369400,0,0,5280100,0,0,0,0,0,0,0,0,0
0,0,0,2540300,4132600,1151000,0,0,0,0,0,0,2704600,2043600,962670,0
9152400,5683300,1.39E+07,9513800,1.63E+07,5894200,4776700,1533000,1.10E+07,5006500,1.50E+07,6307700,6512200,9746700,2610500,1399700
419420,0,1516400,0,649300,0,1094700,0,0,2389000,1957200,1013300,2460800,3770800,737850,0
241300,1.20E+07,0,1148400,2280900,4418100,3275200,229870,3712000,1.17E+07,7908500,9165800,2686400,5618500,4541800,1865200
1.94E+07,6729500,7809500,2.04E+07,3.35E+07,1.66E+07,6707100,6709700,6256800,1.98E+07,5091400,4323000,5767400,7242600,2325600,866010
2.44E+07,2.82E+07,6.32E+07,3.93E+07,2.91E+07,2.10E+07,2.58E+07,1.33E+07,5.74E+07,5.98E+07,3.27E+07,4.93E+07,9.18E+07,4.84E+07,4.44E+07,1.69E+07
2149300,0,3079600,982630,5835900,1786800,0,115170,0,0,0,181370,369570,451150,0,0
0,0,837560,175690,168610,0,43296,0,1333200,792880,2581800,5070600,1.17E+07,389670,1332700,0
0,0,280090,0,0,0,0,0,438210,476080,991050,0,0,256680,0,0
0,193830,1410500,427970,0,909840,578900,1972100,559080,2514100,0,0,0,0,0,0
174680,2370700,2847400,1387900,1312700,1541900,607190,0,684840,4686100,4137800,949710,4373600,1028200,0,39421
1.33E+07,1.64E+07,2.85E+07,1.56E+07,1.45E+07,1.16E+07,1.53E+07,2095400,3.94E+07,2.48E+07,3.07E+07,2.05E+07,8447700,1.80E+07,1.19E+07,3364700
2184000,910020,2705800,4254200,1557500,6169400,4921800,296860,5869000,5481800,1772900,5494700,7815300,1.31E+07,2032500,576910
1.96E+07,7985400,8052800,7512200,1.86E+07,1.41E+07,8848200,2507700,4.30E+07,3.12E+07,8901900,1.91E+07,2.53E+07,2.54E+07,1.40E+07,551040
517470,0,2284700,465950,313240,334690,53616,47078,0,2137500,334860,0,0,0,0,58729
4954200,1.64E+07,1.62E+07,2694700,9453700,2387000,5057800,792810,1286100,814320,1933700,3.83E+07,945070,8.40E+07,691240,0
3453700,1.66E+07,3.17E+07,1.19E+07,4.23E+07,5911300,1.73E+07,446080,2.16E+07,2565100,1.96E+07,1.17E+07,9487500,1.85E+07,586540,186220
0,0,0,3759400,3599600,8666400,671950,1233600,3517300,0,0,9224700,1.75E+07,4202000,3798600,1180800
1.08E+07,1331600,1678000,1053600,1.50E+07,2.31E+07,7601600,159880,4552500,4047800,0,519700,1598100,1458600,7140600,110230
3324200,84857,3705300,218030,0,0,0,50427,5215600,1765400,8613000,845020,2966900,1294200,133290,23004
0,177770,0,152280,1110600,751040,558360,157380,1386700,0,501600,1110600,0,318300,541360,136730
236580,272060,2274800,835390,958850,982820,409280,0,0,0,5896400,671950,0,1117000,0,0
283300,0,1468800,1272100,1871900,1592000,1243500,239870,594070,550270,254770,1726100,351910,1038400,2531000,78436
113820,0,267790,724480,689270,697500,2006000,1188000,389750,7706300,521210,218960,251260,96872,5666200,3234400
1529400,1367700,1493800,1086200,1520700,1409700,0,0,2846900,0,1423600,0,0,4050900,1711100,0
3883400,0,0,685110,5358500,476550,4135700,334110,9766000,889090,617160,4324700,3440500,2657400,4000500,344680
2212500,0,733330,3083700,764320,743640,1238800,0,2161300,5423500,1.24E+07,3034000,593060,108640,0,0
1.81E+07,8302500,2.19E+07,1.60E+07,2.81E+07,2.78E+07,1.51E+07,5140900,4.66E+07,8.26E+07,2.19E+07,1.27E+07,1.17E+07,1.60E+07,1.95E+07,8246300
3.20E+07,1.67E+07,3801200,3.20E+07,5.20E+07,2.26E+07,1.33E+07,632790,9.40E+07,7609600,1300300,5620000,5.61E+07,1.38E+07,2.83E+07,517330
0,0,0,0,0,0,0,1648900,0,0,0,0,0,0,0,0
583570,398310,2003400,16045,132210,69984,0,0,4524500,2763100,3178800,185760,192380,471730,202700,148410
2.13E+07,2115700,5250400,1575000,5.96E+07,3883300,0,263620,1.48E+07,4696300,5.83E+07,2964700,1.31E+07,1.13E+07,44197,22810
3.17E+07,5523500,3.69E+07,3.48E+07,1.70E+07,2.28E+07,1.47E+07,6265200,4.25E+07,2.01E+07,1.29E+08,9.92E+07,5.62E+07,8.86E+07,1.22E+07,1.57E+07
5126400,1.13E+07,1.44E+07,2.48E+07,9586800,1.66E+07,4118800,2353800,1.41E+07,3.48E+07,3.35E+07,2.93E+07,2.72E+07,2.32E+07,1519700,3549400
0,3487000,6285700,0,220120,227580,97727,63475,2022400,1214100,4148500,502540,0,0,0,0
0,0,0,0,0,0,0,0,0,828290,0,0,0,0,1350200,0
0,82371,1908300,1530300,846660,0,1929000,368270,2118200,4702400,0,3853400,1.02E+07,2816900,2900900,450430
778280,0,0,2120800,0,0,1486400,580660,0,3725300,0,4656600,1.09E+07,6784100,852830,456590
0,0,1793700,6494600,9841200,6118900,5237200,1665400,3228700,6933800,877020,7693900,1.92E+07,1.39E+07,4939400,245370
551220,290820,1157000,451210,2080000,137900,561940,89851,6861900,1.07E+07,9671400,3004800,4590300,4980400,2576900,268170
0,2929800,2438000,534870,801050,2463600,210870,326910,3916800,1125300,1717100,750010,0,1901000,688020,452800
0,0,249260,0,567680,0,37238,0,0,0,0,0,0,0,0,0
3830600,2083300,8186600,7574000,6302600,5018200,3585000,952140,5737200,6428500,1.04E+07,2122000,3776100,1596300,402280,275430
0,0,3799900,0,215730,0,0,0,0,242480,386510,2315000,1060100,355050,505690,52394
2.42E+07,4570600,1.16E+07,8946500,1.35E+07,6882500,4632300,1334000,1.86E+07,4.01E+07,1.40E+07,1.19E+07,6.30E+07,7855700,1037900,2263200
1713600,0,2404200,3234300,8494300,4566100,3095700,689140,1.04E+07,0,5406100,5276700,7375200,2452100,602610,348830
1.16E+07,13032,7110700,2.41E+07,3.10E+07,2.68E+07,1.39E+07,9531600,1.75E+07,3.92E+07,4.36E+07,6.46E+07,6.97E+07,3.54E+07,8698300,8067800
8.24E+07,4.01E+07,5.03E+07,4.38E+07,5.72E+07,1.91E+07,1.88E+07,7038100,1.06E+08,2.71E+08,1.45E+08,6.45E+07,1.11E+08,6.40E+07,9108400,9057000
1.81E+08,1.92E+07,3.75E+07,1.92E+07,1.01E+08,5.91E+07,3.37E+07,1.63E+07,1.18E+08,1.33E+07,2.91E+07,5.72E+07,5.61E+07,6498800,7663100,1000800
1.12E+08,1.96E+07,1.64E+07,8356900,6.37E+07,7351500,4507900,666510,1.44E+08,3.23E+07,8369800,1.28E+07,4270100,6818400,7381300,53010
2.35E+07,1.05E+07,2.93E+07,2.41E+07,3.38E+07,2.61E+07,2.62E+07,5433200,4.34E+07,2.33E+07,9.09E+07,2.71E+07,5.57E+07,2.35E+07,7141600,1.53E+07
5441700,1258600,4763100,1001700,1398700,284300,291150,82777,3.52E+07,6.19E+07,4.11E+07,4440800,1.35E+07,4803300,557690,229410
1258500,1.03E+07,4335000,2660600,0,484370,2503500,4416200,3.10E+07,0,0,283890,893380,1665500,270100,6.94E+07
444210,1767300,1574500,68607,457990,276410,262540,0,3527600,1.46E+07,6755600,142380,403140,1134300,128330,16874
7.50E+07,4.95E+07,9.47E+07,1.37E+08,1.18E+08,6.32E+07,6.14E+07,2.99E+07,9.27E+07,1.60E+08,2.98E+08,1.77E+08,3.74E+08,1.97E+08,6.88E+07,4.13E+07
3.55E+08,8.37E+07,2.37E+08,1.19E+08,1.17E+08,9.97E+07,4.01E+07,1.32E+07,1.68E+08,1.34E+08,4.24E+08,1.72E+07,7.41E+07,1.30E+07,1.37E+07,6580200
662670,303330,777010,635590,325490,3934100,3544900,132480,602680,390210,1191600,211650,0,139210,478230,57199
9.02E+07,1.23E+08,9.51E+07,7.97E+07,8.43E+07,9.30E+07,2.89E+07,1.28E+07,8.21E+07,2.84E+07,1.15E+08,4.60E+07,4.74E+07,4.91E+07,1.62E+07,2094600
6.04E+07,3.05E+07,9.65E+07,9.48E+07,8.77E+07,5.80E+07,5.18E+07,2.36E+07,1.16E+08,1.37E+08,2.44E+08,1.87E+08,1.83E+08,1.59E+08,3.59E+07,3.84E+07
0,0,0,0,0,0,0,0,0,0,0,404580,4486800,0,0,0
531540,0,3566800,1987300,3775300,1512500,3919500,134060,0,0,0,1399000,4001900,1326700,1555900,198580
0,0,0,0,2272400,1755900,0,66415,1898100,1.12E+07,2445900,4119700,9255400,4001800,3062100,87903
913800,0,2071600,1345700,849970,158230,124210,28344,2121900,2.41E+07,2.08E+07,7606100,1.90E+07,1.34E+07,3448200,252850
1.97E+07,324660,1.77E+07,6521900,2153300,1277000,1991800,241530,1.33E+07,2.61E+07,1.30E+08,3.98E+07,4.23E+07,6.90E+07,3237800,3198800
66108,0,179580,0,714130,270330,0,0,0,0,0,0,0,0,0,0
0,0,0,4267100,2242200,4320100,889700,81062,0,1650700,5811100,1569100,1.13E+07,3085100,242880,62002
2.65E+08,1.94E+08,1.08E+08,1.07E+07,9.57E+07,4.94E+07,1498700,4106200,8.58E+07,414900,2431300,9070900,2.54E+07,4425800,7721000,2.48E+07
2946700,1551600,2064100,5721600,3318200,1613200,96323,630870,7201700,2142300,1.84E+07,1700400,5654600,0,0,60629
3421800,2919600,3358500,3879600,3878000,2692800,2750300,896310,2.11E+07,1.94E+07,1.73E+07,1.12E+07,1.68E+07,1.04E+07,6162300,754060
6.34E+07,3.62E+07,1.00E+08,6.72E+07,7.31E+07,3.16E+07,2.93E+07,1.06E+07,1.86E+08,1.29E+08,2.35E+08,1.08E+08,2.50E+08,1.51E+08,4.25E+07,1.39E+07
1.15E+09,6.84E+08,1.44E+09,7.02E+08,1.16E+09,7.24E+08,6.55E+08,2.99E+08,2.53E+09,2.48E+09,2.23E+09,1.23E+09,2.20E+09,1.22E+09,4.46E+08,1.88E+08
9176300,9127200,1.21E+07,0,413400,0,0,0,5.35E+07,2.48E+07,5.76E+07,0,3406800,260210,0,0
3.25E+07,2.63E+07,1.98E+07,1089700,672380,460810,297010,0,9.09E+07,5.82E+07,1.15E+08,1358800,1177100,740610,219070,0
7.82E+07,5.05E+07,8.77E+07,6.67E+07,5.96E+07,4.68E+07,3.52E+07,1.60E+07,7.81E+07,328890,7.13E+07,6.46E+07,4247000,4981800,2.71E+07,7338000
1613100,1229100,1138700,955550,1567000,767730,0,0,4588300,1535100,7114800,4515400,2571200,3208600,600860,0
0,0,0,0,266680,0,0,0,328580,0,0,0,5375500,0,0,0
1.45E+08,3.75E+08,2.80E+08,3.59E+08,1.47E+08,2.55E+08,1.80E+08,1.01E+08,1.77E+08,2.02E+08,3.92E+07,1.06E+07,1.28E+07,2438800,8325400,2071500
7483700,1907400,8773500,1.17E+07,5141600,1.24E+07,3404000,591510,4956400,1231200,8674000,8626700,1.30E+07,7155700,1920100,356210
8328200,6919000,1.28E+07,3.82E+07,2.07E+07,1.04E+07,1.61E+07,1938700,7535600,2254000,4526900,5681800,2.48E+07,1.61E+07,1.13E+07,3560000
1189500,0,1385300,8530700,2717700,2619500,1462200,395620,499610,109710,9078400,1.55E+07,7922300,7555100,1059400,152050
2563200,3342700,4143800,5832700,3508300,1076900,3025400,402270,9129900,9334700,1.26E+07,5890400,4784300,653850,3235700,183160
5013800,2.78E+07,3.05E+07,1.81E+07,3.04E+07,1.91E+07,2.28E+07,8576900,9.91E+07,6.10E+07,1.02E+08,3.19E+07,8.77E+07,6.27E+07,2.91E+07,1.57E+07
7796600,648100,0,3230000,0,0,0,0,804720,134780,0,0,6342100,6943200,0,0
5.74E+08,2.39E+08,4.72E+08,2.26E+08,1.44E+08,2.77E+08,1.61E+08,9.55E+07,3.78E+08,2.01E+08,7.73E+08,2.82E+08,1.39E+08,1.42E+08,1.36E+08,8.34E+07
1007000,0,1528400,769710,0,0,180830,0,3879500,150060,2399500,1.06E+07,8792500,8822800,1786100,0
2.59E+07,1.20E+07,2.28E+07,2689400,343200,936980,435160,153190,3.19E+07,3.23E+07,3.67E+07,1.57E+07,6121300,2081000,0,1941400
1.51E+07,0,1.01E+07,1405800,2848200,1096500,1645200,352400,2558500,1.68E+07,2608400,4818300,1.34E+07,1.13E+07,62925,0
0,981660,5027200,0,1285400,542970,302630,1704500,9.83E+07,5.82E+07,8.04E+07,776260,7.48E+07,5.35E+07,4106000,0
9599000,2.07E+07,9665000,1.75E+07,1477300,9631900,1193400,3856500,1.43E+07,2.26E+07,1.90E+07,330260,491040,196000,432390,3140800
1398000,780050,9820400,137160,0,0,1598000,23252,3.56E+07,6.06E+07,5.29E+07,3990700,5050700,2869100,2085100,42535
0,37153,709780,0,118460,89054,196170,666940,3775700,1.40E+07,236460,115250,455020,2005900,474580,14727
3731600,835450,1.02E+07,566060,661880,436610,167720,22410,1.13E+07,3.49E+07,2.81E+07,2233700,1.23E+07,4606000,448810,67803
736320,0,0,0,421190,0,476610,0,0,6553400,1461400,592770,900480,0,0,0
0,0,368980,4795800,4513800,1892400,0,0,1.81E+07,2785200,1574100,2168800,4459500,684150,1665500,542620
475320,0,2330800,784210,796590,711940,1069300,288410,8061700,9094000,1.47E+07,5261000,4617600,3267300,757640,0
300260,726510,4599900,567790,0,0,446330,0,972260,1.51E+07,5246600,2285700,4815200,2673100,477340,0
180610,0,137890,0,139190,85611,72145,0,606200,2170600,624750,112390,410020,557700,140310,37289
393730,0,0,0,339060,232590,142980,188840,3714000,1.87E+07,6131400,713890,6768200,7658600,595060,73991
1876700,9421200,2718800,1396200,6999000,3993000,709550,146210,1.26E+07,9521000,7090200,628460,2.99E+07,856670,8464800,246240
0,0,0,0,0,0,0,0,309940,126470,109760,0,0,0,0,0
7.54E+07,3.20E+07,4.48E+07,1.03E+07,2.11E+07,3.19E+07,1.86E+07,4121300,1.74E+08,1.36E+08,3.94E+07,1.81E+07,4.32E+07,7.71E+07,3.85E+07,7862600
1.43E+08,3.95E+08,6.80E+08,3.52E+08,5.50E+08,3.59E+08,4.03E+08,1.64E+08,8.06E+08,1.43E+09,1.02E+09,9.66E+08,1.60E+09,1.08E+09,3.53E+08,2.72E+08
9926000,0,4544400,3982000,1.68E+07,4440400,9750700,2312300,1.54E+07,8805500,7.67E+07,3.61E+07,3.37E+07,1.97E+07,8604000,3681700
7857500,2462600,4057200,4666600,4719300,2949300,2346100,2109400,5.51E+07,8.25E+07,2.37E+07,2.18E+07,1.92E+07,1.89E+07,6264100,5191100
2271000,573600,4210800,3155700,2991700,2373000,2359000,847830,1.54E+07,3.27E+07,1.10E+07,1.56E+07,2.59E+07,8788200,8430800,1725700
4062000,4637900,1.16E+07,3107200,2808100,2538700,3936400,171090,5.30E+07,1.63E+08,5.08E+07,1.14E+07,5.34E+07,1.89E+07,1.66E+07,350340
8.31E+07,2.93E+07,8.65E+07,3.74E+07,9.25E+07,9.08E+07,5.15E+07,9598200,2.63E+08,2.94E+08,2.16E+08,2.49E+07,2.12E+08,1.09E+08,2.64E+07,5558600
1.26E+08,3.62E+07,5.17E+07,1.08E+07,5.03E+07,3.42E+07,2.41E+07,2755000,3.05E+08,4.21E+08,2.11E+08,2.09E+07,1.51E+08,6.82E+07,1.71E+07,2600000
470070,0,471900,288230,558910,450560,0,0,2561100,0,2945900,514600,1255400,877600,0,0
0,0,0,0,0,0,0,0,0,0,0,157420,0,225980,0,0
77637,0,0,672120,2883100,599910,967790,24605,4757400,1.47E+07,1021300,3688200,1391100,2497700,6475800,19447
1295100,493700,8305000,411580,407070,805840,405300,164200,889290,1776000,1652900,306090,168800,266650,358490,361030
0,0,0,0,0,0,92343,0,0,0,0,400480,2014200,0,0,137190
263530,0,102190,0,543990,0,174800,2.20E+07,0,61519,5.05E+07,1.93E+07,4.74E+07,3.82E+07,143200,0
1128800,4.87E+07,4.15E+07,0,0,484890,172680,0,5.05E+07,2.46E+07,1.89E+07,255720,0,295730,0,692880
735550,0,0,495690,493620,0,0,514360,0,0,0,0,0,0,983690,140010
1033100,1052900,1533800,0,0,0,72388,0,2394000,2416400,1058700,0,0,5069800,0,0
5.44E+07,2.94E+07,9.70E+07,4.55E+07,5.60E+07,5607500,2.24E+07,9898800,6.02E+07,5.11E+07,8.04E+07,2.37E+07,3.00E+07,4840500,1.08E+07,1.66E+07
7654000,5756500,1.21E+07,2.27E+07,3939000,2559800,3657700,2371700,5369800,3025500,1.99E+07,2.24E+07,1.18E+07,7820800,4466600,2269600
2.95E+08,2.63E+08,4.28E+08,2.41E+08,1.67E+08,2.52E+08,1.14E+08,4.87E+07,4.94E+08,5.87E+08,4.74E+08,1.83E+08,4.57E+08,2.25E+08,6.85E+07,7315600
