CT_S12_1,CT_S12_2,CT_S2_1,CT_S2_2,CT_S3_1,CT_S3_2,CT_S5_1,CT_S5_2,CT_S7_1,CT_S7_2,HF_S1_1,HF_S1_2,HF_S3_1,HF_S3_2,HF_S4_1,HF_S4_2,HF_S6_1,HF_S6_2,HF_S8_1,HF_S8_2,OB_L2_1,OB_L2_2,OB_L3_1,OB_L3_2,OB_L4_1,OB_L4_2,OB_L6_1,OB_L6_2,OB_L7_1,OB_L7_2,OB_S2_1,OB_S2_2,OB_S3_1,OB_S3_2,OB_S4_1,OB_S4_2,OB_S6_1,OB_S6_2,OB_S7_1,OB_S7_2,
23.13171046,23.08092052,23.23130266,23.2836823,23.14638782,22.01976052,23.31368842,23.31247504,23.28880358,23.21488458,22.47232007,22.34447663,22.58987679,22.53210373,22.64295348,22.70806947,22.50421073,22.59604797,22.74183688,22.59816441,22.07189392,21.8733057,22.05134299,21.5890866,22.0708538,21.85768258,21.87798919,21.94734441,22.0215486,21.69908418,21.80758236,21.96903458,22.16259053,22.06307813,21.99528928,22.07262407,22.16472481,22.35506363,21.85421558,21.73518152,
27.38315357,27.21213404,27.4502734,27.14036943,27.41823823,27.45541462,27.29773622,27.34104981,27.63761397,27.43664034,28.1455112,28.19327489,28.24655994,27.93901533,28.08048562,27.75975634,27.87358997,27.8099519,28.06351626,27.86097737,27.7224301,27.52983691,27.64755131,27.39479124,27.87318562,27.92102973,27.77308466,27.6947853,27.73904072,27.75148299,27.7364356,27.60065855,27.59846333,27.51621028,27.94319269,27.78318759,27.84496656,27.73783774,27.77984348,27.61029353,
26.62319915,26.73752668,26.74551762,26.67132731,26.71898824,26.67776437,26.67882843,26.62120549,26.65642254,26.62591347,27.0563688,26.93842297,27.34175443,27.12459083,27.35553406,27.1914653,27.1985118,27.15798864,27.00557704,27.06275466,27.28676917,27.14801859,27.26005676,27.10229628,27.13281019,27.12754758,27.13215425,27.07735059,27.02235086,27.14067542,26.96138716,26.88445786,27.00227732,26.98160041,26.95445961,26.83943514,26.73460634,26.95022086,27.06836126,27.04506108,
22.33781421,22.53995666,21.86665536,22.86755821,22.15901308,23.46235776,22.56787697,22.43432968,22.5621611,22.81084152,22.41624671,23.49337929,22.3367999,23.30676716,22.32888354,23.17531745,22.69828825,23.75377848,22.94350986,23.28651065,23.50310979,23.69332991,23.654681,23.51262014,23.87957179,23.86713342,24.02593216,23.67011551,23.58546206,23.63792216,23.30318278,23.84216029,23.22482749,23.53333391,23.48736084,23.6105308,23.37715267,23.41962609,23.56933362,23.70230745,
23.96100295,23.96080725,23.81188215,23.70914369,23.55675924,25.86960019,23.66493179,23.78427378,23.69821579,23.65315224,25.28720839,25.47127412,24.67706385,24.64346955,24.32073116,24.44462959,25.18541275,25.31136671,25.07762426,24.98132779,25.3427103,25.08943106,25.40990883,25.18112472,25.63079443,25.517237,25.78822863,25.68729765,25.80124763,25.82663515,26.06888067,26.04879682,25.8855978,25.83444094,25.6711182,25.62665659,25.65931555,25.54034267,25.36567203,25.42822547,
20.43184154,21.18092361,20.4967742,21.26749978,20.28308835,21.65293259,20.89108958,20.60467903,20.84544686,21.00005338,21.26694947,21.63221555,21.76379191,21.94866066,21.52477889,21.81806309,21.02859758,21.72925924,21.62624307,22.17622308,21.98445461,21.83731124,22.06112905,21.85160661,21.89550072,21.77561274,21.93634286,21.91681926,22.00027173,21.90832068,21.74466231,21.77605162,21.63729924,21.8389722,21.75767396,21.67808015,21.80928808,21.81505014,21.80598603,21.94647961,
26.0991582,26.15787289,26.12518775,25.8769335,25.91148951,26.46061626,25.93824989,26.01786453,25.95805561,26.00144192,26.42626879,26.57878411,26.97629268,26.99041255,26.79716513,26.85420298,26.71741554,26.69904892,26.76824642,26.75996605,26.7970645,26.57974848,26.83195707,26.62314114,26.79057495,26.71440522,26.70375359,26.74072611,26.46413016,26.55894533,26.62039997,26.52211821,26.55248415,26.48080119,26.7902531,26.64756817,26.77443313,26.74485502,26.72086474,26.62234825,
24.48163845,24.20163434,24.35158072,24.33428392,24.23422531,24.42536486,24.42516744,24.14623619,24.47028691,24.37734068,24.97577986,24.78525293,25.53134311,25.06750022,25.13536487,24.97541891,24.83807493,24.88310646,24.82019532,24.84327197,24.98705681,24.6837081,25.00277802,24.54062705,25.02772147,24.65611391,24.8489643,24.66030128,24.79326132,24.6599052,24.59353036,24.58506239,24.71709774,24.44476167,25.01076033,24.65838938,24.76466621,24.5784103,24.92828843,24.59363079,
23.56453067,23.79271664,23.55255735,23.80589972,23.50241099,23.77047131,23.69766894,23.59757562,23.43116154,23.8621082,24.46385118,24.75123204,24.18471671,24.75610347,24.41534875,24.63695247,24.14083466,24.53076352,24.34580865,24.56426093,23.8555581,23.70880378,23.61250171,23.72745852,24.28518404,24.08144483,23.88527539,24.00412421,23.87210437,23.78191609,23.8171432,24.03826618,23.68502529,24.10063099,24.07956102,24.20575083,23.79685477,23.99586092,23.98482138,24.09790653,
22.97983294,23.14919933,22.73808636,22.59358061,22.76257623,23.83317375,22.73685678,22.70939365,23.04445807,23.02384423,23.85987855,24.01519076,23.79236752,23.81850037,23.70121044,23.68572167,24.07772063,24.08813732,24.0846491,23.92248695,23.60385607,23.42192092,23.68738579,23.55299342,23.90432192,23.82926565,23.96628959,23.73096954,23.8073857,23.78378767,23.81119639,23.74284635,23.9471723,23.73574711,24.12765117,24.05918235,24.13634712,24.01532592,23.71928548,23.79053196,
24.47447033,24.68630876,24.63727581,24.44916273,24.22834745,25.22996176,24.42114351,24.34150959,24.48874067,24.67460272,26.0851895,25.93265565,25.58317443,25.52896173,25.2718563,25.12928492,25.46858528,25.43077879,25.52925778,25.55286569,25.04892923,24.8608766,25.11226384,25.05559299,25.42419789,25.20905298,25.61712033,25.42555219,25.39766904,25.47083827,25.46973773,25.44205805,25.5639526,25.34344016,25.77874596,25.44706984,25.80418354,25.88776456,25.09593645,25.22783378,
22.96726013,23.24890798,23.14895066,22.40899936,23.03202545,23.23287335,22.85904914,23.07780212,22.93642298,23.04338751,24.53413472,24.42642297,25.39696717,25.05482743,24.57572104,24.34702856,24.7736894,24.5267821,23.96598769,23.98941043,24.45775938,23.94290706,24.31267553,24.11609034,24.90969421,24.64301777,24.00372238,23.75022352,23.95882797,23.95124665,22.9091141,23.563552,23.61388941,23.3920745,24.19441077,23.84161822,23.71027893,23.52784518,24.22692384,24.04917595,
25.17734869,25.02999601,24.85056923,25.12917767,25.01950041,25.28409791,24.94516399,25.12978722,24.69809374,24.9180341,24.68706486,25.19362782,24.91798216,25.31699034,24.73845428,25.30244149,25.04675359,25.4728567,25.08592446,25.34721364,25.60939442,25.44312174,25.516208,25.38439768,25.67920305,25.55421299,25.53478492,25.52045087,25.54786842,25.44519426,25.36975563,25.51402992,25.32717352,25.47575117,25.61703931,25.63999317,25.20863007,25.3199678,25.46058684,25.57974144,
25.3048247,25.06361573,25.31967473,25.16217675,25.33841231,25.59484325,25.55807238,25.09931456,25.44227733,25.21884478,25.86182246,25.88025472,25.88251384,25.87719896,26.01490173,25.72803952,26.00164396,25.85859185,26.01419319,25.68874934,25.85739792,25.67707104,25.79419689,25.51589429,25.86730398,25.79263416,25.98232814,25.64526784,25.7424635,25.83589359,25.82182488,25.74465059,25.95083796,25.67493097,26.06444718,25.78668763,26.08929576,25.8720894,25.74600282,25.75540438,
22.38419894,22.08113402,21.98847214,22.3065713,21.96333211,24.63449619,21.91440242,21.86374676,22.1864937,22.09103663,22.84200055,22.87729945,23.03415291,23.13856254,22.84899556,22.6284904,23.91043827,24.07409308,22.56141819,22.47729181,25.08221457,24.68432836,25.03651318,24.99334394,25.63926556,25.3818239,24.75908886,24.51502643,24.57274718,24.29256007,24.38646206,24.42507569,24.64004838,24.50334532,25.39255923,25.34349048,23.79416366,23.69605647,24.77528106,24.68102375,
21.82331179,21.80942452,21.90760478,21.79413401,21.59347003,22.45904904,21.9585381,21.86850365,22.53995453,22.37538085,23.23333369,23.46896791,22.88762048,23.25133833,22.41130843,23.15286593,22.52512517,23.20897113,23.01084493,23.38966403,22.80675,22.61048763,22.63640939,22.75018085,23.25203654,22.77843988,23.19339757,23.30119124,23.08301698,23.06460218,22.85655579,23.07302213,22.92757673,22.91149264,23.36075344,22.85759342,23.152971,23.38869041,22.42988557,22.9534361,
