Ependy,Medullo,Aggressive,Cranio.LGG_BRAF.V600E,HGG.rich,Ganglio.rich,LGG_BRAF.fusion.rich,LGG_BRAF.WT.rich,
0.3763,1.6149,2.9235,2.8399,1.5144,0.0581,0.0138,-0.0046,
-0.0004,2.1673,3.1405,1.1799,0.1456,-0.3746,-0.7267,-0.1709,
-0.6583,-0.2336,-0.0961,0.8905,0.4599,-0.5341,-0.0616,-0.1286,
-0.3069,0.1086,-0.4869,2.0107,1.8036,0.2672,0.1380,0.0950,
0.5965,-1.9189,0.8877,1.9702,5.2442,-0.5013,1.5648,0.2823,
0.1470,4.1639,7.1621,3.0951,1.1838,-0.7116,-0.5031,-0.1851,
0.2754,0.1204,0.0543,-0.0958,-0.4219,-2.7373,-0.6256,-1.4105,
-0.0023,3.5116,8.5940,2.3005,1.4843,-0.0646,-0.0943,0.0670,
0.0523,-7.3334,-7.8520,-1.6725,0.1287,0.7459,0.2206,0.4385,
4.6283,-0.1550,-0.1329,-0.0120,0.2294,1.2036,-0.4515,0.2352,
0.4790,3.6411,5.0899,4.7815,2.2991,0.2687,0.0521,0.1823,
0.4814,2.3467,7.3814,0.3999,0.3273,-0.8163,-0.1864,-0.1094,
1.1737,-0.3230,5.9480,0.4276,1.9853,0.2197,0.5993,0.1734,
0.4662,3.4253,6.8935,1.7710,0.8510,-0.7429,-0.1628,-0.0264,
1.7438,0.0616,2.8559,0.8318,2.2867,-1.0101,0.7343,0.2258,
0.4226,6.6632,8.5724,3.5519,2.1010,-0.3367,-0.2661,-0.0864,
0.1142,4.6818,10.7640,2.7575,1.3742,-0.3148,-0.4839,-0.0925,
1.0502,-1.5389,-0.2512,0.6869,1.1397,-0.2764,0.1805,0.0351,
0.0177,-1.0111,0.5615,5.1054,3.1492,0.1633,1.4625,1.3807,
2.1844,0.0600,6.3117,4.0419,3.2325,-0.1097,0.2251,0.0585,
0.0016,1.1132,-1.2674,-1.4283,1.0955,0.0126,0.8739,0.4097,
0.0989,1.4408,2.5082,-0.3367,0.4479,-0.3352,-0.7024,-0.8371,
0.7928,4.8096,6.1583,2.2235,4.8315,-0.0448,0.3018,0.1931,
0.2735,0.8160,5.7779,2.5216,0.6746,-0.1413,-0.1864,-0.0215,
-0.3265,-2.1918,-1.7333,0.9348,2.0954,-1.2660,4.2065,0.4096,
2.0445,-0.3135,-0.9984,-0.6544,0.0951,2.1108,0.0502,0.1769,
0.1024,5.2968,7.5216,2.1781,3.6469,-0.1572,-0.0637,-0.0295,
-0.1210,-2.6181,-1.8719,-1.8946,-1.0202,-2.4597,-0.2881,-1.2191,
0.0106,0.1615,-4.1765,-3.4052,-0.1966,0.4150,0.7957,0.1422,
-0.1722,-10.7340,-6.3859,-0.8743,-0.0289,0.0437,0.6606,0.6405,
-0.8808,-2.0569,-8.3559,-0.2594,-0.5868,0.4263,-0.1812,0.2824,
0.2536,8.6818,10.5567,0.3262,8.3223,-0.2807,0.7442,0.4392,
0.0137,2.5169,4.8833,1.2933,0.6716,-0.8077,-0.4371,-0.2236,
-1.4138,-0.0074,-16.9879,-1.5604,-2.5355,-0.0843,0.0703,0.2861,
0.5776,6.5505,10.1533,6.7371,4.6713,0.0862,0.5326,0.7089,
1.9408,-1.4703,1.8711,3.6181,2.9091,0.1729,0.9172,1.4161,
0.0339,-19.7062,-1.0284,-2.1078,-0.0497,0.3044,2.1977,0.5328,
2.8513,-3.4606,0.1760,-0.8020,0.1172,-2.2482,0.0939,-0.3385,
0.9586,-1.9475,0.1799,3.1577,0.9025,0.2512,1.6017,1.7799,
-0.1548,-7.3914,-3.0152,1.8718,1.4540,-0.4954,2.2030,0.6403,
0.6193,-3.3211,-7.0154,-1.9237,-0.6497,0.1194,0.0597,0.0974,
0.6407,-0.0500,1.0330,-0.2414,0.4005,0.0627,0.1210,0.1104,
0.1931,-8.0093,-1.7370,2.6436,2.2315,-0.2952,3.7019,0.9373,
-0.3253,3.0719,2.6936,-0.6658,-0.1000,-0.6966,-0.0518,-0.4136,
-0.1586,-3.9282,-0.6411,4.2166,3.1321,-0.0743,0.7766,0.5639,
-0.4812,0.4970,-0.2115,-1.0045,0.0860,-0.2183,1.2660,0.0306,
0.2105,-0.9086,3.8663,3.9190,4.5911,-0.0599,1.0736,0.4398,
0.5374,0.9190,-0.6425,-0.0876,-0.9978,-0.5712,-1.0780,-0.9411,
0.3459,-1.4087,-1.3596,-0.2867,0.1929,0.3186,0.0854,0.0048,
1.4800,6.0673,2.7096,1.1708,1.2986,-0.5523,0.0738,-0.0737,
-1.3071,-4.2691,-4.8502,-0.6666,-0.0717,-0.0941,0.0717,0.2782,
-0.5288,0.4975,0.3955,-0.2813,-1.7246,-0.3858,-0.2042,-0.5136,
-0.2310,-0.0603,-1.0373,-2.1151,-0.2744,0.1658,0.7131,0.5875,
-1.2862,-9.9587,-10.8005,-1.7191,-0.8635,-0.1613,-0.1433,-0.0839,
0.6538,0.6073,2.4358,1.8925,1.7380,0.0635,0.3199,0.0058,
1.3299,4.0857,6.2406,-0.3107,1.1895,-3.6004,-0.0824,-0.8413,
2.3126,1.5066,2.6127,3.7469,2.3079,-0.1027,-0.6378,-0.0066,
2.0161,-7.4674,-0.2603,0.1159,2.6919,-0.9551,0.6123,-0.0009,
1.0730,9.4995,6.2105,2.1532,4.7270,0.5655,0.6320,0.5741,
2.1300,0.0884,1.0506,-1.1647,-0.0723,-0.0568,-1.4373,-0.0392,
0.5241,0.4160,0.4351,0.3408,3.2241,1.3513,-0.1396,-0.0210,
0.2298,-0.0775,0.4299,1.4181,1.2751,1.3167,-0.0414,0.1783,
0.0789,-4.2150,-0.1671,2.0599,1.6609,-0.0800,0.6303,1.3699,
1.0224,0.8563,2.4939,0.5044,4.4237,-0.0251,-0.0846,-0.8718,
0.0212,-7.1643,-5.8611,-0.1478,0.0707,0.3907,1.5644,0.8608,
-0.0749,-0.0534,0.1244,1.4257,0.4159,0.6525,0.3690,0.4511,
2.0749,-2.0767,1.7540,2.6124,1.1420,-0.0735,0.0403,0.2362,
-0.0134,-0.0584,-0.8439,-3.0674,-0.5464,-0.0426,-0.6618,-0.6333,
-0.3591,-0.5745,0.5466,-1.0565,0.1044,0.0031,0.0642,0.0117,
1.4507,0.0739,-0.0070,2.2799,0.5309,0.1099,-0.0130,0.1095,
0.1921,-6.5048,-4.2122,-2.1924,-0.1169,0.1393,0.3047,0.0858,
0.8500,0.6351,3.1868,0.3237,1.7664,0.5134,0.3916,0.0438,
-0.0528,-0.1161,-0.2047,1.3825,0.3107,0.9238,0.3890,0.1283,
2.2119,0.4521,5.5752,3.3225,2.3842,-0.0040,0.0680,0.1020,
0.4886,0.3456,4.0498,3.6661,1.1150,0.2690,0.1889,0.2900,
0.3510,4.3028,3.9739,1.1893,2.9299,2.3210,0.0356,0.5373,
-0.6385,-2.0025,-4.8339,0.4879,-0.4032,1.8297,1.5603,1.8318,
-0.6370,-3.9262,-1.2047,1.7589,0.8577,-0.5214,1.8456,0.8392,
-0.0408,-0.2176,-0.0414,1.6369,0.6288,0.1364,-0.4485,-0.1032,
-0.1442,5.0538,6.7689,2.8101,1.8374,-0.2677,-0.1854,0.0005,
0.7284,9.8783,4.9603,-1.2629,0.5517,-2.4561,-0.4394,-1.1339,
-0.6476,-1.3544,-4.2952,-0.5829,-0.5103,0.3873,0.0506,0.3016,
1.0505,0.6523,4.9185,-0.0466,0.5551,0.1446,0.3249,0.6157,
-0.8313,-8.3908,-10.5614,-0.9219,-0.0469,0.3244,1.2804,0.1449,
-0.0423,-3.5320,-0.3529,2.2061,1.4956,-0.1323,0.7788,1.2138,
-0.3685,-5.2479,-6.5892,-0.0339,-0.4308,-0.4162,-0.4059,-0.2046,
2.8004,-0.6392,-1.4634,-0.3607,0.4917,-0.0366,0.4792,0.3693,
-0.2199,3.4090,0.3770,-0.0197,1.0291,1.3653,0.6491,0.0791,
-0.0352,-0.1031,0.2569,0.4469,0.3869,0.1377,-0.6339,-0.1410,
1.0147,-4.9274,2.0253,2.2185,2.8497,-0.0306,1.3346,0.8667,
3.1854,2.2329,2.3204,0.7372,3.7383,0.0801,-0.4066,-0.4443,
-0.2821,-4.0976,-1.4630,-0.5754,1.1185,0.0354,0.0231,-0.0234,
0.7729,0.2099,0.3255,0.5084,2.3164,0.0404,0.3415,-0.0671,
0.9030,0.2056,3.7142,2.2553,4.2525,-0.9111,1.1100,-0.0333,
0.0308,1.1130,2.4545,-1.2335,0.7059,-0.3170,-0.0680,-0.0742,
-2.9105,-0.1597,-5.1595,-1.2993,-0.2972,-0.4600,0.4752,-0.1601,
4.0579,16.3168,7.7204,-0.0742,1.3764,-1.3859,-0.5777,-1.0536,
-0.3638,-6.9704,-2.8478,1.5373,-0.3470,-0.0835,0.0615,0.2191,
0.6750,-0.2512,-1.4354,-2.2616,-0.6308,0.4508,-0.5130,0.2280,
1.9853,-10.6330,-1.2051,0.9971,0.9841,0.0530,2.4618,1.0466,
3.5808,-0.3461,1.2002,0.2343,1.5493,0.6113,0.1471,0.0624,
1.1296,0.1383,0.0920,-0.2045,-0.1706,-0.3652,-0.4202,0.1535,
-0.7598,-2.5940,-0.0476,0.7945,2.0947,0.2149,0.2734,0.0943,
2.5937,0.0585,0.1046,3.4247,0.1304,0.3591,-1.1703,-0.0441,
0.0030,-1.5627,-1.9294,-0.0317,-0.5399,-0.1376,-0.0028,-0.5201,
0.0256,3.2215,4.2963,1.5861,0.9823,-1.4480,-0.0363,-0.2631,
1.4495,2.3839,2.4977,1.4986,3.5870,0.3160,-0.1488,-0.0228,
2.1503,-1.6239,2.9228,1.2575,0.9610,-1.3367,1.0071,-0.0035,
0.0656,6.1678,0.2296,0.3384,0.1722,0.3302,-0.4834,-0.3149,
0.0592,0.6707,6.0483,1.5515,2.5822,-1.0588,0.5348,-0.1426,
-2.9540,6.5815,6.0613,-0.6673,-0.1053,-1.0546,-1.2920,-1.2257,
0.7008,14.3548,13.4904,1.0313,6.1261,0.1241,-0.1168,0.0049,
-0.7664,2.2884,-0.0632,-1.6986,0.4618,0.1556,1.1084,-0.0413,
1.8987,-3.3664,0.3094,0.2273,0.6326,0.0064,1.4379,1.1550,
