LFQ.intensity.1.Plasma.1,LFQ.intensity.2.Plasma.1,LFQ.intensity.3.Plasma.1,LFQ.intensity.4.WB.1,LFQ.intensity.5.WB.1,LFQ.intensity.6.WB.1
22.377,21.916,22.545,26.940,27.199,26.845
21.729,23.065,23.013,28.808,29.122,28.586
24.072,24.462,22.471,31.122,31.154,30.913
22.738,23.465,23.841,28.663,28.646,28.563
23.561,23.515,22.687,28.266,28.283,28.524
23.524,22.678,23.115,28.101,27.848,27.983
22.951,22.599,21.783,27.992,27.727,28.136
24.540,22.858,22.824,30.490,30.623,30.244
22.636,21.402,23.458,30.183,29.822,29.605
22.443,24.372,22.722,30.549,30.836,30.294
22.343,23.412,23.509,28.699,28.753,28.508
23.823,22.730,23.225,28.616,28.513,28.327
23.440,23.006,22.590,27.809,27.861,27.722
23.639,21.621,21.837,29.938,30.036,29.737
22.872,21.447,23.323,29.441,29.382,29.735
23.184,22.147,20.075,31.571,31.605,31.805
24.567,23.140,23.186,29.934,29.662,30.037
22.519,21.348,22.984,28.502,28.695,28.580
21.805,21.418,23.180,28.701,28.813,28.881
22.180,24.977,23.655,32.480,32.694,32.414
21.820,22.637,20.245,29.732,29.548,29.474
23.829,22.358,22.894,29.090,29.306,28.799
24.072,23.026,22.639,29.129,29.256,29.011
22.586,23.280,22.642,27.912,28.245,27.526
22.147,23.205,23.123,28.157,28.475,28.058
23.359,22.789,23.070,28.066,27.467,28.042
22.462,22.559,21.331,27.725,27.776,27.675
24.660,23.074,24.532,30.544,30.407,30.614
21.171,22.952,22.158,28.523,28.849,28.511
24.358,23.495,22.227,30.757,30.441,30.893
22.557,22.308,22.677,26.833,26.710,27.183
23.762,24.744,22.893,30.462,30.251,30.777
22.718,21.890,23.833,29.831,30.432,29.616
23.734,22.830,22.745,28.052,28.351,28.285
21.333,23.383,23.122,29.923,29.998,30.146
21.433,23.642,21.895,30.077,29.788,30.117
22.954,24.014,21.859,30.214,30.028,30.325
22.636,23.377,23.666,28.387,29.154,28.540
22.631,25.145,23.514,31.918,32.095,31.778
24.041,21.760,22.951,30.443,30.834,30.315
21.309,22.488,22.554,27.583,27.779,27.925
21.969,23.274,23.227,28.455,28.618,28.836
24.171,23.939,22.538,29.907,29.759,29.935
22.831,23.854,22.318,28.834,28.924,28.886
22.845,22.712,23.659,28.062,27.928,27.959
21.369,22.698,23.192,29.281,28.975,28.860
22.738,23.484,24.366,29.641,29.595,29.399
21.850,24.509,21.998,32.032,32.184,31.688
22.239,24.024,22.577,29.425,29.446,29.666
22.561,22.497,22.744,27.108,27.373,26.687
22.862,21.529,23.641,29.835,30.121,29.624
21.893,23.447,22.077,28.562,28.719,28.523
21.723,22.021,23.416,28.634,28.745,28.984
22.545,22.843,22.203,26.816,27.352,27.170
22.361,22.466,22.168,26.422,26.394,26.351
21.365,21.870,23.578,29.763,29.852,29.629
22.316,21.206,23.490,29.809,29.678,29.672
23.488,23.665,23.144,27.554,27.924,27.867
22.867,24.226,21.028,32.358,32.190,32.319
23.610,21.939,22.780,28.905,29.232,28.712
21.740,24.469,22.111,31.681,31.655,31.759
23.282,24.864,22.482,31.335,31.105,31.185
22.959,23.165,22.311,27.327,27.505,27.736
21.953,22.684,22.466,27.165,26.779,27.474
22.544,24.273,22.242,30.303,29.914,30.285
23.644,22.439,22.942,27.992,28.177,28.157
22.121,22.495,21.472,27.249,27.523,26.799
22.936,22.192,20.861,29.134,28.995,28.678
21.672,22.458,23.223,28.292,28.698,28.094
22.282,22.897,22.742,27.158,26.823,27.333
22.634,21.269,22.308,27.474,27.487,27.761
23.411,22.684,21.871,28.720,28.714,28.181
24.547,23.989,22.759,30.135,29.882,30.432
22.479,23.754,21.709,29.314,29.426,29.366
21.529,23.187,22.966,29.106,29.111,28.564
22.447,21.593,21.924,26.568,27.069,26.565
23.684,22.759,22.925,27.910,27.866,27.699
21.672,24.239,23.180,30.948,31.249,30.767
22.737,24.531,22.995,30.079,30.633,29.857
23.267,22.607,23.217,27.732,27.271,27.762
22.324,22.585,21.841,26.874,26.903,26.493
23.483,23.083,20.952,30.708,30.880,30.540
23.252,21.140,22.284,29.233,28.949,28.986
22.628,22.182,24.168,29.591,29.983,29.782
22.435,23.274,22.773,27.177,27.324,27.330
21.377,22.862,24.005,30.929,30.867,30.480
21.900,22.547,20.932,27.470,27.538,27.850
23.550,23.583,23.081,27.464,27.783,27.540
22.528,21.040,23.152,29.090,29.070,29.140
21.738,23.065,22.734,27.720,27.788,28.028
23.350,25.028,23.689,30.287,30.352,29.899
22.633,23.935,22.173,29.049,29.197,28.951
23.114,23.695,23.244,27.395,27.698,27.597
23.571,22.006,21.370,29.420,29.573,29.234
24.372,23.681,21.398,32.101,32.339,32.047
25.024,23.648,22.690,30.919,31.184,30.997
21.533,21.490,22.784,27.423,27.226,27.467
23.308,24.226,24.375,29.147,28.703,29.190
22.825,22.634,22.580,27.228,27.267,26.581
23.250,24.628,25.402,31.191,31.250,31.354
22.856,21.829,21.201,27.752,27.717,27.729
22.667,22.011,22.293,27.085,26.461,27.083
22.359,23.696,20.410,31.565,31.689,31.405
22.076,22.317,23.177,27.480,27.456,27.212
23.977,23.255,22.451,28.822,29.000,28.550
24.045,22.888,23.136,28.267,28.459,28.173
23.156,23.091,21.730,28.120,28.430,28.372
22.128,22.496,22.927,26.734,26.800,26.855
22.747,24.085,20.934,31.604,31.395,31.609
24.326,22.637,22.297,29.835,29.814,29.707
23.518,23.477,22.619,27.791,27.703,28.093
36.666,36.188,36.343,32.536,32.257,32.437
23.383,23.072,24.313,28.785,28.428,28.890
21.262,22.269,23.830,29.934,30.132,30.031
21.707,23.681,23.562,30.198,30.341,29.567
22.266,21.723,21.529,26.509,26.233,27.127
28.311,29.182,28.788,24.134,23.056,23.724
23.131,22.533,23.234,27.048,27.464,27.275
24.177,23.279,22.131,29.720,29.417,29.867
19.913,21.463,22.640,29.091,29.159,29.206
36.241,35.955,35.886,32.173,31.775,32.202
26.924,26.652,26.655,30.484,30.478,30.715
29.082,28.426,28.336,32.775,33.134,32.859
22.571,22.447,21.480,26.845,26.910,27.128
22.925,22.473,23.695,27.963,28.433,27.844
22.595,22.650,23.981,28.413,28.475,28.487
22.957,22.170,23.054,27.074,27.455,27.172
23.331,20.806,21.090,29.546,29.549,30.011
22.825,22.740,21.570,27.339,27.658,27.554
24.335,23.951,23.405,28.379,28.285,28.149
31.051,30.071,30.655,26.019,25.137,25.760
23.207,23.056,22.285,27.807,27.354,27.260
24.410,23.779,23.197,28.892,29.274,28.490
23.395,24.441,21.772,30.774,30.694,31.170
24.294,23.540,21.376,31.637,31.549,31.207
20.811,21.188,22.245,26.550,26.536,26.610
22.819,21.577,22.408,27.147,27.267,26.929
22.423,22.112,24.369,29.925,29.987,30.264
23.441,24.052,22.367,29.028,28.768,29.461
24.110,24.056,22.674,29.037,29.083,28.923
24.206,22.510,21.384,30.849,31.119,30.375
28.292,27.790,28.061,23.730,23.284,24.131
22.883,22.365,22.242,26.524,26.862,26.435
23.109,22.286,21.573,27.486,27.978,28.322
23.894,22.832,21.852,29.026,29.195,28.950
23.042,23.574,23.060,27.039,27.118,27.269
23.485,21.925,24.254,30.055,29.997,30.155
23.872,22.813,22.106,28.460,28.623,28.841
21.698,21.715,22.812,26.790,27.138,27.519
23.788,21.689,22.437,29.287,29.598,28.819
23.819,21.990,23.375,29.107,28.920,28.861
23.099,22.035,22.767,27.017,27.112,27.350
23.586,23.361,23.312,27.079,27.260,26.997
22.505,22.802,24.693,30.336,30.160,30.034
24.011,22.043,21.752,29.575,29.497,29.774
22.551,21.684,23.783,28.957,29.258,28.783
20.323,22.666,22.554,29.718,29.368,28.982
22.551,24.193,23.904,29.283,29.700,28.979
21.955,21.452,22.843,27.167,27.335,26.842
27.822,27.575,27.784,24.160,24.208,24.032
32.136,33.748,32.612,38.073,38.148,38.200
23.949,23.916,23.339,27.960,27.498,27.886
22.772,21.587,23.351,28.104,28.061,28.330
23.123,23.150,23.289,27.510,28.201,27.100
22.668,22.815,22.044,26.757,27.618,27.902
21.689,23.037,23.829,29.059,29.107,29.139
23.718,24.259,24.056,27.832,27.679,28.085
31.921,31.984,31.784,28.290,27.440,27.688
22.685,23.491,23.378,27.524,27.156,27.720
22.184,23.204,23.459,27.676,27.697,27.657
31.507,31.480,31.465,27.878,27.791,27.232
20.907,23.491,21.667,29.229,29.137,29.359
22.499,23.602,22.502,27.696,27.894,27.345
24.641,23.926,21.829,31.406,31.039,31.299
22.461,22.745,24.283,29.114,29.628,28.892
23.045,22.606,20.633,29.170,29.849,29.071
28.237,28.484,28.226,22.951,23.994,24.110
21.036,22.627,23.399,29.010,28.905,29.262
22.839,22.631,21.992,26.462,26.542,26.543
22.130,22.399,22.894,26.274,26.618,26.792
22.723,22.257,20.827,27.725,28.485,27.878
20.622,23.028,22.921,29.357,29.464,29.495
22.370,22.076,23.921,28.969,28.379,28.843
24.621,23.520,22.258,30.499,31.034,29.907
23.368,22.956,22.332,27.089,27.534,27.094
22.853,20.851,23.627,29.931,30.139,29.851
21.133,23.710,22.736,29.435,29.654,29.438
22.400,22.286,22.522,25.768,25.967,25.862
22.648,21.072,22.391,27.353,27.265,27.124
24.928,23.737,22.146,31.116,31.308,30.712
22.360,22.837,24.047,28.460,28.202,28.546
21.515,23.957,20.914,30.346,30.654,30.185
23.539,24.769,23.587,28.680,28.896,28.537
23.432,24.089,23.311,27.478,27.666,27.456
21.858,22.829,21.785,26.402,26.733,26.483
22.544,23.120,21.327,28.084,28.237,27.574
27.343,27.492,26.663,31.551,31.055,31.804
21.001,23.599,22.080,29.288,29.194,28.980
26.024,24.177,21.989,34.042,34.307,33.753
22.394,21.568,23.236,27.533,27.747,27.376
22.403,22.439,20.117,28.556,28.615,28.684
22.717,24.760,22.275,30.186,30.523,30.074
22.231,22.216,23.262,26.818,26.935,27.244
21.854,23.176,24.858,31.139,30.772,31.032
21.470,22.722,23.274,27.744,28.086,27.922
22.690,20.792,22.685,28.246,28.149,27.911
21.926,24.196,22.468,29.459,29.000,29.707
24.635,23.117,22.325,29.773,29.465,29.989
24.447,21.468,23.383,30.716,30.882,30.598
22.157,23.198,23.359,27.279,27.809,27.433
23.584,23.767,23.007,27.165,27.195,27.375
22.562,22.968,23.003,26.806,26.934,26.272
23.010,21.748,21.809,27.659,28.527,27.143
28.604,27.789,28.137,23.673,24.268,23.229
24.146,23.826,23.794,27.470,27.298,27.312
23.043,22.054,21.522,26.989,26.974,27.013
28.098,28.632,28.023,23.198,23.556,24.387
25.893,23.557,24.560,30.979,30.744,31.234
23.111,22.280,23.506,27.369,27.519,27.179
21.491,23.571,20.289,29.884,30.194,29.828
26.192,22.983,22.703,33.637,32.971,33.533
30.262,29.205,29.988,25.544,25.828,25.699
23.761,22.409,23.101,27.424,27.602,27.698
21.265,23.390,23.394,29.111,28.911,29.179
23.316,21.970,21.500,27.811,27.479,27.562
23.231,23.898,24.342,27.826,28.035,27.949
22.234,19.984,22.994,29.366,29.505,29.402
22.467,23.219,20.300,29.453,29.395,29.654
21.079,23.674,22.531,29.009,28.993,29.383
22.576,21.945,22.393,25.814,26.559,26.411
22.841,22.684,23.583,26.889,26.872,27.123
27.675,28.353,27.143,31.972,31.907,32.380
27.945,28.300,27.550,24.375,23.735,23.740
23.000,22.542,23.059,26.378,26.380,26.858
22.242,21.308,23.196,27.450,27.520,27.796
22.607,22.243,21.550,26.438,26.044,26.714
23.859,24.504,22.825,28.691,28.578,28.770
21.554,22.894,23.090,27.513,27.635,27.271
24.725,23.156,21.982,30.111,30.177,30.110
23.549,22.608,21.625,28.258,28.450,27.728
22.636,21.851,22.804,27.347,26.379,27.301
30.425,30.351,30.164,26.878,27.148,26.640
23.409,24.106,22.003,28.871,29.071,28.707
22.637,22.546,23.289,26.538,26.377,26.782
21.413,23.164,24.263,29.970,30.289,29.852
23.240,22.738,24.567,28.787,29.198,28.615
25.345,23.240,24.083,29.745,29.784,30.102
34.084,34.059,33.831,30.376,30.251,30.850
