Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
ND,ND,ND,ND,ND,0.3616
0.1412,-0.0831,ND,ND,ND,ND
ND,ND,ND,ND,ND,ND
0.0481,ND,0.7277,ND,ND,ND
-0.0234,-0.027,0.0366,ND,ND,ND
-0.1142,0.1485,ND,ND,ND,ND
-0.0086,0.0067,ND,ND,ND,ND
ND,ND,ND,0.0307,ND,ND
ND,ND,ND,0.091,0.0288,ND
ND,ND,ND,ND,0.1358,0.0706
0.3363,ND,0.2735,ND,ND,ND
ND,ND,ND,0.1976,ND,0.233
ND,ND,ND,0.2436,ND,0.2996
ND,ND,ND,0.0425,ND,0.0903
ND,ND,ND,-0.0095,ND,0.2174
ND,ND,ND,ND,ND,-0.114
ND,0.139,ND,ND,ND,ND
0.0227,ND,ND,ND,ND,ND
0.4403,ND,0.2435,ND,ND,ND
-0.088,0.123,-0.1365,-0.0389,0.0911,-0.0741
-0.0793,-0.0361,-0.1655,ND,ND,ND
-0.0411,0.1812,0.0254,ND,ND,ND
-0.1878,0.09,-0.2749,-0.0481,-1.2296,0.014
0.0171,-0.3254,0.0464,ND,ND,ND
-0.045,0.0971,-0.1874,ND,ND,ND
-0.1365,ND,-0.0649,ND,ND,ND
-0.0615,0.058,0.1529,ND,ND,ND
ND,-0.5254,-0.0116,ND,ND,ND
0.0215,ND,ND,ND,ND,ND
-0.1621,0.1004,-0.1781,-0.0171,-0.0211,-0.1556
-0.1336,0.0576,-0.0835,ND,ND,ND
ND,-0.0954,ND,ND,ND,ND
-0.0713,0.2368,-0.0641,ND,ND,ND
ND,0.1344,ND,ND,ND,ND
ND,-0.4524,ND,ND,ND,ND
ND,ND,-0.0678,ND,ND,ND
ND,0.083,ND,ND,ND,ND
-0.2373,-0.0587,ND,ND,ND,ND
-0.0957,0.046,0.0442,ND,ND,ND
-0.0783,ND,-0.1593,ND,ND,-0.0682
0.0703,0.1263,0.0178,ND,ND,ND
-0.1534,0.0534,-0.1855,ND,ND,ND
-0.1756,0.2156,-0.2399,-0.0056,ND,0.0238
ND,-0.0227,0.0168,ND,ND,ND
0.2743,ND,0.1002,ND,ND,ND
ND,ND,ND,-0.3185,0.0965,-0.2193
0.1923,0.0316,0.1359,0.066,0.1706,0.08
-0.0648,ND,ND,ND,ND,ND
0.1168,0.1184,ND,ND,ND,ND
0.1504,0.1001,0.082,0.049,0.0596,-0.0001
ND,ND,ND,ND,0.0738,-0.0015
ND,-0.0194,0.0954,ND,ND,ND
-0.202,0.3474,-0.199,-0.005,0.2439,ND
ND,0.0866,ND,-0.0598,ND,-0.018
-0.1164,0.3926,-0.324,ND,ND,ND
-0.1513,0.7304,-0.3162,ND,ND,ND
ND,-0.116,0.434,ND,ND,ND
ND,ND,0.2907,ND,ND,ND
ND,ND,ND,0.1639,0.0681,ND
ND,ND,ND,0.2149,ND,0.2441
ND,ND,ND,ND,0.0899,ND
ND,ND,ND,ND,-0.1809,-0.6609
ND,ND,ND,0.0413,0.1092,ND
ND,ND,ND,-0.0166,0.2539,ND
-0.0941,ND,-0.2567,ND,ND,ND
ND,ND,ND,0.1805,0.4564,0.051
ND,ND,ND,ND,ND,-0.6778
ND,-0.0877,ND,-0.0295,0.0481,0.0119
ND,0.0453,-0.011,0.2317,-0.0705,0.1346
ND,ND,ND,0.0597,0.1855,-0.005
ND,ND,ND,ND,0.1693,-0.1147
ND,ND,0.314,ND,ND,ND
-0.119,0.0824,-0.1642,-0.2642,-0.0143,-0.2626
-0.1332,0.217,-0.2067,ND,ND,ND
ND,ND,0.2903,0.1912,ND,ND
0.283,-0.0789,0.1866,0.1976,0.0997,0.2009
0.2624,-0.0338,0.1878,0.1402,0.0773,0.1558
ND,ND,ND,0.3673,-0.2361,ND
0.3776,0.0006,0.3675,0.2205,0.0893,0.2612
ND,ND,ND,0.089,ND,0.1904
ND,ND,-0.0442,ND,ND,ND
ND,ND,ND,ND,ND,0.0487
ND,ND,ND,ND,0.1174,ND
-0.2468,0.6203,ND,ND,ND,ND
0.307,0.2478,0.1306,ND,ND,ND
ND,ND,ND,-0.0104,ND,ND
0.1361,ND,0.164,ND,ND,ND
0.2094,0.2965,-0.0391,-0.1471,0.2058,-0.25
-0.094,0.0099,0.0448,-0.1422,ND,-0.074
-0.0792,ND,0.0223,ND,ND,ND
ND,-0.2751,-0.2813,ND,ND,ND
ND,ND,0.0458,-0.0113,0.0634,0.0082
ND,-0.2271,-0.1027,ND,ND,ND
ND,ND,ND,0.2325,0.0683,ND
-0.163,-0.1144,-0.1441,ND,ND,ND
ND,ND,ND,-0.007,-0.2276,0.0995
ND,ND,ND,-0.3158,0.2553,ND
ND,ND,ND,0.0947,0.1094,0.1228
0.5118,0.1874,0.4278,ND,ND,ND
ND,-0.6086,0.1036,ND,ND,ND
0.1692,0.0028,ND,ND,0.0313,0.1005
0.0469,0.0224,0.1079,0.0035,0.1903,0.0197
0.1171,0.1087,0.1142,ND,ND,ND
0.166,0.2665,-0.0209,0.0111,0.2036,-0.1172
0.0562,ND,0.1205,ND,ND,ND
0.784,ND,ND,ND,ND,ND
-0.0996,ND,0.2507,ND,ND,ND
-0.261,ND,-0.2613,ND,ND,ND
-0.0506,0.2382,-0.1106,ND,ND,ND
0.4157,0.1676,0.2141,0.1684,-1.6205,ND
ND,ND,ND,ND,0.0986,ND
0.2726,ND,ND,ND,ND,ND
0.4473,0.0021,0.1858,0.0369,ND,0.0545
ND,-0.0715,0.336,ND,ND,ND
