Intensity,Intensity Brain1,Intensity Brain2,Intensity Brain3,Intensity Liver1,Intensity Liver2,Intensity Liver3,Intensity Muscle fiber1,Intensity Muscle fiber2,Intensity Muscle fiber3
309240000,0,0,0,309240000,0,0,0,0,0
309240000,0,0,0,309240000,0,0,0,0,0
306900000,0,0,0,0,0,0,107030000,106200000,93681000
298500000,298500000,0,0,0,0,0,0,0,0
298040000,0,0,0,298040000,0,0,0,0,0
298040000,0,0,0,298040000,0,0,0,0,0
292090000,0,0,0,0,0,0,292090000,0,0
292090000,0,0,0,0,0,0,292090000,0,0
290440000,0,0,0,0,124840000,124810000,16870000,0,0
286220000,0,0,0,0,0,0,0,0,0
283380000,0,0,0,0,0,0,20417000,46716000,100780000
281670000,0,0,28574000,28136000,58716000,73337000,44786000,0,0
275610000,0,0,0,0,0,0,275610000,0,0
267880000,0,0,0,0,0,0,61943000,49156000,52248000
266750000,0,0,0,68390000,107790000,90575000,0,0,0
258810000,0,0,0,0,0,0,0,0,0
224420000,0,15233000,0,0,0,0,0,0,0
219650000,0,0,0,0,0,219650000,0,0,0
219650000,0,0,0,0,0,219650000,0,0,0
199030000,0,0,0,0,12541000,0,0,0,17256000
192710000,192710000,0,0,0,0,0,0,0,0
190580000,0,0,0,0,0,0,0,0,0
190580000,0,0,0,0,0,0,0,0,0
189610000,0,0,0,0,0,189610000,0,0,0
189610000,0,0,0,0,0,189610000,0,0,0
186180000,0,96254000,89926000,0,0,0,0,0,0
186180000,0,96254000,89926000,0,0,0,0,0,0
185580000,0,0,0,0,0,0,0,109380000,13034000
185580000,0,0,0,0,0,0,0,109380000,13034000
185010000,0,0,0,111650000,32993000,40371000,0,0,0
176650000,0,19099000,1615600,0,10636000,0,0,30945000,13128000
170860000,0,24549000,23041000,34552000,27919000,42646000,0,0,0
167500000,0,0,0,0,0,0,28821000,34805000,29468000
167500000,0,0,0,0,0,0,28821000,34805000,29468000
164860000,27141000,22998000,0,29482000,35627000,26071000,0,14079000,0
164750000,0,0,0,11686000,16699000,23555000,10163000,35457000,9754100
164060000,0,0,0,0,0,0,0,0,0
164060000,0,0,0,0,0,0,0,0,0
162740000,0,0,0,91743000,35792000,35206000,0,0,0
156230000,156230000,0,0,0,0,0,0,0,0
154400000,0,0,154400000,0,0,0,0,0,0
154400000,0,0,154400000,0,0,0,0,0,0
152100000,0,0,0,0,0,0,0,0,0
150900000,22965000,0,47338000,0,47172000,33426000,0,0,0
150790000,0,0,0,0,75452000,70117000,0,0,0
150790000,0,0,0,0,75452000,70117000,0,0,0
144660000,19974000,21608000,0,82625000,0,0,0,0,0
143030000,0,0,0,47782000,0,0,25113000,34693000,0
143030000,0,0,0,47782000,0,0,25113000,34693000,0
142460000,0,0,0,0,0,0,142460000,0,0
142380000,0,0,0,0,0,0,142380000,0,0
137960000,0,0,0,42754000,66096000,29114000,0,0,0
133320000,0,0,0,0,0,0,15087000,10556000,15771000
133320000,0,0,0,0,0,0,15087000,10556000,15771000
131840000,0,0,0,0,0,0,131840000,0,0
131680000,0,0,0,57953000,56729000,16997000,0,0,0
125010000,0,52593000,72418000,0,0,0,0,0,0
124160000,0,0,0,0,124160000,0,0,0,0
121450000,0,0,56764000,10102000,30446000,24137000,0,0,0
121450000,0,0,56764000,10102000,30446000,24137000,0,0,0
115920000,0,0,0,0,0,0,0,0,0
115530000,0,64084000,51449000,0,0,0,0,0,0
115530000,0,64084000,51449000,0,0,0,0,0,0
114930000,0,0,0,19895000,52440000,42598000,0,0,0
112740000,52797000,42945000,17001000,0,0,0,0,0,0
109680000,0,0,0,0,109680000,0,0,0,0
107100000,0,0,0,0,0,0,0,0,0
106340000,0,0,0,0,0,0,106340000,0,0
103250000,0,0,0,0,103250000,0,0,0,0
99264000,0,0,0,75296000,23968000,0,0,0,0
96874000,0,0,0,0,0,0,96874000,0,0
96874000,0,0,0,0,0,0,96874000,0,0
92258000,0,0,0,0,92258000,0,0,0,0
92206000,0,0,0,0,0,0,0,0,0
92206000,0,0,0,0,0,0,0,0,0
91342000,91342000,0,0,0,0,0,0,0,0
89624000,44634000,44990000,0,0,0,0,0,0,0
89624000,44634000,44990000,0,0,0,0,0,0,0
89080000,0,0,0,48168000,0,40912000,0,0,0
86128000,0,0,0,0,0,0,0,0,0
86128000,0,0,0,0,0,0,0,0,0
84147000,0,0,0,33229000,16831000,34087000,0,0,0
84147000,0,0,0,33229000,16831000,34087000,0,0,0
84147000,0,0,0,33229000,16831000,34087000,0,0,0
81806000,0,0,0,0,45353000,36453000,0,0,0
80714000,13444000,0,6547900,37517000,23205000,0,0,0,0
77726000,0,0,0,0,0,0,77726000,0,0
77726000,0,0,0,0,0,0,77726000,0,0
77167000,0,0,0,0,0,0,0,0,77167000
76032000,0,0,0,0,0,0,0,0,0
76032000,0,0,0,0,0,0,0,0,0
74601000,0,0,0,0,0,0,0,0,0
74601000,0,0,0,0,0,0,0,0,0
70210000,0,0,0,30912000,18421000,20878000,0,0,0
67004000,0,0,0,0,0,0,0,0,0
65347000,0,0,0,17170000,24415000,23761000,0,0,0
64796000,0,0,0,22997000,0,41799000,0,0,0
64581000,0,64581000,0,0,0,0,0,0,0
63455000,0,0,0,0,63455000,0,0,0,0
62628000,0,0,0,0,62628000,0,0,0,0
62628000,0,0,0,0,62628000,0,0,0,0
62628000,0,0,0,0,62628000,0,0,0,0
62168000,0,0,0,0,0,0,0,0,62168000
61182000,0,0,0,0,61182000,0,0,0,0
56932000,0,0,0,22249000,0,34683000,0,0,0
55815000,0,55815000,0,0,0,0,0,0,0
55327000,0,0,0,55327000,0,0,0,0,0
54407000,0,0,0,0,0,0,54407000,0,0
54407000,0,0,0,0,0,0,54407000,0,0
52285000,52285000,0,0,0,0,0,0,0,0
52285000,52285000,0,0,0,0,0,0,0,0
50783000,0,0,0,50783000,0,0,0,0,0
49943000,0,0,0,0,0,0,0,49943000,0
49154000,0,0,0,0,0,0,0,0,0
44904000,0,0,0,44904000,0,0,0,0,0
43775000,0,0,0,0,0,0,0,43775000,0
41274000,0,0,0,0,41274000,0,0,0,0
41274000,0,0,0,0,41274000,0,0,0,0
41190000,0,0,0,0,0,0,0,0,0
41190000,0,0,0,0,0,0,0,0,0
41023000,0,0,0,0,0,0,0,41023000,0
41023000,0,0,0,0,0,0,0,41023000,0
36684000,0,0,0,0,0,0,0,0,0
36684000,0,0,0,0,0,0,0,0,0
34950000,0,0,34950000,0,0,0,0,0,0
34950000,0,0,34950000,0,0,0,0,0,0
34836000,0,0,34836000,0,0,0,0,0,0
34836000,0,0,34836000,0,0,0,0,0,0
33223000,0,0,0,0,0,0,0,0,0
32525000,0,0,0,9748500,8283400,14494000,0,0,0
29964000,0,0,0,0,0,0,0,0,0
29964000,0,0,0,0,0,0,0,0,0
28765000,0,0,0,0,0,0,0,0,28765000
26743000,0,0,0,26743000,0,0,0,0,0
26204000,0,0,0,7702800,5408000,13093000,0,0,0
24801000,0,0,0,0,0,0,0,0,0
24801000,0,0,0,0,0,0,0,0,0
23614000,0,0,0,0,0,0,0,0,0
23614000,0,0,0,0,0,0,0,0,0
23348000,0,9047300,14301000,0,0,0,0,0,0
20967000,0,0,0,0,20967000,0,0,0,0
19947000,0,0,0,0,0,0,0,0,0
19947000,0,0,0,0,0,0,0,0,0
17891000,0,0,0,0,0,17891000,0,0,0
17891000,0,0,0,0,0,17891000,0,0,0
17784000,0,0,0,0,0,0,0,0,0
17161000,0,0,0,0,0,0,17161000,0,0
16221000,0,0,0,0,0,0,16221000,0,0
16221000,0,0,0,0,0,0,16221000,0,0
15216000,15216000,0,0,0,0,0,0,0,0
14553000,14553000,0,0,0,0,0,0,0,0
14553000,14553000,0,0,0,0,0,0,0,0
13982000,7729500,0,6252100,0,0,0,0,0,0
13982000,7729500,0,6252100,0,0,0,0,0,0
13361000,13361000,0,0,0,0,0,0,0,0
13361000,13361000,0,0,0,0,0,0,0,0
10796000,0,0,10796000,0,0,0,0,0,0
10702000,0,0,0,10702000,0,0,0,0,0
10702000,0,0,0,10702000,0,0,0,0,0
10521000,0,0,10521000,0,0,0,0,0,0
9951300,0,0,0,0,9951300,0,0,0,0
9951300,0,0,0,0,9951300,0,0,0,0
9283700,0,0,0,0,0,0,0,0,0
8598200,0,0,0,0,0,0,0,8598200,0
8598200,0,0,0,0,0,0,0,8598200,0
8048600,8048600,0,0,0,0,0,0,0,0
7631500,0,0,0,0,0,0,0,0,0
7631500,0,0,0,0,0,0,0,0,0
7036000,0,0,0,0,7036000,0,0,0,0
6996200,6996200,0,0,0,0,0,0,0,0
6150500,0,0,0,0,0,0,6150500,0,0
5695300,0,0,5695300,0,0,0,0,0,0
5036700,0,0,0,0,0,0,0,0,0
5036700,0,0,0,0,0,0,0,0,0
5001900,0,0,0,0,5001900,0,0,0,0
5001900,0,0,0,0,5001900,0,0,0,0
4372000,0,0,0,0,0,4372000,0,0,0
4372000,0,0,0,0,0,4372000,0,0,0
3355300,0,0,0,0,3355300,0,0,0,0
3355300,0,0,0,0,3355300,0,0,0,0
1168800,1168800,0,0,0,0,0,0,0,0
184030,0,0,0,0,184030,0,0,0,0
184030,0,0,0,0,184030,0,0,0,0
