C1_lung,C2_lung,C3_lung,V1_lung,V2_lung,V3_lung,V4_lung,V5_lung
2.587417841,2.219993353,3.880489349,1.955290794,1.023122191,0.784610927,1.322772622,1.61183095
0.13338995,1.290772557,1.125537276,4.333767414,3.69814992,4.078999043,5.024558067,4.200297832
0.11428383,0.12803562,0.189750269,0.09349858,0.033064734,0.062042098,0.079041086,0.110567115
1.370822191,1.209724307,0.74126327,2.018849134,2.127732515,1.822545886,2.178299665,1.790993929
1.178965688,1.148036361,1.652214408,0.82579875,0.700287282,0.728946686,0.599439681,0.846254587
0.340667695,0.412050486,0.3311297,0.158639178,0.119377099,0.269159824,0.308781832,0.277492225
27.19953537,31.27203369,27.62380981,20.78806686,10.60643387,13.19286823,16.17494583,22.89577866
9.369743347,5.350214958,11.15912819,6.473066807,5.266254902,3.274996758,4.370849609,4.625813961
0.057952572,0.065116808,0.193054795,1.586123586,1.66185534,0.953949988,0.092669845,1.396098852
3.218718767,2.713313103,3.222248077,3.445023298,3.454246044,4.443684101,4.301328659,3.627867699
20.77691841,18.43829346,30.21631622,14.44601917,8.057384491,14.23575783,15.38323116,19.4300499
0.599305272,0.693142951,0.972248197,0.551566899,0.290835202,0.345163614,0.494846433,0.585209548
0.380833656,0.500570476,0.152300939,0.494674742,0.598304331,0.607547939,0.470773369,0.632398784
0.165019721,0.184792265,0.24040021,0.08227139,0.115575947,0.113322906,0.117933728,0.142668501
0.054059602,0.039806169,0.224572912,0.741475761,0.778832674,0.520629644,0.669687331,0.139545575
2.07062912,2.114100456,2.200523138,1.40219152,1.221237421,1.389649391,1.590377688,1.71035111
0.068653703,0.117578849,0.09629564,0.239387766,0.298125684,0.284591317,0.37382403,0.244842127
1.010961056,1.264639854,1.389880419,1.054516912,0.677200079,0.790216446,0.870330691,0.696898878
0.312400639,0.291858375,0.339170218,0.520190001,0.728699505,0.632186174,0.435493916,0.735131621
2.953338623,2.428760767,2.263128281,1.210328698,1.086918473,1.590275168,1.656751513,1.881938577
64.77807617,76.98847198,81.83516693,43.50624084,50.71118927,54.66692734,53.52103043,50.52393341
6.835198879,6.496742725,9.348720551,4.867059708,2.11603117,1.812214851,6.297385216,4.837509632
1.12273252,1.879421353,0.473930091,2.934755802,2.46374011,2.861686945,1.776010036,2.829439163
8.2952528,9.725054741,11.56419468,8.495134354,4.541759491,4.330269814,7.034103394,5.169215202
4.372057438,4.724870205,5.220986366,4.150640011,3.201478243,2.836071014,3.4083426,3.524391413
0.347692013,0.261743158,0.448314756,0.120400742,0.212321311,0.215529263,0.237164497,0.233747527
0.719876528,0.642497003,0.349705637,0.86246264,0.883162796,1.135966659,0.741422236,0.891496718
0.39540717,0.397990346,0.729256213,0.255777329,0.202844724,0.159095958,0.366906494,0.348746806
110.5364761,46.78861618,100.4158173,42.85879135,28.48584557,29.04673958,27.0489769,30.48640823
0.218375146,0.187356919,0.174420014,0.104210407,0.089016952,0.107749976,0.073660359,0.072554946
3.93670392,3.854024649,4.945804119,3.375833273,2.056859732,2.061302423,2.894957304,3.048711538
1.482593656,1.595531702,1.843860865,1.216496825,1.166935205,1.223699689,1.275940776,1.400311589
0.302022398,0.308667988,0.401532412,0.22473374,0.186498031,0.223816976,0.256018251,0.297691882
4.61559248,3.63675499,7.014575958,2.981035948,1.03524375,1.302470326,2.221292257,1.715378046
49.20494461,46.02672195,43.60913467,41.2037468,11.55584431,13.23784447,19.40059471,25.13876915
35.11346817,42.65522003,36.55905151,27.41743851,14.69905949,16.71783257,15.49460506,24.87290764
1.083326936,1.523206592,0.636423051,1.347559571,1.727543354,1.86266458,1.921485901,1.782427073
9.46275425,10.53664112,21.58194733,7.805531502,1.744884968,4.038587093,5.59802103,7.266708851
6.793516159,6.484596252,8.717529297,4.749827862,5.994605064,4.9696908,5.252144814,6.005734444
7.471633434,6.056534767,8.205475807,5.560876369,4.971271992,4.486703396,6.472744942,5.278604031
7.851408005,9.026464462,16.41422081,7.79863596,6.820347309,5.225850582,3.905644655,5.180897713
1.461443424,1.414038062,1.692534089,1.049268246,1.178986788,1.155716419,1.112859726,1.451925755
0.076600283,0.030822717,0.14285025,0.980576217,1.093329668,1.550123811,0.035699688,0.997415781
1.922462463,2.659832716,3.630956411,1.314765096,0.845536709,0.556250811,1.843213916,1.614379764
