C1_liver,C2_liver,C3_liver,C_liver_average,V1_liver,V2_liver,V3_liver
7.669960976,7.11544323,5.573689938,6.786364714,2.029278755,1.760672331,2.418165445
0.071674578,0.240371957,0.161416218,0.157820918,0.407123774,0.550299942,0.325614482
1.4320333,2.101126909,1.390839458,1.641333222,1.161602855,0.467594504,0.740744948
1.054740906,0.987117231,1.028232098,1.023363411,0.749136269,0.699971616,0.6316697
1.369388103,1.267492056,0.733769894,1.123550018,2.461977005,3.476633549,2.389688253
1.480325937,1.772159576,1.764074922,1.672186812,2.103900194,2.143356085,2.258992672
0.753648818,0.610417306,0.408706516,0.590924213,0.192619771,0.285699487,0.363155723
0.577327132,0.912866592,0.677404463,0.722532729,1.528441787,1.677432179,1.548860908
0.116612926,0.208776057,0.350399792,0.225262925,0.403811246,0.433242559,0.428994268
3.353752613,3.635842323,1.872560978,2.954051971,5.58895874,7.027786255,5.990707874
4.432310104,5.451254368,4.935671806,4.939745426,3.353267908,3.624667645,3.445031404
1.460981131,1.079213738,1.665065289,1.401753386,0.165335715,0.304816961,0.469087213
5.793031216,2.910429716,4.220657349,4.308039427,2.271487236,1.229553342,1.502622962
1.182700634,1.050617218,1.050705791,1.094674548,0.733855724,0.665552795,0.619979024
4.192407608,2.871405363,4.097923279,3.72057875,1.591522694,1.220497608,1.468824983
0.118227609,0.096159354,0.08015544,0.098180801,0.152769372,0.22851415,0.180598021
0.665799975,0.644138277,0.723043025,0.677660426,0.514194131,0.231885836,0.354488909
0.617542028,0.712189317,0.538909554,0.6228803,1.188922524,1.509248018,1.344386935
16.03362656,20.33362579,18.28304291,18.21676509,7.06215477,8.725335121,10.69619274
0.067493543,0.101299047,0.035897128,0.068229906,0.20178096,0.292797118,0.231238738
0.466631979,0.491408467,0.44835642,0.468798955,0.699946582,0.551903903,0.658235908
2.775871038,2.990951538,3.901484251,3.222768943,1.664185286,1.625035524,2.299535513
0.564187884,0.549389899,0.522983789,0.545520524,0.293941259,0.457469344,0.336739361
1.173998952,1.400404811,1.725313544,1.433239102,0.765592158,0.646304965,0.92775774
3.492113113,2.581784964,4.829390049,3.634429375,1.862190604,1.436901689,1.822017312
2.638620377,2.883768559,3.042742968,2.855043968,1.410009027,1.254482031,1.52997613
2.252244711,1.653150797,1.96890533,1.958100279,1.046696305,0.098140754,0.710469127
0.873704314,0.888032794,0.576947093,0.7795614,0.440035641,0.307807714,0.318371564
3.464309216,1.975166082,2.55315733,2.664210876,0.965093493,0.425890982,0.066218615
4.210087776,4.567199707,3.139877081,3.972388188,1.629136205,1.415949583,2.592925549
4.19379425,5.112970829,3.330920219,4.212561766,7.228851318,7.02444458,6.845023155
0.554654181,0.405905664,0.462702811,0.474420885,0.283013344,0.233947635,0.247714326
0.738256216,0.495422035,0.350037873,0.527905375,0.168295652,0.129304424,0.260071933
1.098422647,0.983282864,1.809680581,1.297128697,0.374105066,0.052899014,0.067168117
26.37407112,16.92569733,22.10918236,21.8029836,10.77862835,5.410102367,11.42760754
0.122068398,0.066147096,0.029052688,0.072422727,3.277791739,6.447678566,3.384030104
0.074063152,0.099653184,0.099354528,0.091023621,0.266439915,0.375265241,0.430193335
0.038033947,0.058511686,0.087017015,0.061187549,0.300445229,0.447945714,0.43289119
0.191516742,0.301159263,0.209483057,0.234053021,0.312252909,0.379141539,0.420226336
0.282433689,0.243242353,0.245332494,0.257002845,0.641104162,0.642395258,0.878747046
0.079798922,0.067990586,0.034705028,0.060831512,0.126432791,0.097896434,0.137477517
2.276061773,2.853738308,4.243690491,3.124496857,1.364594817,0.803796113,1.217888117
1.680083156,1.535217047,1.756309509,1.657203237,0.718860209,0.676947773,0.928057611
51.96741486,30.42662239,54.2364502,45.54349581,22.46838951,12.78341293,22.76116562
0.432171971,0.89201057,0.602875829,0.64235279,1.220017791,1.663397551,1.852330685
0.492494345,0.614000797,0.585666835,0.564053992,0.973891377,0.81722945,0.761315942
1.035118699,0.632957637,1.251916647,0.973330994,1.715975046,1.79656148,1.841614246
2.761345148,1.762304902,1.864367723,2.129339258,1.12833488,0.865582883,0.990070462
7.151672363,8.365376472,7.158698559,7.558582465,6.254319191,5.581193447,5.511466503
0.547997892,0.358495653,0.600144804,0.502212783,0.222229719,0.1524252,0.135300517
0.223567337,0.078658491,0.137409106,0.146544978,0.30026716,0.300613195,0.411008686
3.396775723,0.512909651,1.741699815,1.883795063,4.109350681,7.993183613,5.756894112
12.83238029,11.49952507,12.9123745,12.41475995,17.94692993,17.43395996,23.02945328
2.540648222,2.381358385,1.788654566,2.236887058,3.345930576,3.947135448,4.970397949
2.127751827,5.498915672,3.258497238,3.628388246,24.49652672,13.49751759,14.9584074
0.062472634,0.197527051,0.081892662,0.113964116,0.241503119,0.295784533,0.340246558
6.352573872,8.090877533,9.308018684,7.917156696,2.216028452,3.783729553,1.830410719
5.07921648,3.005680084,4.865914822,4.316937129,1.385645628,0.946216464,1.256182551
0.43175593,0.301815033,0.406501919,0.380024294,0.18945682,0.138443783,0.270222574
0.624960959,0.350013405,0.414037019,0.463003794,0.959572613,0.666588664,0.779339075
2.606829643,1.508053899,1.053305268,1.722729603,3.915583611,4.042037964,4.77930212
7.094817162,6.054720402,4.93007803,6.026538531,11.97862816,10.27418041,13.55553055
0.299421042,0.50559926,0.118572056,0.30786412,3.703650713,2.057509422,1.865107894
0.214428842,0.294902444,0.301885426,0.270405571,0.086916797,0.137294263,0.05843604
8.004855156,5.28247118,4.670462132,5.985929489,2.632520199,2.070842505,2.785633802
23.79094887,31.93851471,15.21239853,23.64728737,82.06946564,81.1648941,82.77128601
0.488403559,0.084079124,0.185315639,0.252599441,0.674229741,0.771515965,1.068719983
1.00006938,2.020246983,1.907801747,1.642706037,3.491967916,3.210038185,3.485086918
13.09516239,10.50832272,10.03882599,11.2141037,29.43472862,49.41271973,36.41224289
