Ependy,Medullo,Aggressive,Cranio.LGG_BRAF.V600E,HGG.rich,Ganglio.rich,LGG_BRAF.fusion.rich,LGG_BRAF.WT.rich
-3.17078,-2.83978,-3.06437,-0.06613,-0.63467,-1.58691,1.82171,-0.32179
-5.06694,-3.46128,-5.06728,-2.67560,-1.27008,2.69727,0.00177,-2.88147
-9.25495,-0.19153,-12.11323,-5.93220,-0.45536,3.09662,0.00771,0.04613
-3.18306,2.78009,-1.95286,-4.57460,0.06284,6.79338,-1.63103,0.50101
-3.85005,5.91241,-0.38378,-6.14429,-0.05161,3.25206,-4.29651,-0.71741
-3.82446,-2.43769,-5.24045,0.08354,-0.21594,0.41540,2.20283,0.14599
0.57568,0.53190,0.07213,-0.13988,-0.02077,-0.95091,-0.14871,0.05053
-2.18853,-12.73249,-4.06892,-0.50867,-1.15746,-2.11180,6.26438,-0.02714
-1.45585,-6.84503,-1.30598,-0.48371,-0.60492,-1.22022,4.15705,-0.22996
0.76831,3.10346,1.62869,-1.71386,0.02739,-0.44051,-0.55188,-3.03696
-1.79230,1.16109,-0.75880,-6.40402,0.43708,0.25821,-0.11545,-2.01127
-2.60382,-14.40653,-23.85390,-0.29024,-2.00130,-0.86166,1.56913,2.51937
-1.21654,-5.96460,-5.41448,0.18098,0.05108,0.11183,7.37390,2.92457
7.12043,-0.73476,-1.40040,0.32639,-0.38627,-0.07350,2.24010,0.03497
5.01284,0.45656,-0.11193,-0.21918,0.02032,-0.46851,-0.01580,-0.58877
5.70177,0.07102,0.66528,-0.25697,0.92662,0.25976,-2.20698,-0.26002
4.62700,-0.05572,0.80905,-0.09225,0.71076,0.19661,-2.14150,-0.02976
4.75051,0.11333,0.92675,-1.59077,0.31648,0.60742,-1.99900,-0.67906
-2.00726,-6.11423,-2.33621,4.75056,0.14355,-2.95693,0.88415,1.77591
-1.14461,-6.17050,-1.49208,6.07465,-0.18120,-2.42552,1.85221,2.80021
0.16238,-1.23098,0.53824,0.18750,2.04168,1.13260,3.64365,0.08600
8.33009,2.03944,7.88784,1.32571,0.82876,-2.14332,-1.19423,-0.80709
-0.14869,2.55957,1.05812,-1.87085,0.09037,7.43288,-3.92281,-0.74657
-0.21802,11.31435,1.78773,-3.70474,0.19216,4.64832,-7.62812,-1.90619
-7.74609,-0.61111,-7.33267,-1.62047,-0.02094,0.10487,7.99561,0.56830
0.27180,-2.30013,-0.97667,-0.18447,0.14323,-0.84148,0.29128,0.06556
0.89339,-0.42867,-0.04022,0.19818,0.49702,-1.14528,1.45827,0.15349
-0.13610,-0.21117,-0.17720,-0.12699,-0.07813,-0.63777,-0.27206,0.06006
1.70981,-1.31321,0.09529,0.03071,0.58087,-3.68689,2.41061,-0.44419
-2.88749,-3.08663,-1.75598,2.75240,0.72495,-1.77930,4.47766,0.51096
0.88863,10.23575,14.32584,0.71844,0.69355,-2.34635,-1.26691,-3.99415
-3.05301,-0.36768,-0.27012,0.01084,0.05944,-0.06733,4.29467,0.16397
-0.05058,-2.91881,2.42544,1.42318,1.01635,-0.15421,1.28614,0.11267
-1.51162,-0.67996,-1.98273,-2.24175,-0.83951,3.29303,-4.51413,-0.52100
-1.98513,-0.19115,-1.86885,-1.82830,-0.78153,4.77929,-3.55760,-0.08235
-0.92275,-0.21060,-0.81739,-1.08081,-0.95900,5.39740,-3.34038,0.05467
0.19933,-14.08026,-2.21756,0.82760,0.58779,-1.05335,1.53600,1.47300
-0.18867,-4.07830,-3.39851,-0.10152,-1.25731,0.11803,0.29061,0.13630
-1.67397,-2.53989,0.01274,-2.78704,0.00969,2.52737,0.15261,0.19316
0.50783,-1.56072,-0.21585,-1.67444,-1.04188,0.39335,-0.69100,1.50850
-11.82638,-0.95047,-6.51168,-2.30313,-0.29891,4.71282,2.00058,0.02267
3.94657,1.67318,-0.13568,0.04595,0.17932,-0.06850,-0.30097,-0.77234
1.70740,1.84696,1.25066,1.65106,0.47041,-2.56262,0.95076,-0.87325
-0.41157,0.18854,-1.03788,-4.82941,-0.21470,-0.45098,0.14454,0.06876
1.36895,6.26637,3.70993,-0.32919,0.01534,-1.03953,-0.22626,-1.57203
-0.56365,9.52607,7.91251,-0.26262,1.78244,-3.00313,-2.11554,-5.21735
-0.35242,14.00482,10.07186,0.05834,3.51010,-1.78010,-0.28736,-1.84769
-0.23577,8.35937,2.53211,1.98661,1.11739,-0.83556,-0.53416,-0.66977
-0.40362,2.75938,4.37745,1.65640,1.75503,-0.29042,-0.00959,-0.28423
0.23124,-1.99862,-2.35498,0.07561,0.10454,0.65089,0.25693,7.36513
-1.39655,-0.75524,-1.33608,4.47668,-0.82993,2.73826,-1.26990,-0.18483
2.41696,-1.47324,-0.74697,-1.94948,-0.10201,-0.00733,0.09598,0.35682
1.01950,1.36990,-0.07795,-5.55414,-0.94368,8.60742,-0.64414,-0.37144
-0.05602,-1.17005,0.05423,0.24690,0.08261,-1.27398,1.68665,0.05069
-0.03417,-3.27865,-1.63151,-0.82858,-0.14193,-0.43573,0.92572,1.66282
-0.40282,3.29450,0.46522,-0.55336,-0.37730,-2.56064,0.27544,-1.55319
0.06422,7.15430,13.15471,2.96197,0.72655,-3.71303,-0.01869,-2.57699
0.78585,8.88208,6.37508,2.14217,0.10286,-1.04486,-0.04976,-1.39827
0.17438,0.17115,-0.05815,8.21855,0.04561,-1.12076,-0.48161,0.60855
-8.12478,-0.48263,-2.35918,-3.43400,0.00472,-0.49259,3.17711,-1.16883
-0.46080,-0.42107,-7.51077,-3.14579,-2.46003,3.05903,-0.07179,0.06936
-0.12370,3.39854,6.81427,0.62127,1.56740,-1.28206,-0.57157,-1.26717
0.52456,2.65403,6.02973,1.33808,2.33355,0.11667,1.81038,0.12614
2.21823,1.88518,8.43520,1.80637,1.08475,-1.78995,2.42815,0.13573
0.08756,1.74118,7.77165,1.56456,3.80613,-1.49107,0.80017,-1.09875
-2.05792,-0.21746,-1.66178,1.23844,-0.64439,3.53329,-1.75816,-0.10123
-7.35681,-0.13050,-4.81246,-1.26014,0.35109,-0.08352,3.59250,0.13868
-4.88948,-5.17565,-19.29105,-1.55473,-0.76271,2.88645,0.65090,3.43070
-5.72209,-0.43472,-9.58223,-6.53239,-2.16166,9.59416,-1.18575,1.66472
-0.25604,0.14311,1.34676,1.07369,0.27714,-0.59817,0.00894,-0.70849
-0.68391,-0.13442,1.47450,1.16361,0.46579,-1.69111,0.39626,-1.17102
-0.62549,-0.09409,-0.45656,0.37858,-0.05863,2.66037,0.49710,-0.00606
0.38845,5.05639,6.01549,0.07325,0.45058,-1.33563,-3.41396,-2.61857
-0.21123,13.15471,16.02583,-0.23552,3.13368,-0.08874,-4.46532,-2.88536
2.70932,0.10768,4.45483,1.93544,0.19853,-3.35430,0.42830,-0.58841
1.65222,-0.21419,2.66605,2.47088,-0.10746,-4.07673,0.68683,-1.43512
-2.77252,-8.78845,-12.78525,-0.84865,-1.26106,-1.40366,-0.25393,-1.92530
-0.31843,-0.70602,-0.08568,-0.42462,0.49858,0.72489,1.35183,0.38097
0.51990,4.86651,4.41378,0.73248,2.44334,3.73249,0.56713,1.02011
0.06098,-0.11384,1.59534,-0.52514,1.46894,-0.24885,-1.53157,-0.76901
0.38097,-0.09796,2.08646,-0.04518,1.64264,-0.04960,-1.06305,-0.28381
0.29247,0.08126,1.76441,-0.03653,2.19080,-0.07109,-0.68315,-0.25224
0.60567,-0.24815,2.06399,0.00224,1.08929,0.23737,-1.55420,-0.44539
0.00026,-0.64150,1.12346,-0.02378,1.30046,-0.12463,-1.10374,-0.39722
-0.03350,-0.09433,1.52440,0.12565,1.38305,0.07527,-1.40852,-0.69147
0.43753,-0.04249,2.22659,-0.01018,1.83846,0.04251,-0.83939,-0.34529
-0.33210,-0.78135,0.88554,-0.10049,1.84229,-0.04111,-1.44419,-0.44458
0.02174,-0.29056,1.52640,0.03584,1.66920,-0.04727,-1.19438,-0.15500
0.12830,-0.15623,1.27201,0.24435,0.99003,-0.07791,-1.98566,-0.52456
0.05067,-0.25440,2.04305,0.44239,1.38154,0.24602,-1.14752,-0.23781
0.14531,-0.55605,1.34162,-0.14355,0.93770,-0.06844,-1.24090,-0.49231
-1.58630,-0.04038,-0.12225,2.69922,-1.19989,-0.15887,-2.33135,-0.18608
-0.15644,-4.22610,-3.32704,-5.87022,-1.62721,0.75251,0.06443,-1.98221
-1.05386,-1.96186,-0.83101,-6.67534,-0.63063,0.76722,0.02902,-2.12867
0.57803,-6.86378,-3.80109,-6.57859,-0.84595,1.43871,-0.01859,0.33119
0.02174,-2.86099,-0.15562,-4.12662,0.04370,1.21644,0.44036,-0.35632
-0.86769,-1.01388,-0.11924,-3.96720,-0.09321,0.30717,0.03479,-0.61585
-0.02714,-3.77073,-2.79552,-5.80819,-1.43407,3.44717,-0.17438,0.43184
-6.19538,-0.72394,-4.86033,-5.36663,-1.79359,-0.10219,-0.08818,-0.08065
3.01259,-0.00534,0.82587,-1.78903,0.44103,-0.12233,3.09156,0.34376
2.77288,-0.04865,-0.00239,-1.94953,0.65214,0.33130,4.46021,0.83639
-8.70795,0.43900,-3.33368,-7.59764,-0.01099,1.14186,0.36178,-0.69654
-3.95517,6.16270,-2.38311,-5.29189,-0.34773,2.52715,-2.05893,-1.50595
0.77101,-0.07094,0.19019,0.19902,-0.64531,0.25856,-0.34057,-1.01096
0.17945,-1.58328,-1.27464,2.23592,-0.63063,0.01138,-0.10345,0.58950
-0.03923,-0.06202,0.97916,11.79239,0.25630,-1.31478,0.00324,0.65985
-0.53926,0.47099,0.37874,-0.77411,-1.09150,-3.08126,-0.58227,0.24447
0.28736,-3.23019,-0.00699,5.27336,0.58179,-2.13046,1.95551,-0.10968
0.21633,7.59455,3.70338,1.20333,1.77899,-2.92170,-1.29292,-6.30675
0.62642,3.09058,5.09335,1.55296,0.90926,-4.79260,0.82347,-2.71895
-0.39126,4.76949,0.97507,-0.24259,0.86943,-4.34659,-0.14258,-6.42674
5.22328,7.71012,14.81533,3.27566,0.96912,-3.58331,-2.46919,-3.01529
1.07460,-7.89788,-1.97927,0.04985,-0.13033,-0.35605,0.23921,1.48947
1.24261,-0.64718,-0.50864,-1.23896,0.10021,-2.20370,0.00911,-1.84026
-2.24501,-0.17689,-0.34490,-2.26523,-1.46252,-0.00667,-0.51622,-1.28092
3.78409,5.31418,6.48957,0.62077,0.50736,-0.76555,-0.96618,-0.15094
-4.30762,0.11267,-1.85206,-1.30201,0.98820,-1.54713,4.31403,0.55462
4.69129,8.06512,8.72105,1.00295,0.63922,0.54890,-8.09244,-2.83493
0.04111,0.40473,0.64485,0.24406,0.09126,-1.19820,0.33665,-0.61094
-2.30534,-4.37090,-3.64867,0.50216,-0.89107,-0.63531,1.57937,0.94559
-4.16340,-6.87602,-4.45153,1.55338,0.32576,0.07744,4.41692,4.61847
-1.31295,-3.87049,0.37628,-0.26007,0.47374,0.00641,-0.06098,-0.55773
2.56799,0.15811,-0.06740,0.58179,-0.32466,-3.06551,2.19153,-0.79251
1.18454,2.41076,1.76066,2.71301,0.03616,-0.10792,-0.36642,-1.91699
0.15623,0.29858,-0.67963,-0.26968,-0.26332,3.85825,-1.54181,-1.27162
