Cancer_1,Paracancer_1,Normal_1,Cancer_2,Paracancer_2,Normal_2,Cancer_3,Paracancer_3,Normal_3,Cancer_4,Paracancer_4,Normal_4,Cancer_5,Paracancer_5,Normal_5,Cancer_6,Paracancer_6,Normal_6,Cancer_7,Paracancer_7,Normal_7,Cancer_8,Paracancer_8,Normal_8,Cancer_9,Paracancer_9,Normal_9,Cancer_10,Paracancer_10,Normal_10,Cancer_11,Paracancer_11,Normal_11,Cancer_12,Paracancer_12,Normal_12,Paracancer_13,Normal_13,Cancer_14,Paracancer_14,Cancer_15,Paracancer_15,Normal_15,Cancer_16,Paracancer_16,Normal_16,Cancer_17,Paracancer_17,Normal_17,Cancer_18,Paracancer_18,Normal_18
17211.1,30717.2,52729,60711.1,0,11216.7,19682.6,0,20004.7,29995.9,34420.7,18919.1,29290.1,0,57553.6,0,0,0,42697.1,44126.3,51580.8,22370.9,0,0,82235.8,0,0,19480.4,13762.8,20983.9,14349.2,20132.5,23075.7,58006,80921.6,24470.8,99507.9,62215.9,39499.2,24825.6,0,0,80327.5,673.766,0,25292,41691.7,62079.6,32672.8,4823.91,0,37764.1
0,0,0,0,0,0,20445.3,0,0,15339.7,0,0,0,0,0,0,0,0,86776.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,22615.2,0,0,12445.4,0,0,0,0,0,1435.17,0,0,0,0,0,0,0,0,12168.8,0,0,0,0,0,2369.91,0,0,5909.04,0,0,0,10318.4,0,11238.1,0,2920.79,0,0,0,0,2497.86,0,0,0,0,0,1853.07,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4292.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7185.04,0,0,33791.4,0,4676.76,6911.97,0,0,9334.35,0,2217.33,11876.7,0,0,40644.7,0,0,8793.53,0,0,6518.52,0,0,24832.4,0,30862,16120.7,9151.51,0,7048.29,4812.37,9135.91,11336.8,12686.6,3993.77,18470,3905.59,12932,0,0,0,4495.31,12064.4,0,6416.38,10917.5,0,0,9696.78,0,0
0,0,0,0,0,0,6614.85,0,0,6370.99,0,0,14605.4,0,0,0,0,0,11183.5,0,0,0,0,0,13415.8,0,0,5686.59,0,0,19472.6,0,7060.45,4302.78,0,7139.36,0,0,8006.39,0,0,0,0,0,0,0,0,0,0,20453.4,0,0
0,0,0,0,0,0,2977.28,0,0,2909.99,0,0,0,0,0,0,0,0,3305.53,10135.6,0,0,0,0,35398.2,0,0,6496.22,0,0,2020.61,0,9672.46,16750.2,6101.05,0,13907.3,0,6497.29,0,0,0,5600.47,0,0,4252.98,16064.7,0,12206.3,4135.47,0,4851.92
0,0,0,0,0,0,4668.9,3989.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3524.34,0,0,0,0,0,0,0,0,0,0,0,5666.92,0,0,0,0,0,0,0,0,0,0
39620,0,12810.5,0,0,21382.6,6518.73,24434.5,0,28752.2,0,10446,3199.2,0,0,54736.9,0,0,8334.95,15066.9,0,7073.41,0,0,0,28264.1,0,21529.3,28307.3,7062.43,11239.3,9894.78,0,4629.79,16533,0,27654.5,0,35057.1,0,0,0,20436.3,13326,0,28615.1,0,28217.6,0,18291.3,8879.1,0
7392.93,0,15925.6,0,0,20684.7,6269.73,12988.2,0,7710.98,0,18806,0,0,16975.1,0,0,0,0,18456.8,0,9024.23,0,13359.3,0,0,0,8250.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7752.84,0,0,0,0,0,0,0,0
0,0,0,0,0,10370.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580.38,0,21264.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25258.3,0,21128.9,9140.67,0,0,11364.5,0,0,27013.1,0,25616.9,5180.84,0,39106.1,0,0,12669.2,27485.6,45463.6,40898.5,12822.9,0,0,0,21593,0,2408.85,0,0,7746.65,4314.21,8410.57,29131.8,10621.6,12731.2,0,0,0,0,26400.9,6821.54,0,4501.53,0,0,13234.6,4327.66,0,5620.64,0,4747.78
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642.16,0,0,0,0,0,0,0,0,5816.04,0,0,2466.54,0,0,0,0,520.628,0,0,0,0,3541.97,0,0,0,0,0,2170.75,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16546,0,0,0,0,0,0,0,0,0,0,0,0,0,1169.87,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.881,0,0,0,0,0,0,1307.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2942.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807.49,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2816.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124355,69776.6,94987.2,54070.2,397914,104086,34680.5,83053.9,82767.7,33819.7,93261.5,113281,24962.5,226507,65686.1,119963,319800,45524.2,52304.1,52238.6,83684.1,66990.5,88405.6,87611.8,27877.3,82351,34760.7,29383,36252.1,91056.6,72265.5,58322.2,29531.7,62038.2,37471.5,29443.7,24857.5,53795.4,76568.1,94048.8,92628.6,107327,70035.9,74796.9,230013,62676.7,37288.8,71221.8,60380.1,92758.8,322387,56540.9
11467.7,69940,44966,12838.7,109922,58661.6,5783.96,80506.5,251891,9279.63,98309.7,89465.8,29930.1,390359,59668.1,128173,803994,62414.4,9170.83,17035.7,40977.7,11407.2,68632.4,101592,8928.98,62095.7,45578.6,1446.34,64076.5,61787.7,0,25832.9,43049.1,2759.01,0,113934,24648.3,96102.7,0,160338,15125.4,57265.5,70677.4,9689.39,396895,125786,29286.3,37204.2,118192,0,262227,53542.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062.4,0,2697.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
