Ctrl_p1,45I_p1,120R_p1,Ctrl_p3,45I_p3,30R_p3,120R_p3,Ctrl_p5,45I_p5,30R_p5,120R_p5
-2.612015,-3.763851,0.577364,-0.1211395,-3.070156,-2.966355,-2.391982,-0.7327976,-4.564225,-3.095991,-0.7935028
-3.24765,-4.572011,-0.7835655,-0.5952034,-3.211675,0.1753502,-0.2393742,-2.820343,-3.535669,0.4538975,-3.460353
-0.2617779,-2.451577,-0.09846878,-2.932537,-3.23157,0.2165737,0.04761696,-0.07427979,-3.237511,-0.1091576,0.2166405
-0.2617779,-3.124354,-0.09846878,-2.354863,-3.423076,0.2165737,0.04761696,-0.07427979,-2.743015,-0.1091576,0.2166405
-1.364672,-4.166031,-1.108694,-2.30422,-3.538218,-1.365837,-1.018829,-2.152349,-2.421326,-0.04839706,-1.537975
-2.146667,-3.879303,-1.016251,-1.762823,-3.002627,-2.098701,-2.215508,-1.572914,-2.702449,-2.053711,-1.01742
-1.386797,-3.722314,0.316494,-0.01044655,-2.035942,0.07185173,0.08362198,-3.210422,-3.38121,0.249155,0.7524815
-3.261266,-4.619242,-2.244395,-2.431725,-3.342699,-2.247016,-2.489134,-2.956036,-3.745689,-2.8951,-1.283102
0.1059608,-0.5084801,0.7016506,0.6521568,-0.85639,0.5957279,0.1615524,0.4287853,-1.072056,0.3997402,1.028547
-1.561066,-3.097595,-0.7546921,-1.541807,-2.429922,-0.7802811,-1.6565,-2.130882,-3.090949,-1.166679,-1.0278
-0.4634743,-3.292949,1.309498,0.747818,-0.8987846,0.261694,0.9847164,-0.4442444,-1.270521,0.4690208,0.69841
-2.364941,-3.431486,-2.171004,-1.254084,-3.105288,-0.7993793,-3.005486,-2.136483,-4.148666,-0.3804703,-1.805859
0.5470695,-2.748527,1.656361,0.4411278,-3.477143,0.9837837,1.552116,-2.491504,-0.583416,2.802561,0.2218761
2.119898,-0.05282784,2.140184,1.228222,0.1555023,2.039633,1.972494,0.9075546,-0.1439476,1.930077,1.95997
-0.5678711,-3.884693,-0.4795456,-3.249339,-3.805594,-0.2681084,-0.2703152,-0.921423,-3.205131,-0.4141006,-0.5495434
2.119898,-0.05282784,2.140184,1.228222,0.1555023,2.039633,1.972494,0.9075546,-0.1439476,1.930077,1.95997
-0.5678711,-2.602602,-0.4795456,-2.80499,-2.73903,-0.2681084,-0.2703152,-0.921423,-3.776599,-0.4141006,-0.5495434
-1.090996,-1.474777,-0.3493481,-0.7706661,-2.455727,-0.8714848,-0.2314701,-1.268002,-1.794704,0.07941437,-0.3283653
-3.355614,-3.445028,-1.177805,-1.388643,-2.924177,-1.833527,-1.99769,-2.382193,-4.262409,-0.7980461,-1.930926
-0.8892708,-4.308348,-0.0922451,0.3663807,-2.264099,1.085342,0.6844902,0.1945,-2.895462,0.6207657,1.389521
-0.8892708,-3.880755,-0.0922451,0.3663807,-2.264099,1.085342,0.6844902,0.1945,-2.895462,0.6207657,1.389521
3.352249,1.70352,4.167665,3.289965,1.409952,2.561867,2.522997,3.112249,1.018322,2.630442,4.053377
-1.944569,-3.462133,2.065241,2.171921,-4.119163,2.223085,2.840286,0.1717243,-2.92464,2.540642,2.792923
-0.03429031,-0.7624874,0.2636147,0.322876,-0.5271606,0.4073009,0.5052567,0.07219696,-0.788517,0.5474529,0.3419609
-1.663124,-5.225481,-2.22479,-1.56908,-3.803164,2.016672,0.8066082,-2.222765,-4.205162,1.717417,1.388481
-1.663015,-3.965745,-1.198027,-2.6999,-2.915078,-1.710627,-2.620659,-2.582961,-3.696622,-0.7901325,-0.620327
-2.567083,-2.873972,-1.758272,-1.653278,-3.293623,-2.062574,-1.267736,-1.192097,-3.841805,-0.8501549,-0.6610336
-1.299791,-3.104001,-0.2812729,-0.4122143,-3.552953,-0.8131027,-0.7208767,-1.504208,-2.555567,-0.5369797,-0.6459484
-0.5636044,-1.533031,-0.2395535,-0.0880928,-1.433784,-1.144077,-0.1107426,-0.8937492,-2.18786,-0.7789974,0.01309013
-1.292116,-2.93764,-1.164858,-1.508163,-2.908938,-1.688934,-1.198267,-1.016754,-1.981234,-2.137672,-0.8914375
-1.292116,-3.734305,-1.164858,-1.508163,-2.811766,-1.688934,-1.198267,-1.016754,-1.981234,-2.137672,-0.8914375
-2.011654,-3.588814,0.1148129,-1.687519,-2.909434,-3.047835,-0.8013878,-3.536272,-3.916706,-0.1558075,-0.6353397
-3.268326,-3.587707,-3.391699,-1.290451,-3.795191,-1.674547,-2.714108,-3.265516,-4.284969,-1.010052,-2.197681
-1.042904,-3.484462,-3.346151,-0.8322296,-2.718742,-1.066057,-0.9269314,-2.233412,-3.81573,-0.5868397,-2.367186
3.318653,1.179338,2.405247,2.838263,1.182764,3.039232,2.336475,2.60778,1.152584,2.389925,2.983591
3.318653,1.179338,2.405247,2.838263,1.182764,3.039232,2.336475,2.60778,1.152584,2.389925,2.983591
1.264242,-2.764408,1.425259,0.9839783,-2.998711,0.8770485,1.202465,0.7095718,0.5769711,1.05402,1.462297
0.9607391,0.6076336,1.412998,1.657347,0.9285698,0.9604187,1.308708,1.089951,-0.005516052,0.929493,1.524755
3.519487,2.18774,3.483847,3.514933,2.062414,3.103144,2.974941,3.464361,2.409443,2.700586,3.443001
3.519487,2.18774,3.483847,3.514933,2.062414,3.103144,2.974941,3.464361,2.409443,2.700586,3.443001
1.136345,0.2923508,0.7402306,1.390903,0.2842102,0.8590717,1.097809,0.5949535,0.08367538,0.7998695,0.641161
-0.1687183,-2.437893,-0.3083038,-1.238485,-3.010379,-0.7951107,-0.1147137,-2.705188,-3.485431,0,-1.311768
1.636747,0.5887222,1.812216,1.058815,-0.1537037,1.286779,1.058287,1.791658,0.2668686,0.6024055,2.042389
-2.049828,-3.895065,-2.570691,-2.422188,-3.783166,-2.621842,-2.768212,-2.959359,-3.84149,-3.601214,-2.585569
-2.054426,-3.340715,-3.381103,-2.648025,-4.024471,-2.065815,-2.437185,-2.688081,-3.340231,-2.298897,-3.364247
-0.4204483,-2.142162,-0.04073143,0.04147339,-0.9891376,0.7826347,0.427187,-2.168268,-1.872366,0.9721241,-0.1639557
-2.992939,-4.345047,0.5766487,-2.224166,-2.787188,0.1807995,0.6060143,-1.944503,-3.652761,-0.02744865,1.912596
-2.992939,-4.345047,0.5766487,-2.089198,-2.853616,0.1807995,0.6060143,-2.313787,-3.267148,-0.02744865,1.912596
-3.905653,-2.750834,0.3030853,-3.662662,-2.955259,-2.989497,0.6703129,-2.322178,-3.06221,0.345295,-0.2945614
-3.208794,-1.21505,-1.317301,-3.606313,-1.601284,-1.835348,-2.583542,-3.022602,-2.622696,-1.040129,-1.310831
-3.761589,-3.768907,-0.7190609,-2.582175,-3.373293,-0.6956482,-0.7704334,-2.490962,-3.010181,-0.1414223,-0.4355125
-3.611733,-1.255259,-0.4888897,-2.312301,-1.347063,-1.420664,-0.3371201,-3.409302,-3.660529,-2.481093,-0.8035545
-3.381008,-3.379724,-0.1523628,-4.117484,-3.238022,0.8892956,-1.013563,-3.265602,-2.443354,0.006547928,-0.4018154
-3.508084,-2.454905,-0.1523628,-3.477733,-2.75001,0.8892956,-1.013563,-2.641502,-2.769742,0.006547928,-0.4018154
-3.048516,-1.74726,0.1495972,-0.7183609,-2.129511,-0.8617439,0.1254559,-2.837608,-2.908558,-0.1496105,-0.4090538
1.491894,0.7761555,3.417744,2.342285,1.560373,4.537081,3.73572,2.117214,1.497135,3.947212,4.276346
-2.678029,-2.437761,2.165016,-1.90968,-3.512936,2.12122,2.139978,-3.373332,-2.793373,-2.816437,2.364002
1.491894,0.7761555,3.417744,2.342285,1.560373,4.537081,3.73572,2.117214,1.497135,3.947212,4.276346
-3.411295,-3.314654,1.384602,-4.344264,-3.033904,-0.05465889,1.528362,-2.569264,-2.687227,-2.391856,1.618906
-2.894363,-3.61577,0.5535603,-2.718966,-3.224534,0.8188839,-2.923563,-2.662255,-1.241257,1.018167,-0.2514267
-4.057079,-2.825621,-2.215733,-2.985523,-3.414949,0.4572754,-1.642229,-3.225196,-3.489867,0.2804699,-0.7784119
-3.139313,-2.944687,-0.5536919,-1.5396,-2.894459,-0.1101341,-0.8768864,-2.514508,-3.487206,-0.407999,-0.158268
-4.272162,-2.119197,-2.680632,-3.579511,-2.434617,3.314856,-2.572973,-2.715705,-3.973046,2.402672,2.753847
-2.550556,-2.57439,1.106266,-3.234189,-2.087807,-2.090391,-1.176661,-2.401412,-3.911283,-1.471785,-0.393898
-3.649273,1.424225,3.508444,-3.161612,-4.5235,1.282448,0.7376709,-1.875519,-2.743595,3.070208,3.464405
-2.508627,-3.2893,-0.7112751,-2.998317,-2.437359,-3.113288,-1.658419,-2.533314,-3.199323,-1.127987,-0.5155334
-3.373654,-2.682376,-2.808031,-3.547089,-3.262765,-2.636305,-0.3709164,-3.435907,-3.117598,-3.093928,-0.06238556
-0.6457958,-2.434133,-0.2889462,-1.724518,-3.107476,-0.1002731,-0.8823032,-2.797981,-1.344408,-0.1818237,0.04822159
-1.52249,-3.284634,1.231176,-1.615772,-4.017473,2.062195,1.225224,-2.166379,-3.865563,1.267471,2.305525
-1.52249,-2.881668,1.231176,-1.615772,-3.524708,2.062195,1.225224,-1.705006,-3.072702,1.267471,2.305525
-3.143522,-3.838639,-1.09687,-2.190386,-3.010545,0.3551464,-0.8777809,-2.759643,-3.344451,1.435699,0.7313232
-3.541962,-2.863546,-0.1926479,-3.367608,-3.400506,0.652216,0.3064671,-2.812258,-3.61301,1.43898,1.628893
-3.638565,-2.809485,-0.1926479,-3.585764,-2.367798,-0.4580002,0.3064671,-2.817008,-3.022557,-0.3568325,1.628893
-3.308279,-4.01902,-1.106262,-2.189569,-3.468279,-2.125647,-1.942789,-3.384832,-3.027866,-3.005465,-0.8217945
-2.650336,-3.065133,0.3996506,-2.656994,-3.965693,-0.09142685,-0.6394234,-2.544877,-2.998823,-0.6554832,0.7507401
-3.640137,-3.505544,-2.441209,-2.820011,-2.999226,-0.8646832,-2.319115,-2.727733,-3.414538,-2.373007,-2.349791
-3.862751,-0.04914093,-0.2023182,-1.168865,-1.515999,1.241613,0.1609211,-3.177262,-1.64086,0.06677246,0.5197105
-4.028,-0.04914093,-0.2023182,-3.332759,-1.515999,1.241613,0.1609211,-3.509863,-1.64086,0.06677246,0.5197105
-1.614779,-0.8671112,-1.241175,-3.070735,-1.595709,-0.9438267,-1.119041,-2.923919,-1.102539,-1.366566,-0.9078827
-2.688315,-2.620197,-1.073381,-2.5186,-1.304058,-1.07593,-0.119173,-2.856977,-1.298172,-2.703828,-1.002157
-2.610885,-1.135857,2.044172,-2.765067,-0.1466026,1.859026,1.976519,-3.113669,-3.568023,2.48329,2.02947
1.256922,2.055897,1.087444,0.1098576,1.407663,3.107702,1.754065,0.2177391,2.253389,2.231937,2.91165
-4.089015,-2.774968,-3.24962,-3.743926,-3.337689,-0.3107662,-0.3039169,-3.440304,-4.121629,-0.7119522,-0.8050537
-0.2534103,2.055897,1.087444,0.1098576,1.407663,3.107702,1.754065,-0.4094486,2.253389,2.231937,2.91165
-3.506064,-3.892313,-3.24962,-3.826462,-2.900266,-0.3107662,-0.3039169,-2.790357,-3.058673,-0.7119522,-0.8050537
-3.519179,-4.383051,-0.6019917,-3.260848,-2.894637,0.8257847,0.961668,-2.258836,-2.644282,0.4351158,1.000252
-3.846112,-3.22707,-3.24962,-3.223986,-2.588312,-0.3107662,-0.3039169,-3.052932,-3.320119,-0.7119522,-0.8050537
-3.07268,-3.644239,-2.123203,-3.415366,-2.548079,-2.200372,-2.050928,-2.822662,-3.247425,-2.391375,-1.433956
-2.376246,-4.213151,-0.04733467,-3.269733,-2.393829,-0.703495,0.05695343,-2.114609,-2.957462,-0.5442295,-0.5877075
-3.752248,-3.569028,-1.58824,-2.200769,-3.008131,-2.693606,-1.542841,-2.684372,-3.63587,-2.24297,-2.333342
-3.409272,-3.242353,-2.509755,-3.138687,-3.472157,-1.457277,-1.397907,-2.91064,-3.207209,-0.7311954,-1.633682
-1.663124,-2.562752,-2.19797,-1.56908,-2.079395,2.016672,0.8066082,-2.667637,-4.205162,1.717417,1.388481
-1.663124,-3.161612,-2.517909,-1.56908,-2.17876,2.016672,0.8066082,-2.505751,-4.205162,1.717417,1.388481
-2.896756,-2.216285,0.1646423,-0.08254051,-4.886164,1.846657,0.7449474,-2.643192,-2.300451,0.9762688,0.4635735
-2.631997,-3.202278,0.4993553,-2.729736,-3.713788,-0.4043159,-0.05681229,-0.3622227,-3.901889,0.2239838,0.5821056
-0.9689808,0.8599968,0.861351,-0.01458549,0.4856873,0.741312,0.4331818,-0.1105518,0.5133018,0.1898918,1.569956
-4.079432,-3.795986,-0.1716442,-2.494671,-3.405641,0.3554039,-0.516573,-3.061082,-2.710611,-2.294459,-0.9969673
-3.330849,-3.795986,-0.1716442,-2.494671,-3.678019,0.3554039,-0.516573,-3.00147,-2.710611,-3.144589,-0.9969673
-3.888278,-4.075851,0.9807549,-2.795653,-1.70936,0.3347664,0.750351,-2.558474,-3.678679,0.1504002,0.2019711
0.4402924,0.6771584,2.307497,0.01179695,1.111177,1.949701,1.50815,0.4340343,0.2813816,0.7716923,1.90881
0.4402924,0.6771584,2.307497,0.01179695,1.111177,1.949701,1.50815,0.4340343,0.2813816,0.7716923,1.90881
-3.502983,-0.8259277,-0.7871132,-3.475522,-1.070887,-0.7312279,-1.367334,-2.908316,-2.720756,-0.6789112,-0.5409584
-0.2703381,-0.01461411,1.43104,-0.06637955,-0.3865204,1.240496,0.9131451,-0.4677296,-0.2496948,0.02560234,1.488129
-0.2703381,-0.01461411,1.43104,-0.06637955,-0.3865204,1.240496,0.9131451,-0.4677296,-0.2496948,0.02560234,1.488129
-2.724512,-2.965927,-2.75521,-3.399182,-2.270914,-0.9475098,-3.829206,-3.289909,-2.526544,-1.231302,-2.507057
