Intensity,Intensity LEIBR,Intensity LEIDO,Intensity LEIIN,Intensity LEIAM,Intensity LEIMA,Intensity LEITA,Intensity LEITR
2138600,0,0,0,2138600,0,0,0
29709000,29709000,0,0,0,0,0,0
362150000,0,0,0,361220000,0,0,925340
157680000,0,0,0,0,0,157680000,0
231110000,0,231110000,0,0,0,0,0
5322900000,0,0,0,5322900000,0,0,0
17175000000,0,16416000,0,17159000000,0,0,0
1107600000,0,0,1101600000,0,5478300,0,529960
132650000,0,55293000,74742000,2614200,0,0,0
442300000,0,2489000,0,439810000,0,0,0
11962000,0,0,0,0,11962000,0,0
6302100,0,0,0,0,6302100,0,0
16948000,0,0,0,0,0,16948000,0
12614000,0,3116900,0,0,7334600,2162100,0
84227000,0,0,0,0,76502000,0,7725700
4985400,0,0,0,0,4985400,0,0
1852200000,62414000,548270000,186520000,0,653820000,382240000,18988000
13554000,0,0,0,0,3420800,10133000,0
86937000,0,5090600,38161000,5414400,35413000,0,2859000
302980000,0,30173000,3502800,6890100,78530000,166340000,17545000
617800000,12781000,77008000,102580000,41453000,126900000,257080000,0
78050000,78050000,0,0,0,0,0,0
1097300,0,0,0,0,1097300,0,0
2207000,0,0,0,0,2207000,0,0
6453500,0,6453500,0,0,0,0,0
22458000,17730000,0,0,0,3830000,0,898480
392020,0,0,0,0,392020,0,0
402970,0,0,0,0,0,402970,0
77267000,0,0,9093200,0,63734000,0,4440000
16834000,0,0,10864000,5969500,0,0,0
468670000,4384000,0,0,0,464280000,0,0
36515000,0,0,0,884360,7235700,28395000,0
55686000,0,33965000,10094000,0,7624300,0,4003400
203290000,0,133070000,17250000,0,51734000,0,1236200
201580000,0,0,0,0,201580000,0,0
402620000,0,200250000,10696000,44166000,134030000,10520000,2951900
56623000,0,0,0,10277000,9195800,27000000,10150000
37476000,0,0,0,0,1864100,35612000,0
1459000,0,0,0,0,1067700,0,391300
14298000,0,0,0,0,0,14298000,0
12676000,0,0,0,0,8055500,4620700,0
117980000,8748200,13602000,22086000,12257000,13719000,45926000,1645800
126000000,0,0,5245900,0,120750000,0,0
339400,0,0,0,0,0,0,339400
286560000,1797500,105050000,38140000,8637500,103910000,0,29035000
13334000,0,0,0,0,13334000,0,0
132330000,0,10826000,0,0,33773000,0,87735000
13565000,0,0,0,0,13565000,0,0
53341000,2624600,4181300,0,0,17146000,25315000,4074400
13613000,0,0,0,0,935380,12678000,0
857500000,46758000,76287000,42149000,109700000,370690000,203150000,8769900
54030000,0,0,0,0,0,54030000,0
34314000,0,0,0,0,27563000,6751300,0
25238000,0,0,0,0,25238000,0,0
2659300,0,0,0,0,1980700,678600,0
54417000,6816800,0,0,0,47600000,0,0
1276600,0,0,0,0,1276600,0,0
22720000,0,0,0,0,0,22720000,0
25111000,0,0,0,0,25111000,0,0
24279000,0,0,0,0,24279000,0,0
33674000,0,18170000,0,0,15504000,0,0
72292000,0,41250000,1983700,0,29058000,0,0
9063700,0,0,0,0,9063700,0,0
308760000,0,35136000,54547000,22358000,132640000,56350000,7732000
51789000,0,19884000,31905000,0,0,0,0
7675500,0,0,7675500,0,0,0,0
72048000,0,0,72048000,0,0,0,0
80248000,0,54297000,25951000,0,0,0,0
21039000,0,0,0,0,20093000,0,945730
1834300000,67827000,133450000,245480000,57493000,80026000,1227300000,22713000
746920000,18098000,495920000,50408000,0,81272000,95806000,5416200
7111500,0,0,7111500,0,0,0,0
39210000,0,21296000,17915000,0,0,0,0
7507800,0,0,6893200,0,614670,0,0
2418500000,99440000,170680000,115850000,97080000,1579300000,276430000,79730000
15564000,0,0,0,0,13663000,0,1900500
4241300,4241300,0,0,0,0,0,0
392510000,371830000,20688000,0,0,0,0,0
5730100,5730100,0,0,0,0,0,0
5633900,0,0,0,3825700,1808200,0,0
38053000,0,24388000,3689500,7706900,1188300,0,1080600
17952000,0,0,0,17952000,0,0,0
22705000,0,0,0,0,0,22705000,0
105060000,0,4879700,0,77453000,0,22732000,0
5992200,0,0,0,0,0,5992200,0
55892000,0,0,0,55892000,0,0,0
1518200,0,0,0,1518200,0,0,0
140800000,0,1497000,0,89785000,47306000,0,2213400
95011000,0,0,0,0,906380,94104000,0
3072500,0,0,0,0,0,3072500,0
32674000,0,0,0,0,0,32674000,0
6885500,0,0,0,6885500,0,0,0
190650000,0,20131000,26371000,47631000,0,93570000,2948400
30314000,0,0,0,30314000,0,0,0
369050000,43927000,0,0,94179000,0,230940000,0
251740000,0,0,0,31864000,11187000,206780000,1912000
238040000,0,0,0,238040000,0,0,0
14903000,0,0,0,14903000,0,0,0
86463000,0,0,0,86463000,0,0,0
48827000,0,0,0,16099000,0,32727000,0
5996500,0,0,0,5996500,0,0,0
2303700,0,0,0,2303700,0,0,0
57403000,0,0,10585000,46818000,0,0,0
18537000,0,0,0,0,0,18537000,0
2320200,0,0,0,0,0,2320200,0
1668800,939490,0,0,0,0,729360,0
12820000,4270200,0,3838100,4452000,259950,0,0
1141400,0,0,0,1141400,0,0,0
6444100,0,0,0,6444100,0,0,0
1524700,0,0,0,1524700,0,0,0
4610200,0,0,0,4610200,0,0,0
39963000,0,0,0,39963000,0,0,0
571320000,20958000,264470000,15751000,213940000,41185000,14616000,401020
45101000,0,0,0,45101000,0,0,0
31309000,9266900,0,0,14922000,0,7120200,0
20183000,0,8349600,0,11649000,184560,0,0
3023600,0,0,0,3023600,0,0,0
11807000,0,0,0,0,0,11807000,0
18942000,0,0,0,18942000,0,0,0
4800800,0,0,0,4800800,0,0,0
2557000,0,0,0,2557000,0,0,0
557110000,0,0,0,557110000,0,0,0
1951800000,0,0,0,1907500000,0,44273000,0
259700,0,0,0,259700,0,0,0
82515000,0,0,0,75903000,6612000,0,0
13692000,0,0,0,1776300,0,11916000,0
6677000,0,0,0,6677000,0,0,0
1634900,0,0,0,0,0,0,1634900
134320000,0,0,0,134320000,0,0,0
5034000,0,0,0,5034000,0,0,0
22783000,0,0,0,22783000,0,0,0
5685100,0,0,0,5685100,0,0,0
19182000,0,0,0,19182000,0,0,0
43112000,0,0,0,43112000,0,0,0
19366000,0,0,0,19366000,0,0,0
4858800,0,0,0,4858800,0,0,0
62064000,11215000,0,0,50849000,0,0,0
2365900,0,0,0,0,1173300,1192500,0
214550000,0,0,0,0,0,214550000,0
80621000,0,0,0,80621000,0,0,0
17208000,0,0,0,17208000,0,0,0
45043000,0,0,0,45043000,0,0,0
1037700,0,0,0,1037700,0,0,0
49609000,0,0,0,4998100,0,44611000,0
7582800,0,0,0,7582800,0,0,0
8211300,0,334090,0,0,0,7877200,0
5027300,0,0,0,5027300,0,0,0
7597000,7597000,0,0,0,0,0,0
66189000,0,0,0,23424000,0,42764000,0
6231500,0,0,0,6231500,0,0,0
32268000,0,0,0,32268000,0,0,0
45662000,0,0,0,45662000,0,0,0
36527000,0,0,0,10484000,20979000,5064300,0
150440,0,0,0,0,0,0,150440
396670,0,0,0,0,0,0,396670
5205700,0,0,0,5205700,0,0,0
12544000,0,0,0,12544000,0,0,0
12042000000,1127900000,595290000,1416500000,818310000,606210000,7332400000,145650000
15889000,0,0,0,13935000,1953800,0,0
24384000,0,0,0,0,0,24384000,0
1456500,0,0,0,1456500,0,0,0
8460700,0,0,0,8460700,0,0,0
376500000,0,0,0,16251000,0,358350000,1895600
2493900,0,0,0,2493900,0,0,0
354660000,0,0,0,17728000,1840900,333220000,1874100
242440000,38534000,0,0,23642000,35997000,144270000,0
4293500,0,0,0,4293500,0,0,0
61772000,0,0,0,54098000,0,7673900,0
36893000,0,0,0,36893000,0,0,0
26972000,0,0,0,26972000,0,0,0
218340000,97578000,0,0,91569000,0,29196000,0
15385000,0,0,0,15385000,0,0,0
11964000,0,0,0,0,0,11964000,0
35796000,0,0,0,35796000,0,0,0
412570000,16172000,107980000,15233000,51005000,47652000,163740000,10792000
75161000,0,6950900,14029000,0,0,51565000,2616100
110980000,0,0,0,17286000,0,93694000,0
128410000,0,0,0,5278200,0,123130000,0
12538000,0,0,0,12538000,0,0,0
623290,0,0,0,0,0,0,623290
104990000,0,0,0,9097700,876850,93863000,1153800
112610000,0,0,0,883320,0,111730000,0
13794000,0,0,0,0,0,13794000,0
89613000,0,0,0,89613000,0,0,0
157420000,0,0,0,7323600,0,150100000,0
1058800,0,0,0,1058800,0,0,0
33037000,0,0,0,0,33037000,0,0
14254000,0,0,0,14254000,0,0,0
30213000,0,0,0,30213000,0,0,0
14175000,0,0,0,14175000,0,0,0
10955000,0,0,0,0,0,10955000,0
3217900,0,0,0,0,0,0,3217900
4041200,0,0,0,4041200,0,0,0
94668000,0,0,0,94668000,0,0,0
9188700,0,0,0,0,7401400,0,1787300
1034900,0,0,0,0,0,1034900,0
2341100,0,0,0,2341100,0,0,0
19806000,0,0,0,19806000,0,0,0
17515000,0,0,0,17515000,0,0,0
319510,0,0,0,319510,0,0,0
21413000,5159000,0,0,16254000,0,0,0
30608000,0,0,0,0,0,30608000,0
18577000,0,0,0,0,0,18577000,0
35637000,0,0,0,35637000,0,0,0
1781900,0,0,0,1781900,0,0,0
10218000,0,0,0,10218000,0,0,0
9785300,0,0,0,9785300,0,0,0
204070000,0,10742000,0,193320000,0,0,0
5159600,0,0,0,5159600,0,0,0
64959000,0,22659000,13805000,28495000,0,0,0
220960000,125020000,66478000,0,29458000,0,0,0
15717000,3479900,4645500,3105000,938210,3548500,0,0
254300000,49499000,128260000,5292700,34885000,0,36364000,0
181770000,29166000,0,0,152600000,0,0,0
432260000,0,0,0,0,1267900,430990000,0
30632000,0,0,0,5206200,0,0,25425000
333890000,0,0,0,333890000,0,0,0
2455000,0,0,0,2455000,0,0,0
9813200,0,0,0,9813200,0,0,0
4738200,0,0,0,979060,764630,2994500,0
896310,0,0,0,896310,0,0,0
11158000,0,0,0,11158000,0,0,0
124760000,6680200,0,0,118080000,0,0,0
836220,0,0,0,836220,0,0,0
95089000,0,52024000,9562400,4718300,0,28785000,0
305750000,0,0,0,305750000,0,0,0
5742500,0,0,0,5742500,0,0,0
156740000,0,0,0,156740000,0,0,0
5080300,0,0,0,5080300,0,0,0
57250000,0,0,0,0,0,57250000,0
26555000,0,0,0,14499000,9162200,0,2894500
4585600,0,0,0,0,0,4585600,0
75400000,0,0,0,75400000,0,0,0
16660000,1561000,7608800,893910,4258600,1132600,0,1204800
5544200,0,0,0,0,0,5544200,0
111030000,0,12793000,36681000,43755000,17800000,0,0
4365900,0,0,0,4365900,0,0,0
16307000,0,0,0,0,0,16307000,0
3335400,0,0,0,3335400,0,0,0
17918000,0,0,0,17918000,0,0,0
1508500,0,0,0,1508500,0,0,0
1604000,0,0,0,1604000,0,0,0
21426000,0,14856000,0,6570600,0,0,0
503630000,365250000,473710,8358500,129540000,0,0,0
101410000,0,0,0,101410000,0,0,0
2051400,0,0,0,2051400,0,0,0
13409000,0,0,0,12665000,744490,0,0
27537000,0,0,0,27537000,0,0,0
7207400,0,0,0,7207400,0,0,0
215100000,3841400,0,0,193710000,17543000,0,0
1847800,0,0,0,1847800,0,0,0
12395000,0,0,0,0,12395000,0,0
367950000,0,0,2805500,365150000,0,0,0
101020000,0,6594000,956830,50262000,19650000,17895000,5664300
13710000,0,0,0,13710000,0,0,0
1373800,0,0,0,536090,837740,0,0
23886000,0,0,0,17275000,6611300,0,0
11327000,0,0,0,11327000,0,0,0
5454100,0,0,0,0,0,5454100,0
8531700,0,0,0,8531700,0,0,0
21254000,0,0,0,1201900,0,20052000,0
9792200,0,0,0,9792200,0,0,0
83512000,0,0,0,83512000,0,0,0
1989400,0,0,1989400,0,0,0,0
659060000,0,0,0,659060000,0,0,0
254250000,41412000,19667000,43166000,4118200,12334000,131140000,2405900
89149000,0,0,0,89149000,0,0,0
1639500,0,0,0,1639500,0,0,0
1918100,0,0,0,249190,1668900,0,0
62553000,0,0,0,62553000,0,0,0
563460000,0,0,0,76716000,0,474710000,12038000
45865000,0,0,0,5913400,39952000,0,0
538610,0,0,0,0,538610,0,0
7715100,0,0,0,7715100,0,0,0
