LFQ.intensity.1.2M.urea,LFQ.intensity.2.2M.urea,LFQ.intensity.3.2M.urea,LFQ.intensity.4.Std.Wash,LFQ.intensity.5.Std.Wash,LFQ.intensity.6.Stad.Wash,LFQ.intensity.7.LiCl,LFQ.intensity.8.LiCl,LFQ.intensity.9.LiCl,LFQ.intensity.10.Std.1.wash,LFQ.intensity.11.Std.1.wash,LFQ.intensity.12.Std.1.wash
29.23544121,28.95867348,28.89223671,27.2017231,27.32380104,27.05693054,27.14753914,26.62142754,27.03831482,27.01350403,27.04374695,26.55177307
32.22193146,32.02303696,31.7102623,30.37056732,30.42562485,30.04374695,29.30449867,30.2437706,29.68185616,29.88556099,30.10873795,29.76156044
25.75674438,24.7523098,24.48670959,,,,,,23.40989304,,,
,24.03246307,23.80793762,,,,,,22.62162781,,,
,24.05854225,23.68217468,,,,,,,,,
23.74868011,25.79054451,24.45757484,23.70503807,,,,22.93135262,22.6303196,,,22.74816895
27.77693367,27.86808968,27.28911972,26.17829895,26.14903259,26.45425224,24.75796509,25.7796154,25.12127495,27.20153618,27.42550468,27.62540436
,,,,22.68641281,22.18631363,,,,,,
,24.19955444,23.85965538,24.01520729,24.04234886,24.2256012,23.76536942,,23.91506386,24.04942894,,
,,,24.32505417,24.4432888,,23.07314873,22.51491928,23.29501915,23.45462799,,23.23762703
,,,,23.31589508,,23.778965,,23.71795654,,,
,,,24.01435661,24.09836388,23.79312706,24.59929085,24.84943008,25.09675789,23.74909019,23.43478966,24.06225204
23.36064911,25.07165146,24.14413834,23.19361115,23.37491035,,,23.17447662,,,,
27.19638634,26.87853241,26.92919922,27.79606438,27.7507267,27.26481247,27.12267685,27.44852829,26.96971893,27.93263817,27.86914825,27.78081703
28.7930584,29.27288628,29.36684227,22.65933609,24.27852631,23.64251328,22.87582779,22.42787743,,,,
25.98106956,25.46207619,25.77059555,25.39100075,25.86547089,25.79451561,25.04797554,25.33766365,25.12439346,25.87157059,25.68447685,26.18842888
24.56616211,24.24858284,25.31499672,24.56912041,24.8657074,,24.38165855,24.59046555,24.51062775,23.42854309,23.73902702,23.19020844
24.08204651,,,24.48025131,24.2448864,24.3398056,25.29056168,24.9591217,25.04959679,23.7634449,23.98450661,23.38179016
27.93567657,27.72734833,27.76679802,28.89882278,29.07393074,28.91880417,28.35716248,28.77259827,28.30077362,28.87414169,28.8447876,29.27413177
24.20426369,24.77856255,24.46450806,29.19509506,29.3510437,29.64517784,30.14831352,30.19389915,30.46099854,28.63325691,28.87229347,28.74506187
,,23.04942894,28.12716293,28.03962326,28.23690033,28.45791054,28.37761879,28.53229904,27.28700829,27.48608017,27.1484108
,25.81758118,25.05573082,24.04710197,24.49503136,23.91195869,,23.35863876,24.05125618,24.5120163,24.41931152,24.50603294
,,,26.17936325,26.23534966,25.64685822,25.00654411,25.04980278,,26.14823723,25.96225739,25.95947456
25.17942047,25.30990601,25.22475433,27.74848747,27.75697327,28.18144035,28.73670006,28.19573021,28.65437698,26.90736008,27.25493813,26.9225235
28.28277206,29.2652607,28.98587418,24.58571815,24.82420158,25.01137352,23.90784073,25.25965118,24.3801384,25.00109863,25.39561653,25.05635071
23.77323914,25.14573288,25.77560234,29.85782051,29.74647141,30.11532784,30.66144371,30.834095,30.80593491,29.41239929,29.65712166,29.39770699
,,,23.27696419,23.66698265,23.51593018,24.3521862,24.03431129,23.97140884,23.8439312,23.7424221,23.82784081
,,24.76663399,25.71473694,25.21352577,26.23567772,26.03082085,25.36629677,26.02955818,25.09333611,25.40129089,
,,,,,,,24.45701027,24.17363739,,,
,25.16415215,,24.87843895,24.74786186,24.04576874,24.27042007,24.17919159,,24.58794975,24.88943672,24.39617157
,,,27.62373161,27.47289848,27.69889259,28.78450394,28.9088192,28.68679047,26.89353943,27.01148033,26.4132061
,,,24.10661316,23.69922256,23.76769447,23.64339447,23.80084801,23.2497406,23.67141724,23.64317322,23.47593117
,,,,,,22.38313484,,22.61234283,,,
,,,23.81860542,23.61728477,,24.14421654,24.54710197,24.61689186,24.34265518,24.65463638,24.57940102
,,,24.09707832,,24.12966919,24.36325836,23.73231316,24.22552681,24.07013702,,
,,,23.4168663,23.75174713,23.81421089,24.27859688,24.34136772,24.15938759,23.14563179,22.39236259,
24.87150002,25.15201378,25.43536186,27.52544594,27.40940857,27.23653603,26.96124268,27.12188721,27.08881378,28.07678795,27.8919754,27.77756119
,23.05319786,23.00542259,,23.4126091,,22.82121658,,,,,
,,24.18040657,23.34529877,,23.30173302,,,,,,
23.12196159,,22.16995811,22.68341827,23.03353882,23.06325722,,,,22.26184082,22.13939857,
28.75941849,29.95684624,29.54032326,25.05531693,25.28985977,24.58514404,26.14938164,26.53835106,26.42785454,24.72619247,24.84943008,24.91164017
,,,24.95575523,25.22132874,25.49359703,25.64694023,26.04331017,26.13281059,25.85293388,25.18226433,26.15618706
,,,22.74996948,23.03880501,22.66129494,22.65652466,22.39183998,22.8687439,,22.73289299,22.89823914
,23.54839706,,24.24619293,24.85386086,24.4291172,23.51833344,23.7135582,23.88567162,24.78131676,24.1611557,25.15360069
,,,22.67128754,,,,22.40135002,21.71401978,22.82008743,23.66199112,23.07791328
,24.39440536,24.6547451,25.75006104,25.92206955,26.09289169,27.11565018,26.6496563,26.99787331,25.43122292,25.63336754,25.47013855
,,,23.55004311,23.62265587,22.83418274,,,22.19020844,,,
,,,,,,23.24591637,23.47617722,,,,
27.42125511,26.22609711,26.13406372,26.26911926,26.66152954,26.04672623,26.05349541,25.77846336,25.76045418,26.69537926,26.63561058,26.66912079
28.26136589,28.67290115,28.94979668,25.29340744,25.73515701,25.80501175,27.09073257,26.86855888,27.09345627,25.74547768,25.73861504,25.86235237
,,23.55461693,23.69029808,,23.39283562,23.16367722,23.14943504,23.36452866,23.74427223,23.83470345,23.8190937
24.26090813,23.73065567,23.71554947,23.34759712,,23.17695808,,,,,,
,,,,,,22.44450378,22.57807732,22.9086647,,,
24.27597046,23.94181061,24.07594109,26.18803215,25.71696281,25.97934723,23.82590103,24.18918228,23.77404404,25.63084221,25.52716255,25.03157997
,24.44297409,24.26456261,,,,,,,,,
,,,,,,,22.94804764,22.75021553,,,
25.8593235,27.18744659,27.17417145,30.64194489,30.67446709,30.97814751,31.09049416,31.23728752,30.96726036,30.26102829,30.29032898,30.08398056
,23.63023186,23.95872307,27.03443718,26.77404404,27.23990822,28.54841232,28.31414986,28.46886444,26.48686409,26.92694092,26.70609283
,,,23.95251465,23.92831802,24.71785164,25.18279457,25.15054321,25.29484558,,,24.44252968
,,,,,,,20.95212364,21.35417747,,,
24.83388329,24.91889,24.80069923,25.88741684,25.52868271,26.22899818,25.53222466,26.2672081,25.85531235,25.4532795,25.76958656,25.97943497
25.93901062,26.5923481,27.07714462,24.16161728,24.09555054,22.69627571,24.28580856,24.3631916,24.94042206,22.84534836,24.01639748,22.33592606
23.92569542,23.82366753,24.77866364,22.41629982,,23.37875175,24.72468376,24.49228287,24.33306313,,,
,22.62994194,22.63320541,23.91287231,23.89855194,,24.76471138,25.01788521,24.7551136,,,24.19708061
,,,23.17372894,23.05430794,23.74416924,,23.13199425,,24.07365608,24.53830719,24.51556969
25.34099388,25.24078178,26.29293251,25.54639626,25.2235775,25.43730164,,25.30820656,24.97039986,26.25799751,25.96807098,
25.50957108,26.22648239,25.92603493,26.91319275,27.14569283,26.96829224,26.02373314,26.07600212,25.91086197,27.55618095,27.48500633,26.79054451
,,,23.96190453,23.6028614,,24.78481483,24.48339272,23.78276825,24.19069099,,
23.87623978,,24.21926308,24.05506897,24.39217949,24.46805763,23.39283562,23.88016891,23.37252045,24.17004967,24.19385147,24.51989365
26.37797356,26.05229378,25.91342163,26.69325256,25.11898041,26.44731522,25.14538193,24.99907875,25.87300301,26.19867325,26.41607666,26.23046494
,,,23.59491348,23.70788383,,23.17952728,23.46575546,23.27994347,23.552742,23.69296074,24.27660942
,,,25.90198517,25.61327171,,,26.80845451,,,,27.98201561
,,,,,,22.222435,22.52833748,22.2851181,,,
24.2473526,24.40820885,,,,,22.40322495,,,,,
,,,22.09555054,,,,,,22.34773254,22.87291908,23.04052734
27.96240044,27.4319725,27.45199013,27.77391815,27.73563576,27.68110275,27.19601059,26.8595829,26.71148491,27.54310989,27.46458626,27.43753815
,,,23.55133438,23.31672287,23.09237671,22.43872833,23.03818512,22.41908073,,24.05308151,23.72275734
