C1_liver,C2_liver,C3_liver,V1_liver,V2_liver,V3_liver
65.30421448,70.8928299,60.04738617,78.05522156,34.09466553,53.4659729
0.555312872,1.108383656,0.94968909,2.154657125,2.310270548,1.605365634
1.182596564,1.102005005,0.758119226,2.835690022,8.111810684,3.438324451
1.069058776,1.419720173,0.954229891,2.691896677,3.801440239,1.662994623
1.324527621,1.24441421,1.018360734,0.98952806,1.297522068,1.458670616
84.31617737,75.11422729,60.00131989,69.18254089,71.89186096,113.2531357
2.952539682,2.039167881,3.687604904,2.307248354,1.525722265,1.647332191
3.191367626,16.94182205,17.08170319,12.74977779,17.1368885,7.117805958
0.456335574,0.351937771,0.368859202,0.24733749,0.180758864,0.111951888
0.576876402,0.501478195,0.203405619,0.81065011,0.693188071,0.638226926
1.560929179,2.372937202,3.445427656,1.643918037,1.223672032,1.655013442
0.137035877,0.038275406,0.085096136,0.17209971,0.2442265,0.208925024
1.069960117,1.056279182,0.58971405,0.632413208,0.383017808,0.817595959
0.387415469,0.61590004,0.34885329,0.359608203,0.296439499,0.30777505
0.606309593,1.061045289,6.307460308,1.610258222,0.784381211,1.236960411
1.881435156,1.963555574,1.049159288,1.869456887,2.337070227,1.417565942
99.45572662,82.40310669,118.4659805,96.56635284,34.09466553,121.4066162
0.080824375,0.118431844,0.06364806,0.155437201,0.266732365,0.125621006
0.080613114,0.093534298,0.076954409,0.237823665,0.04558729,0.529488921
149.6966705,164.225647,269.4909363,198.7854004,127.7472153,181.6546478
0.576148391,0.115719803,0.238175765,0.29661265,0.272199273,0.105735928
0.109121539,0.425292492,0.156651646,0.057739928,0.825282753,0.096279681
0.435742766,0.457795024,0.556579292,0.641389132,0.916409075,0.953537166
2.097035885,4.091666698,2.758020401,10.9756012,9.374613762,11.57224274
1.241324306,1.079822898,1.656740546,0.301203907,0.348465353,0.577525496
0.071217872,0.260016829,0.244036078,0.108559467,0.065781832,0.083702959
0.138318613,0.339517295,0.164864615,0.257399827,0.282712042,0.065117091
0.045060959,0.117291078,0.053548533,0.084680311,0.177009568,0.100270368
0.599722683,0.149945349,0.481918991,0.765770257,0.425256073,0.748613656
3.095440865,2.478328705,4.495409966,4.629742146,3.958497047,4.344274998
2.776772499,1.895146132,2.762561321,0.691896677,0.452456921,0.51408875
0.069364995,0.138944298,0.165460184,0.169211045,0.459273875,0.084767193
9.760790825,10.80181503,12.16610146,9.130187988,4.255568027,12.31077576
7.340960979,16.13302231,7.054391861,20.1620636,40.36357117,18.74325562
0.814075232,0.360430747,0.719620943,0.251219958,0.122905225,0.205691695
1.078973889,1.124760389,1.009344935,0.925057888,0.888239145,0.946193039
2.0429883,1.618498206,1.421144485,0.831415892,0.939967573,0.939973056
0.06574107,0.624572217,0.67602253,0.782796085,0.717147589,0.981265008
0.069499046,0.077737354,0.131989732,0.091946572,0.10281866,0.096912466
0.488368869,0.360359073,0.471126348,0.346048087,0.248914793,0.411608219
