Intensity trophozoite 1,Intensity trophozoite 2,Intensity trophozoite 3,Intensity trophozoite 4,Intensity  pseudocyst 1,Intensity  pseudocyst 2,Intensity  pseudocyst 3
28972000,385540000,456690000,544770000,183740000,93176000,365080000
122020000,578550000,781230000,763330000,686790000,585030000,239130000
791550000,659180000,460240000,569490000,1150400000,1841200000,442440000
2033400000,2411000000,2029500000,2608000000,631010000,575470000,225300000
0,94581000,70764000,27812000,0,100880000,0
11423000,9730600,6530700,8830400,0,0,0
184980000,167720000,235820000,283810000,81009000,110370000,20613000
355780000,341200000,251180000,490590000,83734000,145720000,180760000
63414000,0,0,0,83513000,136620000,68005000
117150000,261410000,208870000,157490000,103270000,77728000,26282000
29246000,0,22448000,12365000,54194000,106290000,24717000
0,190570000,197150000,204610000,257110000,300980000,83016000
0,0,0,0,82881000,132220000,85585000
139190000,172360000,141250000,104320000,243060000,189590000,143070000
162490000,291830000,281420000,232800000,129980000,172030000,91804000
3316100000,3115900000,2123800000,2613700000,320650000,188360000,336570000
158000000,314640000,345190000,233940000,128820000,206850000,32453000
0,100350000,66407000,79240000,52081000,73730000,0
538620000,778220000,758840000,630180000,896710000,967090000,776270000
6028800,900980000,794900000,611830000,0,0,94776000
971630000,1464000000,834010000,1095100000,211170000,332230000,203140000
21273000,21498000,49351000,47703000,0,0,0
40378000,108070000,0,119800000,175880000,300700000,140190000
77922000,2358600,2539700,15414000,39692000,44395000,53464000
106620000,87869000,135000000,107240000,123680000,25511000,31761000
4293700000,7596500000,5796100000,5456200000,69956000000,53888000000,28945000000
244610000,219290000,25436000,136550000,101310000,109090000,39327000
267890000,66181000,61646000,245270000,165080000,211730000,142660000
126920000,191850000,152290000,148870000,0,54079000,0
0,130980000,22232000,0,42058000,0,0
5180100000,6089900000,5723600000,6547700000,17580000000,17874000000,12267000000
114720000,3773700,82306000,0,2094800000,2056500000,2565200000
846880000,787180000,1450400000,1579600000,6467900000,7539400000,6073500000
30013000,251660000,0,348890000,9352800000,11316000000,5863200000
551910000,536430000,881920000,731810000,858200000,565590000,498070000
884830000,2011900000,2083300000,1417000000,2285200000,2269600000,1156300000
276840000,320190000,313620000,440630000,1234100000,876060000,127600000
0,0,0,0,181610000,9005500,58077000
377020000,648350000,340710000,470520000,637040000,969780000,590680000
980980000,2794100000,1987800000,2433000000,3777400000,2783600000,5055600000
56755000,39814000,51453000,65835000,1840800000,1405700000,845850000
503790000,1065400000,1631400000,1378000000,6421200000,6451400000,1477600000
286070000,474530000,268760000,272860000,97165000,103560000,40261000
0,45583000,27638000,0,447290000,331780000,68761000
0,31447000,0,0,126250000,78685000,0
55228000,476380000,208020000,310180000,527290000,1000300000,348480000
52218000,22203000,27877000,5769800,0,0,0
339570000,375310000,336860000,257230000,153220000,82842000,103000000
1348100000,7718900000,9166200000,9363800000,42118000,43501000,35686000
166880000,197420000,159380000,180950000,969120000,1207300000,1197500000
38428000,22623000,19970000,10893000,142130000,183500000,40224000
0,0,0,0,134530000,71221000,0
64463000,40596000,81809000,27879000,50958000,99709000,261410000
0,213300000,155620000,300490000,23258000,0,0
116600000,701840000,702130000,628230000,4494300000,3987100000,1784400000
72787000,102430000,49384000,67355000,205550000,173970000,236710000
0,0,36107000,46790000,44658000,30134000,0
26091000,52383000,96582000,127150000,0,0,0
16766000000,29303000000,29505000000,28882000000,11971000000,11184000000,7380500000
36635000,95145000,52823000,43963000,121710000,41502000,26314000
1985800000,2058100000,1847800000,1865900000,1761600000,1076700000,702450000
21503000,107600000,89669000,116470000,0,0,0
11647000,81559000,0,0,151020000,157900000,49408000
70229000,51422000,66227000,136460000,0,0,0
6180000000,8058300000,9168900000,6648100000,1148400000,1605700000,1333000000
