LFQ.intensity.1.2M.urea,LFQ.intensity.2.2M.urea,LFQ.intensity.3.2M.urea,LFQ.intensity.4.NaCl x3 wash,LFQ.intensity.5.NaCl x3 wash,LFQ.intensity.6.NaCl x3 wash,LFQ.intensity.7.LiCl,LFQ.intensity.8.LiCl,LFQ.intensity.9.LiCl,LFQ.intensity.10.NaCl x1 wash,LFQ.intensity.11.NaCl x1 wash,LFQ.intensity.12.NaCl x1 wash
21.609,24.621,23.983,20.803,22.136,21.737,21.839,21.524,20.795,21.613,21.855,20.348
21.091,20.455,19.441,21.935,21.973,22.487,23.030,22.753,22.395,21.001,22.882,23.306
26.916,26.683,27.027,21.025,21.601,20.627,22.254,21.443,20.119,22.844,22.352,20.842
20.488,21.900,22.488,22.050,23.795,21.719,23.546,21.896,22.998,21.661,21.364,22.875
21.217,21.882,20.409,24.499,24.500,22.251,25.046,25.090,25.600,24.515,22.339,24.864
27.862,28.947,28.631,27.510,26.679,24.584,25.526,26.013,25.873,26.606,26.807,26.436
22.805,23.038,23.344,26.150,26.093,25.889,27.038,26.283,26.899,25.211,25.283,24.895
19.657,20.318,20.705,21.728,21.885,20.867,21.706,21.654,20.980,20.556,20.880,22.651
22.216,21.171,19.934,21.382,23.146,21.970,21.512,20.401,22.800,21.285,21.274,22.942
21.189,21.060,21.582,22.936,22.865,22.675,23.528,22.809,22.867,20.584,22.343,21.927
22.769,19.694,22.262,26.519,26.592,26.758,27.537,27.224,27.204,25.921,26.398,26.229
21.441,21.644,21.972,22.415,20.204,21.653,22.377,20.770,19.816,22.516,22.462,21.359
20.514,19.497,22.962,23.789,24.094,23.356,23.605,23.482,23.727,20.317,23.142,22.293
24.815,25.014,25.077,24.501,24.949,23.990,25.867,26.021,25.658,24.345,24.449,24.505
21.547,20.022,22.793,24.554,24.176,23.707,23.967,24.647,24.022,23.955,23.747,24.388
26.168,26.603,26.481,26.487,26.579,26.346,26.627,26.334,26.566,25.673,26.135,25.923
25.203,25.130,24.809,21.724,21.828,21.208,21.540,22.085,20.836,21.496,20.910,21.563
21.693,24.205,24.481,27.815,27.723,27.803,28.306,28.146,28.290,26.781,26.977,27.001
20.338,21.792,21.179,23.479,22.829,23.079,21.223,23.381,22.105,23.110,20.995,23.049
20.088,20.579,20.688,21.412,21.588,22.968,20.791,21.381,20.903,22.800,22.755,22.434
21.297,20.835,19.694,27.438,26.920,27.203,27.446,27.702,27.617,26.242,26.653,26.993
20.722,19.726,22.168,25.663,25.599,26.172,26.585,26.362,26.620,24.932,25.288,25.255
22.380,19.861,22.631,22.846,23.154,23.205,23.552,23.091,23.165,21.509,22.283,21.231
21.070,22.992,21.542,23.288,23.385,21.344,22.805,22.176,21.764,22.953,22.853,21.793
21.127,21.282,20.969,24.872,24.631,24.899,25.497,25.274,25.410,23.772,23.837,24.128
20.608,20.867,21.943,24.818,22.841,24.094,21.160,21.281,24.437,21.921,19.960,25.033
20.624,20.539,22.017,25.099,25.658,24.867,24.299,24.516,24.183,22.442,25.800,25.402
20.963,19.953,20.639,24.902,25.213,24.719,24.673,24.735,24.135,25.196,24.677,25.156
21.991,24.926,24.976,27.921,27.730,27.805,29.055,28.795,28.993,27.358,27.332,27.784
24.389,26.022,26.143,27.408,27.218,27.150,27.064,26.896,26.985,26.693,26.891,26.816
19.877,20.140,20.042,22.674,23.744,24.084,24.276,24.044,23.912,21.643,21.534,23.702
21.534,22.611,21.755,27.064,27.184,27.092,27.585,27.534,27.576,26.330,26.404,26.428
21.330,20.748,21.543,21.693,22.683,22.249,23.732,22.998,23.397,21.332,21.775,22.255
21.901,21.615,20.609,23.069,23.547,22.077,22.379,22.619,21.816,23.302,23.072,23.308
28.089,28.444,28.321,28.816,28.588,27.914,28.094,28.554,28.166,28.897,29.172,29.234
20.831,21.624,23.469,21.823,21.719,21.149,20.174,22.211,21.469,23.824,22.873,23.682
25.391,25.847,25.763,21.326,21.767,21.147,20.815,21.500,20.795,21.391,20.704,22.080
24.467,25.452,24.010,27.142,27.468,27.333,27.112,27.900,27.240,27.315,27.550,27.653
21.359,21.607,19.006,21.182,21.189,20.977,21.606,20.640,21.400,22.584,22.278,21.484
24.568,24.775,24.954,25.047,25.021,24.440,24.073,24.114,24.405,24.807,25.022,24.993
23.954,23.815,24.114,24.338,23.863,24.082,24.360,24.279,24.490,24.308,24.060,24.206
25.568,26.060,25.939,27.361,26.706,27.165,26.942,26.509,26.267,27.197,27.572,27.191
23.236,21.238,24.233,23.296,19.833,20.636,21.578,22.271,21.878,21.967,21.149,21.124
21.278,23.572,23.974,24.757,25.041,24.167,24.165,24.305,24.188,24.447,24.627,24.692
20.645,20.018,20.995,27.553,27.388,27.366,23.037,23.123,23.315,27.278,27.616,27.088
24.604,25.233,24.968,26.078,26.257,25.414,25.879,25.865,25.630,25.513,25.664,25.687
22.014,22.586,21.892,20.766,24.035,19.655,25.920,25.938,25.816,24.915,24.710,24.283
22.703,23.280,22.970,22.839,20.509,20.731,24.126,23.873,23.802,22.450,22.739,22.482
24.979,26.007,25.946,26.539,26.354,26.033,26.578,26.505,26.744,26.406,26.747,27.160
22.552,20.209,22.161,22.667,22.728,22.520,21.593,22.948,20.878,22.103,21.496,22.234
21.977,21.598,21.765,24.709,24.831,24.249,26.235,25.581,26.369,24.105,20.661,24.639
21.617,22.534,23.336,24.166,23.746,23.149,23.410,23.614,23.209,23.876,24.030,23.875
22.537,24.749,24.401,24.790,24.485,24.964,25.849,26.145,26.245,23.889,23.287,24.133
22.311,25.180,25.593,27.541,27.512,27.307,26.493,27.948,27.204,27.602,28.025,27.503
21.506,19.973,21.117,23.158,23.305,23.091,23.252,23.196,23.015,20.610,22.954,21.236
25.525,25.693,26.336,26.037,26.183,25.438,24.724,25.158,24.512,25.511,25.398,25.524
22.948,23.148,22.713,23.977,24.540,21.211,23.566,23.779,24.524,24.117,24.191,24.227
31.104,31.705,31.918,32.519,32.402,31.708,31.801,31.754,31.729,32.593,32.748,32.800
24.583,24.874,25.035,24.642,24.826,24.281,24.074,24.950,23.588,24.440,24.392,24.460
20.070,23.188,21.618,25.790,25.395,25.156,26.490,26.515,26.263,25.417,25.558,25.047
20.621,21.421,21.437,23.564,23.530,22.927,23.999,24.229,22.854,23.157,22.794,20.921
20.111,20.584,20.980,25.758,25.250,25.497,25.639,25.404,25.749,25.128,25.373,25.208
22.444,20.691,20.315,21.867,21.228,20.317,21.691,22.235,22.248,20.664,21.669,20.451
20.699,23.216,22.950,20.346,20.544,20.837,20.757,21.137,21.269,20.574,20.618,20.605
20.584,23.388,22.915,22.897,23.743,20.234,22.962,22.889,19.873,23.212,23.192,21.212
21.102,20.383,21.953,23.326,23.971,22.765,23.771,24.845,23.874,22.008,22.116,22.892
20.356,22.697,20.726,23.545,23.874,22.633,21.224,22.005,23.968,24.224,23.820,20.233
27.611,27.881,28.075,29.468,29.431,28.952,28.745,28.727,28.840,29.153,29.226,29.099
21.193,20.824,20.771,23.047,20.196,20.151,24.019,23.847,24.120,21.834,20.747,21.824
20.557,21.697,21.199,22.108,21.897,21.952,20.706,20.454,21.189,20.124,20.911,22.498
22.730,21.363,21.010,23.040,22.944,21.047,20.236,22.579,22.600,22.895,23.182,23.111
22.204,23.050,23.424,23.453,23.397,21.764,20.757,19.999,21.118,21.861,20.664,23.016
26.459,27.517,26.956,27.712,28.480,27.864,27.305,27.640,27.384,27.938,27.949,28.125
22.452,23.695,23.380,23.335,23.548,22.085,23.316,22.764,22.755,22.904,23.210,23.507
21.630,20.822,19.455,22.843,23.139,22.690,22.681,20.972,22.670,23.343,23.054,23.029
21.781,21.691,20.667,21.139,21.326,20.799,21.767,21.966,21.879,20.469,20.790,20.621
21.370,23.885,23.831,25.385,25.613,24.833,25.248,25.557,25.012,25.327,25.110,25.735
22.385,22.923,22.872,27.325,26.833,27.208,28.197,27.890,28.357,25.956,26.388,26.415
22.201,24.618,24.402,23.210,23.596,23.911,23.385,19.979,24.368,23.044,22.131,22.373
20.572,22.311,21.480,23.778,24.997,20.195,25.969,24.690,25.399,24.757,21.678,24.399
20.708,24.274,24.434,28.662,28.624,28.627,29.300,29.583,29.425,27.851,28.065,27.723
22.190,21.000,21.964,23.858,23.034,23.509,26.232,25.256,24.799,22.676,22.964,23.532
20.560,21.376,20.007,22.776,22.773,22.932,23.259,22.861,23.285,21.450,21.185,21.889
20.907,21.225,20.492,21.326,24.398,20.826,24.548,24.751,24.289,24.122,22.115,21.872
23.870,24.233,24.697,25.016,24.880,24.308,24.082,23.885,23.912,24.976,24.374,25.028
20.762,20.234,19.089,22.673,20.917,20.676,21.928,22.512,22.384,22.106,20.830,21.101
20.819,20.274,21.781,22.187,24.943,24.541,24.998,25.436,21.027,20.747,24.749,21.560
20.851,23.831,23.536,21.039,23.159,20.573,19.473,22.634,21.900,21.744,19.093,22.001
24.077,25.007,24.635,26.112,26.335,25.405,25.631,25.925,25.580,25.582,25.415,26.202
21.456,22.519,21.005,23.157,23.560,22.978,23.199,23.211,23.237,22.005,22.623,22.062
20.930,21.700,23.269,24.829,24.816,23.694,24.621,24.641,24.351,25.160,24.901,24.647
21.683,21.590,21.620,24.395,24.702,24.153,23.272,23.511,22.775,21.092,23.392,23.550
24.948,26.233,26.307,27.522,27.516,27.260,28.229,28.105,28.223,26.542,26.803,26.590
24.964,26.066,25.946,27.292,27.341,27.268,27.737,27.814,27.885,26.635,26.972,26.669
25.090,26.216,25.960,26.600,26.660,26.385,25.820,25.342,25.682,26.586,26.725,26.565
20.673,21.121,20.560,24.385,24.348,24.335,20.540,21.579,21.391,23.991,23.332,23.485
22.120,21.388,21.168,22.862,22.094,22.558,20.912,22.586,22.471,22.225,20.348,21.788
20.901,22.406,22.550,23.791,23.488,23.288,23.997,24.448,24.305,23.012,22.343,22.591
20.929,24.504,24.866,25.849,25.756,25.473,25.227,25.296,25.375,25.953,25.810,25.981
25.086,25.615,25.590,26.874,27.149,26.499,26.270,26.379,26.251,26.421,26.561,26.798
23.045,21.125,23.991,23.756,24.145,23.543,22.811,20.440,22.166,23.609,23.364,23.600
23.832,23.669,23.660,22.004,21.443,21.249,20.629,22.706,21.313,21.808,22.216,22.050
20.991,21.038,21.766,20.493,21.696,21.997,21.182,20.811,20.391,21.760,22.425,22.864
26.603,27.045,27.466,26.376,26.407,26.861,28.471,28.237,28.324,26.779,26.636,26.523
23.866,25.390,25.530,26.839,26.648,26.669,26.512,26.403,26.486,27.247,27.484,27.436
21.627,21.181,20.818,23.822,23.313,21.295,23.433,22.907,20.692,20.031,22.000,22.893
28.094,28.943,29.045,30.562,30.484,30.062,30.263,30.390,30.371,30.476,30.406,30.733
21.012,23.403,23.059,24.217,24.231,24.069,24.194,23.945,24.206,24.106,24.210,24.353
25.279,26.247,26.291,26.733,26.554,25.916,25.255,25.302,25.324,25.987,25.925,25.793
21.040,20.208,21.665,25.147,24.634,19.765,25.766,24.715,25.295,27.918,27.300,27.232
27.182,27.323,27.242,28.688,28.861,28.452,28.109,28.409,28.078,29.483,29.465,29.411
