1_Control,3_Control,5_Control,7_Control,8_Control,9_Control,11_Control,15_Control,19_Control,20_Control,23_Control,25_Control,26_Control,28_Control,29_Control,31_Control,33_Control,34_Control,39_Control,40_Control,42_Control,43_Control,44_Control,45_Control,46_Control,48_Control,50_Control,51_Control,52_Control,53_Control,54_Control,2_T1D,4_T1D,6_T1D,10_T1D,12_T1D,13_T1D,14_T1D,16_T1D,17_T1D,18_T1D,21_T1D,22_T1D,24_T1D,27_T1D,30_T1D,32_T1D,35_T1D,36_T1D,37_T1D,38_T1D,41_T1D,47_T1D,49_T1D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618264,424871,568200,516627,478269,369356,319483,511025,307925,273744,600893,271513,249054,280955,331205,338928,251089,200610,205231,205193,288694,256594,263375,266510,351875,215334,231317,247673,249691,231381,339270,326620,469539,970937,1527875,400474,493170,1168382,621918,641773,1778721,421870,295656,982713,615962,305497,355118,292157,280854,292078,256286,250882,334837,194545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98428,127439,147619,124407,167403,87759,92014,216004,195394,70738,107160,125625,92229,362970,79978,148971,76453,61983,186314,82659,47310,648300,37570,89802,173038,85082,46216,119546,167774,440456,284336,206990,183456,84233,183252,300314,122517,188584,106548,245470,183168,64177,751806,505115,197701,165397,525703,484572,49371,132364,132245,513425,577709,113722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43133,3447,1501,5128,4244,4743,4773,3920,1856,3360,13883,8172,3890,900,2437,2140,5731,16351,5999,853,3502,8755,2458,1548,3669,2662,1825,1441,4412,1932,379,3097,2199,9887,14095,24992,19667,11644,8621,9914,17297,13195,1397,82377,22831,3341,772,2060,8701,548,7534,13603,6422,9374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467075,554712,138975,133906,702144,140768,112748,121106,115847,67556,314130,220884,125035,145289,187981,248985,387178,320480,243185,2991442,190077,507199,86357,151821,171756,155724,169325,1338167,444182,215133,120416,337810,322777,188044,1446485,2912449,603945,1977610,159414,297524,4172551,167597,175205,4266923,3081958,159071,217434,170698,291482,156174,112138,158897,3171667,268312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19406,4252,2150,2379,5698,3487,1040,3130,1244,996,5417,2079,1586,3178,1129,4149,3133,4404,2916,26642,3427,4004,1663,1008,3468,556,1072,2006,7576,4633,1463,3693,6743,4654,9942,15989,10881,7609,3399,3051,8555,2922,4585,30971,12463,1084,1861,1412,3929,1276,2213,6407,16039,4023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222089,279819,231581,196553,339194,256550,175147,262447,294893,214668,303411,316683,258433,292426,236862,382695,159956,295537,157175,226721,136251,234721,200204,196563,192302,140270,142509,252418,241207,220135,225038,350413,365515,180420,284139,342175,246600,245541,192632,370750,252080,243285,541764,294706,333062,494493,468190,287804,283273,584482,208885,131961,337088,177036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97756,66523,46513,51980,66021,57535,57441,76603,51114,53855,102370,65509,70165,79893,76370,99083,62128,97272,58251,78241,53062,102052,51192,60118,77314,50655,55457,67810,75293,73999,61459,67390,67944,61615,85838,174265,114120,57851,76682,110168,83809,83650,88622,198098,124196,71832,69369,66336,77880,70607,49353,87419,83712,67696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73828,61457,44497,45105,81041,59606,23880,20956,45455,25944,48386,34304,40506,56862,47236,50680,35645,37963,39194,32458,38957,36237,45559,39162,46037,31555,28048,38275,31898,30012,39186,71906,64971,41480,78235,53558,58196,49016,39278,55954,55194,51714,35287,93785,72149,44002,33252,47364,53897,49616,33363,44969,46242,35735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88231,36258,42731,40032,35041,35516,39396,51158,56710,50192,64880,56842,55041,38559,31140,64758,55685,72803,40319,47705,52089,73881,54583,43032,60343,55013,48788,43788,55703,62532,60504,57875,49554,45176,54286,102260,91398,48139,51616,90111,91671,58445,106442,153915,71558,37849,39312,48525,47542,46224,42487,75276,116226,70993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750527,4334254,4106613,4031510,4787260,4238218,3904727,3830070,5469682,3268812,5620579,3563057,4348497,3859411,5144161,6136215,5429781,5718427,3327205,4077693,3246424,3348116,3413183,2298273,2676858,2084648,2056283,2194670,2258221,1964058,2669145,4839314,5666705,3775183,5155421,5005728,5643152,4761869,3966383,5683610,5165657,4630192,6712615,5385983,4264002,5611612,6571578,4066988,3528169,3673488,3220876,3493815,3708298,2247464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
