1_Control,3_Control,5_Control,7_Control,8_Control,9_Control,11_Control,15_Control,19_Control,20_Control,23_Control,25_Control,26_Control,28_Control,29_Control,31_Control,33_Control,34_Control,39_Control,40_Control,42_Control,43_Control,44_Control,45_Control,46_Control,48_Control,50_Control,51_Control,52_Control,53_Control,54_Control,2_T1D,4_T1D,6_T1D,10_T1D,12_T1D,13_T1D,14_T1D,16_T1D,17_T1D,18_T1D,21_T1D,22_T1D,24_T1D,27_T1D,30_T1D,32_T1D,35_T1D,36_T1D,37_T1D,38_T1D,41_T1D,47_T1D,49_T1D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690211,698333,583473,653963,742640,640007,548052,624071,854631,503903,863349,528838,692487,724042,808821,895121,898765,762758,540099,727713,654799,775786,846977,815556,909705,685043,756001,931205,771461,823415,834969,942738,891314,534253,728362,809899,723007,537793,613148,763009,525700,583000,776421,776541,685331,716847,1107324,652917,737379,716173,557897,657735,929331,756766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97735,167982,116071,105792,161915,94450,70450,143702,239709,185971,243307,187205,209188,237538,199750,197664,192104,139177,96257,79614,116771,99566,192347,236804,233981,131780,80612,138601,141763,147955,121317,218207,186446,80890,112105,141963,91982,135340,123934,138328,192651,172370,271225,102223,160109,180111,308001,206987,188863,160413,114155,82430,74170,68708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286179,281712,299252,289932,290929,272893,387155,357816,372895,426447,447374,400521,472725,333758,454181,343652,330932,384556,319195,245094,367748,250507,417275,371766,306946,419798,395299,325001,332479,277383,320377,321747,337619,299620,326862,329091,370847,291106,415306,495065,348158,423642,305230,304340,338543,356706,305972,304216,404450,334060,353726,214358,312027,373142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753000,848299,842636,735999,861945,757414,853296,794531,1219691,890325,875725,789622,917331,959959,860227,855199,856086,673498,1038158,962333,676652,1187397,1060688,1826702,1406781,1120755,954705,1438908,1460544,1156966,1381520,922189,1010109,735507,919230,934922,863949,962440,767972,889321,1665774,807087,1108998,989920,778142,979677,876191,1187434,706498,1233064,792694,1032674,1252257,916973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179118,136966,360045,219024,207604,282965,272671,212507,316090,333128,234362,274181,213360,151099,97326,122357,151917,131395,103740,114298,100309,165886,157425,213422,144207,133934,79361,153928,89616,69109,125797,139854,138446,272237,278302,200973,290678,217279,246579,160597,336605,269995,76079,59516,158122,106563,225073,120172,141031,106004,120501,105522,163463,81029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41366,11467,30422,53291,14255,33596,52309,34785,12694,33866,25271,30738,40522,5951,26918,19091,55975,49108,25625,23322,49230,4728,31085,10790,8497,35238,45422,10459,7185,13777,7940,14259,10121,58749,27042,8911,42083,20388,48357,19763,31869,30698,6774,30608,27860,21470,11741,7386,34505,10985,50561,32087,5027,35299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758166,505029,1058282,552282,594139,810742,284593,390542,688192,370589,506676,801594,656857,333020,807558,720374,250994,437510,607848,870945,555138,723416,945294,966855,1333635,1326149,1023628,970388,971032,395692,1143983,528654,319859,506690,733325,1121929,685633,505771,682187,802363,753293,537585,1175542,910207,604003,388693,496518,760327,372137,951092,353128,521713,1386440,704995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222990,202787,214026,159172,233940,279145,187042,169419,214334,82214,294717,253417,363387,138348,676598,1115275,214168,446761,343971,237713,226644,98510,399965,349495,202352,155017,311258,235771,141511,116852,241431,204512,194469,116438,298675,124358,350081,165595,295413,498028,172988,316351,71263,391098,222512,572302,256718,162039,316020,223860,254535,252771,143792,187121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16359,29735,17988,12920,24195,18503,12941,22929,26971,22463,43577,20893,22400,34369,40023,26194,34563,17727,22605,27654,12100,23095,18573,37957,42027,26807,14968,23604,29552,11999,34228,28242,28040,13016,18725,26761,13017,19984,13863,32394,19825,25810,30067,20615,22318,32221,53280,29041,20113,27977,16916,15449,27547,16750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166612,92997,147123,130388,109562,102856,151419,147694,155810,165499,177743,151487,229809,113250,184658,184527,126620,227222,125701,161944,150560,96066,177022,124554,84413,111478,140957,111402,145674,128292,65324,109530,111153,137722,170608,145757,193923,136419,199177,147462,182521,155581,120072,177418,171248,134612,77588,65008,211938,82032,147336,117971,91288,119217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5101,7608,8846,8054,9176,8560,7814,9423,8766,7205,7092,13483,9497,5487,9166,7617,5618,5754,26966,6418,6540,5501,4792,6970,9068,6084,6492,7838,7994,7687,7109,7320,8403,8042,10338,9131,10709,4403,10233,14410,9800,8493,10609,6787,8583,5359,6320,6895,7749,10119,7750,4487,3041,3903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59678,91404,65667,60762,78507,69127,61358,55909,58712,62082,69034,45537,73686,71326,79917,88758,61599,64912,73977,78616,69964,81443,83076,96467,91050,65584,25927,100966,102880,95745,123468,99827,93189,54743,75508,52546,50271,58438,54895,68422,58839,61333,160127,48346,41967,60620,82239,92762,81679,107190,85178,83690,59509,64097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52087,58874,51390,41638,68119,57591,28154,42688,82399,48867,67479,57962,66040,75572,77290,98144,56998,51275,40991,41375,34725,32806,58919,78850,70207,52530,97871,64394,58749,42086,60937,66625,72416,32229,65574,73701,53858,50796,51182,70202,47294,47464,97205,63525,57265,63920,74765,55409,58417,56558,33931,28846,51017,38983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39652,21821,18536,19522,24430,19404,17287,20218,31016,20227,29936,20532,30122,16095,32048,31085,29969,30125,22095,20534,25360,19987,31477,35556,30003,26306,24279,24975,20215,21754,20526,32018,31431,15176,27745,24670,33349,27063,26751,23021,22818,20123,26736,28497,21926,19004,24342,17669,31804,18314,20155,16945,33822,20951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220222,362478,184188,160353,312303,206571,150717,269787,242163,164425,349127,196107,199095,266488,303619,299741,261496,193233,196200,214965,172854,199062,245887,442060,552101,251380,196261,388101,377122,326856,426836,480928,418898,142823,230101,333508,234546,231905,165096,241474,200596,178966,195235,286189,228233,272041,490897,250940,211901,265481,203789,294678,240951,193251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55628,37974,69198,65178,54770,54141,64140,58518,134149,82948,65693,73423,80530,100780,73490,92616,65211,52863,47927,60617,47643,33257,84897,76970,66287,88666,69556,76212,81960,45923,56695,45373,43579,61983,60045,58342,58841,59141,69714,164608,82789,74423,48523,72055,69554,81080,66754,49684,55097,72804,56078,48942,82048,60579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81356,41437,91601,133428,42996,54736,218625,259827,96794,255693,88670,138598,200737,62411,23956,79903,173832,287074,35407,144079,200928,58736,18135,17762,20827,179803,70610,75863,67532,220580,37191,38120,34765,158744,50998,25886,56214,72726,216361,70190,146420,141539,40813,42444,142768,42398,82179,74510,164654,68166,324510,222471,15313,152352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060,3115,2133,2190,2310,2461,2688,5061,4368,4471,7528,6905,6917,1923,2791,3717,4876,3488,1957,2878,2097,9130,6136,4708,3850,1078,3915,4430,3327,6808,1052,3243,3571,1360,2787,2316,4209,1998,6749,8120,8476,5286,4770,4090,4582,2052,1894,1022,4301,896,3233,5235,5311,3248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128245,235437,131113,126679,204804,142302,133685,129122,178227,142381,179602,151680,148697,273345,209051,291864,195278,161538,133770,160554,143370,195339,170763,325774,320287,140425,149544,232724,238808,208338,323880,224956,263645,108000,167490,227084,129528,169487,137929,153668,116311,153192,250871,144015,155213,223270,366971,212881,147965,213638,128998,187476,260667,144056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15179,3110,6212,3427,943,3773,2015,3226,2526,2710,2866,3262,4562,1213,2139,1884,3948,2109,3460,4581,2597,5466,2592,2893,3682,6153,3581,2491,3491,5833,3499,1941,2246,2521,4641,2959,4514,3131,2138,2566,6064,1795,4355,21517,4294,1699,1949,2792,1394,2602,2735,4601,3883,2625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949948,1888634,2143267,2180577,1864231,1988002,2113343,2222686,1786502,2031646,2355189,1981714,2761320,1529857,2024469,1940045,1471844,2429651,1704899,804831,1709438,1438384,1483364,1004727,2183803,2455040,2040142,1531999,1418237,1532634,1930763,2229666,1919671,2125255,1991492,1391154,2281111,1458861,2581235,2219615,1387944,2199591,1844351,1260245,1314432,1844003,1538575,1303290,2154874,2075809,2019196,1860915,1270058,1698895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596417,578632,580669,632119,528470,583681,570265,701092,667413,756142,951289,705551,870295,583103,518858,849017,811423,923011,643564,838583,692312,924286,778396,909373,1118530,991672,1171717,807940,820735,1024667,854728,703853,551075,555349,621822,744148,766288,626073,670509,814547,1028478,788745,579950,1543033,857751,666151,543398,668330,698479,556123,685998,847771,1336863,877564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591102,574395,502769,514046,579985,510077,551071,599387,725001,552798,753815,598628,658669,600749,672277,665699,560845,691124,483458,471228,520224,840575,705696,773249,836144,600127,580864,702921,734415,753686,706049,650225,701024,490168,591671,649892,635768,516282,616512,647655,695128,550305,695508,589518,534199,601302,756608,634662,722164,615449,587049,559980,723813,549444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703259,2836135,1736969,1402333,2323476,1797106,1328123,1691598,1906451,1527517,2074199,1705671,1596404,2511527,1901101,2122332,1723340,1434109,1400619,1101665,1215480,1573151,1631475,2635450,3336139,1496397,1277990,2432779,2294993,1887565,2966432,2615741,3260596,1228118,1878678,2347271,1543678,1943382,1287588,1854833,1801184,1672034,2548451,1483433,1365088,1912102,2923228,1842922,1398713,2151014,1199384,1379999,1718544,1351212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924715,2333500,1712232,1322353,2136788,1853227,1052841,1414401,1834040,1320335,1987755,1536894,1725292,2208597,2339320,3102538,1652086,1542865,1491930,1245450,1308360,1464601,1836323,2575755,3531083,1814477,1919297,3581322,2425126,1478828,3076123,2315164,2780899,1082056,2231825,2167987,1838145,1668302,1573866,1908655,1567571,1516164,2193999,1911298,1441269,2116996,2464186,1763882,1538082,2280609,1170694,1552568,2698082,1580676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32755,28334,31253,38314,31523,28286,45114,50141,41929,33994,35169,31689,43184,27106,38075,41857,45392,47160,40394,32365,45449,42165,43549,38928,33411,35296,39226,35899,32761,44650,27942,29614,33218,54347,39363,36205,42977,30434,44881,31401,31350,28651,36480,33669,34593,32147,42688,31940,42134,32774,60014,35410,36711,35074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11062,13979,11458,8242,13110,11431,6462,6310,14042,8466,14795,9077,12469,13248,14060,15619,10147,11362,12052,8019,7546,9744,14041,15401,19673,15130,4181,22224,20015,14211,32733,13710,17639,7616,10437,12708,11374,9832,7142,11364,8341,12904,11567,10409,10468,10777,14261,14724,13316,15009,7185,14266,17682,13605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566334,742935,694628,528865,692181,696158,414658,546688,630053,501153,696395,692255,641983,818156,682569,706905,475412,470807,496401,466651,469768,712868,598382,658110,1013995,843803,689023,837212,901643,694151,838467,765791,748038,588381,653606,774197,705442,669613,589086,842746,646257,577736,688544,541257,509738,552077,724222,723369,561579,804696,457587,476016,656773,544453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337123,395849,305926,273330,429048,286881,266943,310425,433337,291825,393903,301236,345927,407880,379443,435504,306923,283184,283034,303308,280980,400239,390516,576543,527468,327652,322543,437155,461068,419612,597960,461734,477206,222772,404913,477059,372152,346366,279239,378314,269354,303119,484146,336540,293362,328233,466901,370110,340881,424016,264351,282649,468682,351640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13016,88813,18144,18611,43678,15799,13438,9890,13179,7152,12803,9080,6822,105673,21935,16087,11730,12791,14540,15704,14127,17325,22950,80266,60173,19724,191850,85699,70700,29045,95381,128701,127341,13459,16320,114599,12179,14570,18581,9869,8969,8395,15979,12956,5164,13077,84752,119876,11192,131399,35921,15586,13994,7459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265933,177896,194775,209391,212623,227845,219055,192072,196328,149739,254495,209112,253690,251653,291500,363623,225520,285788,277279,199699,228896,385082,364162,819278,679537,392689,486962,441746,485770,225112,539675,197023,211932,192476,274380,238435,301453,194910,302781,289651,230853,217861,208797,388333,258047,275977,284024,214714,290720,239797,304624,319141,1250300,401679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38584,47384,28144,34947,29616,32204,41974,39191,26829,34014,39547,27904,29884,28359,34823,21669,34170,28241,21003,31804,22326,27238,20210,27507,22527,22921,21781,23008,17603,24828,35354,43290,36366,39874,32319,39763,30628,27874,31343,27301,28279,24291,21036,21025,25010,26815,44471,23059,30570,31637,32399,23999,12660,19767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,1328,1447,3338,1474,8740,1735,1382,1461,1977,1397,19906,10321,15364,1402,1473,2549,6521,5853,1462,616,744,825,872,9526,956,449,13026,668,6548,595,13013,1476,2288,1308,1057,2228,2120,1727,19424,9158,1152,19297,1065,1830,11287,486,554,1147,1621,4914,1176,142,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56259,42549,66841,26017,10486,12920,33191,63164,29375,11915,17635,15710,22883,39983,16751,90457,17157,21294,20652,10816,45621,36790,43192,66378,12419,62945,36677,8281,31839,52282,8178,23852,18390,37635,11488,65553,62553,8844,20434,21430,39909,52134,17679,11645,38981,16671,38135,18947,15417,36138,36277,23912,17764,58466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124516,95395,129899,121811,103030,106585,135978,123303,155854,133010,126218,119581,137079,131507,140983,154328,103088,101322,138086,176960,160667,152311,164112,145305,132648,156709,181881,151629,151482,146207,147828,102106,105609,110642,144522,111402,144670,123347,176437,174742,133011,123463,130517,139803,127243,109845,140069,123501,127658,143788,142001,146312,167795,171654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292961,358074,290222,272169,341564,288461,208344,329174,357193,233768,335849,259588,252310,485177,375577,463592,360181,290799,294297,484915,279343,394540,324970,559764,489881,423663,315159,466451,482782,428478,400584,392424,403627,234200,302403,349599,309160,346023,336475,334719,307027,239427,491600,407464,359412,365856,463291,336731,287468,406124,252504,327541,540477,290922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238924,238535,376132,337639,387497,209764,338448,865715,312125,384107,333225,335436,487398,392471,270106,249082,335003,320417,312373,333971,504402,490874,464984,433289,411483,641835,1507375,364208,376434,539655,466055,364430,435591,332663,301529,325961,242005,360722,333052,285283,385569,284910,410864,233319,305757,240891,393071,384495,291612,413391,649498,2283951,381029,669300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,1902,1233,4775,14873,4022,1849,348,730,3024,1952,2750,1506,1330,5051,3400,8423,1377,2877,7277,1390,593,4472,1190,1552,1280,521,549,563,1015,655,5297,4628,2489,1664,1180,1649,2436,2895,3493,2338,783,2628,1353,1367,3195,1147,1092,1291,1091,1412,894,376,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14903,15817,11871,16317,15924,11565,9112,22143,4229,2636,3078,2302,3545,4872,4729,5181,4694,4055,21963,24009,22959,15422,24959,34352,24878,25805,19384,26280,26774,23737,25879,20730,19463,5660,21163,14764,14599,19992,11740,22812,28753,3178,7150,2740,3724,5190,9197,7291,4625,25966,22599,17897,9318,16465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979813,328485,341912,251205,411700,317670,288243,279136,260161,230502,356709,265677,315277,241105,399633,290063,267131,269279,265406,311191,215441,263222,301129,329615,411527,422819,304306,301149,263425,247869,376714,372798,334726,273036,393383,362172,340213,268900,240489,403042,259354,265979,373655,527512,225107,312202,291624,274727,260512,328991,240937,227715,435210,225738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123193,28483,81975,112145,56405,79642,141283,52717,157166,54343,68077,54232,66399,39309,62066,83165,56920,83495,83734,70458,105093,82147,111700,86961,55339,71373,134915,79573,61507,83008,44525,51604,42443,80418,118728,56014,134433,51178,113220,72963,51287,54812,73534,98816,63670,69475,47625,42017,82457,64226,98145,88168,118469,102024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40781,47007,55410,51940,43104,57207,102797,35993,51469,39452,51552,43987,56861,35506,42800,81969,69390,57225,162990,46112,61608,54433,59055,40489,43389,47937,50150,42112,38705,32640,39661,49938,57213,48432,60901,53357,58783,39517,48049,52539,36239,48620,37811,48290,34663,68438,52388,78851,57011,52616,51476,52978,46070,41093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27253,8343,20082,20275,10582,17949,35624,40253,19127,26580,13968,28214,40605,16095,45444,40814,20493,44418,26426,36512,29671,64958,26854,24878,7895,37841,36005,26085,23114,64520,4791,8748,5625,21537,19314,10193,35121,35846,57423,31344,31292,30490,20424,29047,29554,37325,10771,13329,27247,18084,54851,53473,34816,21068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479318,1595087,1443692,1852405,1830278,1503976,2059989,1716591,1628289,1675876,1547466,1646310,1382498,1870986,1340106,1282964,1944019,1344073,1473870,1506802,2000906,3006705,1767558,2408324,2542421,2584086,1714892,2394729,2243527,2481048,2321901,1964005,1877723,1729442,1398374,1984618,1537734,2008856,1409248,1284782,1324061,1172790,3975824,1411585,1463925,1612110,2198420,2079268,1397032,2043899,1613935,2177074,3320160,1936967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163978,283990,164448,159558,245293,212745,159817,186366,172320,163233,289011,186517,175727,277361,270380,225312,308530,229306,187306,208916,200649,252509,243765,276839,370325,255186,188054,294021,274377,292028,339975,290896,363507,139745,190734,300961,163856,193931,141968,191887,154679,213711,326130,172551,168583,293839,315287,275195,275622,325872,211185,189110,275823,192536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23461,3235,5461,3758,5403,9244,3691,6082,3523,4103,4984,7085,4878,4058,9407,5531,4338,6965,3782,2761,5262,7283,4057,3673,7249,12733,3026,3057,3185,6478,6803,3738,3813,7984,5876,2405,18982,5821,5139,4871,5642,3000,3861,12031,7214,2722,4815,3899,5936,3297,3284,9085,5457,4463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779978,729631,708103,718229,775261,793771,641726,692167,617583,405166,472982,650711,725712,729496,753735,775764,387759,360191,639262,575513,494962,656310,474132,638067,620582,916442,554349,887572,788918,838570,687296,649756,466155,819137,696521,707768,964968,863208,868384,826728,660126,541460,697983,690554,711316,600490,350042,402638,390002,687360,545637,768235,695707,490049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27618,8631,14244,51427,14264,18805,50743,17201,17747,8988,9434,8643,9744,10158,12099,16164,18566,15969,32198,28409,51348,14446,21912,100214,34460,15736,28609,14372,29092,21626,10558,13198,9104,18797,20498,21683,20689,15522,16895,7303,53707,7199,18065,59853,9581,12098,11563,8561,13660,14338,46921,36002,90228,26378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182028,2099555,1953771,1831927,2183819,1754591,1566452,2196318,2221846,1838621,2292278,1481552,2003472,2114659,2241618,2860996,2222774,1898261,1798694,1852265,1818453,1886709,2275720,2060597,2740862,1720063,1689985,1672835,1766581,1918822,1973487,2219006,2453455,1497727,2379857,1990586,1967023,1802000,1638239,2248920,1625039,1767994,1955935,1938166,1651353,2285703,2340180,1482470,2143049,2504516,2181018,2069177,1791470,1805812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44762,65205,61428,42215,64812,56207,39231,55474,77389,58000,60635,82552,59227,89932,69158,114619,36904,45356,53481,62270,42997,54620,64704,109300,111878,56220,48907,95184,109465,53505,96379,60396,65788,37523,81863,76715,55416,75729,60606,88967,65202,61239,87409,61821,51381,60183,71165,67571,45991,86317,42888,38676,94927,50852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470295,541602,384431,323152,555700,345734,295496,348335,380154,300393,415943,355656,491082,390987,504358,513433,474568,495051,528855,761814,403392,397360,376519,508705,574777,396513,377056,621887,621805,529483,486704,547730,603990,314770,512565,660826,414883,621917,342588,341666,800993,263072,420227,590109,468776,391581,445458,381920,396744,458101,339369,327503,432940,403843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30776,28010,25227,19896,18838,19323,25148,31169,35936,17281,31423,18241,22899,19852,28475,29598,27929,29324,25274,20977,28250,19811,30334,31837,26998,26170,24883,26412,25247,25252,24919,38912,32566,23018,29669,29792,33587,26917,28583,20339,17142,14418,24615,24380,21790,29599,30937,23215,31462,22218,25531,23616,18193,18999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409407,440058,369067,337891,481698,405320,238302,272012,413851,292644,416456,333087,311206,346107,362869,373114,357708,297347,309015,352938,328800,340857,401113,361612,581445,497943,325661,591435,531565,438329,438390,536405,450756,315337,396484,474350,348977,416998,302403,397210,398612,287444,410991,395661,345373,312704,441332,425223,396629,430689,263423,331069,313349,323684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2379,3229,2891,1960,3211,2551,2360,3510,5527,4626,3890,3489,3515,1241,758,2940,2305,1215,1968,2340,1509,1770,642,1277,2360,1658,895,2473,3816,2178,2950,3324,2688,1676,2724,4946,2278,3290,2167,4706,4045,3611,7253,3636,2104,503,1302,1529,1538,1783,1357,1186,1802,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61916,91801,31074,33933,92932,51733,19518,42638,72536,18089,50269,26714,16073,106713,35187,43867,38433,24044,33393,34628,30433,122255,49598,131842,139073,34377,37090,144412,125949,111954,133616,127033,132876,19176,51402,75180,45357,49185,23918,35062,25523,22092,74404,42053,40571,45365,113921,115031,30272,128482,23598,50736,92542,28622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23367,38787,12829,11350,16951,15245,13077,27545,53810,42647,14592,12830,16426,52924,18640,61510,25480,13901,38451,28021,15440,14371,84506,29054,115113,22081,15679,26146,72775,22714,228619,25772,41879,14208,34315,30398,26845,16621,20557,31864,25003,12213,22567,31544,37903,42666,79984,45983,15570,28675,22377,39832,18450,13884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11700,24904,15901,8834,25228,15934,5121,12967,20095,12432,21570,16446,9867,40645,13689,14129,8332,5252,10744,12317,7564,11315,13903,30046,33733,14703,5293,24921,24748,10881,13012,29775,28168,7299,13150,25204,11837,18174,5588,17787,6958,14978,25666,13449,14647,11666,26628,24034,7566,25456,4837,3742,13724,15043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
