Plant1-Measurement A,P1-M B,P1-M C,P2-M A,P2-M B,P2-M C,P3-M A,P3-M B,P3-M C,P4-M A,P4-M B,P4-M C
4141.531324,3212.509141,4945.174089,3716.7248,2271.968883,2071.506657,1979.403235,934.679938,1272.185081,1407.471369,1265.997345,1545.22673
102167.5515,164170.1221,146053.8007,191175.9726,187316.7097,251584.0593,99655.84249,92625.3661,53399.34912,157991.6203,84862.43653,216507.8339
17212.37399,25073.67251,27171.3478,30889.05831,22498.09685,31869.67111,28729.19463,32565.80357,20399.31798,38406.50234,30934.60392,48803.47386
4297.764012,6509.040484,7269.84676,8267.396387,6166.774042,8278.172336,5901.471865,6510.213263,4637.848519,9772.398968,6317.837373,9761.254973
2740.084872,5451.763415,6415.447271,5449.50436,4457.876897,4824.319716,4370.63117,6181.884379,4355.218635,4276.815924,3500.615226,5870.124714
5620.24645,9273.112827,10387.51464,10235.02692,8678.991385,12817.14959,5885.749634,4956.30941,5046.76792,10202.74964,5107.219748,7067.486405
4031.027578,6543.721982,7470.680028,5746.546414,4673.712541,6633.661776,6184.497539,5522.751566,3919.145576,10062.24316,9127.300968,11320.77324
32193.02363,39699.658,60587.90687,89953.80017,59602.02472,72743.56669,42298.69942,30792.79593,27109.80444,86317.64475,57927.21338,71373.74687
62856.07031,78841.05566,117771.5804,175568.5041,116206.1835,141753.2475,84211.34909,61335.16125,54670.17209,168127.9566,114056.2053,141228.4787
14726.28909,25174.93089,24840.50441,26831.80296,21106.97415,26011.6892,20877.662,24394.85627,19814.9509,34215.49595,24378.65128,38227.79369
7760.291723,17148.57071,14258.37974,13561.72966,9573.318159,12675.37289,10380.71915,15504.82215,11004.24985,11651.22057,9119.478662,13145.59234
9949.260665,15585.31954,16633.70672,15717.61313,14383.77382,14986.51999,11406.27064,11139.39791,7796.317843,15229.00411,10692.88777,18336.13524
7064.597416,19313.1197,7970.526227,11533.86298,9028.218192,12930.2549,5557.864637,4003.687792,3212.322012,7338.11691,4856.00401,8013.753218
4435.608471,8334.327843,8909.322097,12279.68222,7234.856913,10787.52704,6512.559179,7630.024718,4747.558042,13082.05375,8618.091527,15824.53517
4353.727946,6807.63308,7450.465941,6969.951526,6391.880519,6158.532638,6465.946956,7252.925248,4840.039772,8075.91369,5810.861423,8664.225232
1452.768891,3028.75612,3507.377348,3915.866701,2434.200399,5205.095366,2459.392,2633.440295,2558.994076,8043.010555,5325.434354,6360.305307
